"postLen";"profile_1";"idUser"
"139";"1";"28085"
"291";"1";"28085"
"215";"1";"28085"
"911";"1";"28085"
"148";"1";"28085"
"190";"1";"28085"
"234";"1";"28085"
"326";"1";"28085"
"601";"1";"28085"
"157";"1";"28085"
"611";"1";"28085"
"197";"1";"28085"
"92";"1";"28085"
"140";"1";"28085"
"132";"1";"28085"
"1769";"1";"28085"
"856";"1";"28087"
"1370";"1";"28087"
"1208";"4";"28090"
"872";"4";"28090"
"510";"4";"28090"
"2094";"4";"28090"
"485";"4";"28090"
"1458";"4";"28090"
"2126";"4";"28090"
"2251";"4";"28090"
"1805";"4";"28090"
"1372";"4";"28090"
"659";"4";"28090"
"525";"4";"28090"
"2010";"4";"28090"
"2547";"4";"28090"
"721";"4";"28090"
"821";"4";"28090"
"115";"4";"28090"
"2108";"4";"28090"
"601";"4";"28090"
"1994";"4";"28090"
"629";"4";"28090"
"1257";"4";"28090"
"1987";"4";"28090"
"1088";"4";"28090"
"1231";"4";"28090"
"1094";"4";"28090"
"546";"4";"28090"
"387";"4";"28090"
"521";"4";"28090"
"1080";"4";"28090"
"1428";"4";"28090"
"1144";"4";"28090"
"1521";"4";"28090"
"548";"4";"28090"
"698";"4";"28090"
"783";"4";"28090"
"733";"4";"28090"
"1228";"4";"28090"
"486";"4";"28090"
"412";"4";"28090"
"442";"4";"28090"
"968";"4";"28090"
"1434";"4";"28090"
"517";"4";"28090"
"1555";"4";"28090"
"1748";"4";"28090"
"1372";"4";"28090"
"959";"4";"28090"
"584";"4";"28090"
"205";"4";"28090"
"986";"4";"28090"
"663";"4";"28090"
"613";"4";"28090"
"943";"4";"28090"
"663";"4";"28090"
"516";"4";"28090"
"680";"4";"28090"
"809";"4";"28090"
"716";"4";"28090"
"1801";"4";"28090"
"1039";"4";"28090"
"1302";"4";"28090"
"361";"4";"28090"
"581";"4";"28090"
"697";"4";"28090"
"926";"4";"28090"
"829";"4";"28090"
"1180";"4";"28090"
"913";"4";"28090"
"493";"4";"28090"
"536";"4";"28090"
"868";"4";"28090"
"900";"4";"28090"
"1915";"4";"28090"
"1109";"4";"28090"
"726";"4";"28090"
"941";"4";"28090"
"958";"4";"28090"
"646";"4";"28090"
"3702";"4";"28090"
"558";"4";"28090"
"482";"4";"28090"
"908";"4";"28090"
"766";"4";"28090"
"571";"4";"28090"
"949";"4";"28090"
"784";"4";"28090"
"1121";"4";"28090"
"638";"4";"28090"
"1253";"4";"28090"
"2081";"4";"28090"
"546";"4";"28090"
"1170";"4";"28090"
"411";"4";"28090"
"1358";"4";"28090"
"1020";"4";"28090"
"1682";"4";"28093"
"552";"4";"28093"
"1595";"4";"28093"
"527";"4";"28093"
"1141";"4";"28093"
"453";"4";"28093"
"228";"4";"28096"
"697";"4";"28096"
"905";"4";"28096"
"1080";"4";"28096"
"380";"4";"28096"
"1310";"4";"28096"
"467";"4";"28096"
"1017";"4";"28096"
"388";"4";"28096"
"433";"4";"28096"
"750";"4";"28096"
"1267";"4";"28096"
"651";"4";"28096"
"479";"4";"28096"
"951";"4";"28096"
"350";"4";"28096"
"1100";"4";"28096"
"702";"4";"28096"
"267";"4";"28096"
"273";"4";"28096"
"228";"4";"28098"
"639";"4";"28100"
"574";"4";"28101"
"518";"4";"28101"
"340";"4";"28101"
"394";"4";"28101"
"356";"4";"28101"
"381";"4";"28101"
"362";"4";"28101"
"1175";"4";"28101"
"408";"4";"28101"
"1074";"4";"28102"
