"id";"reputation";"id_community";"profile_1";"profile_2";"questions";"answers";"comments"
"50179";"1";"10";"1";"1";"0";"0";"0"
"50200";"1";"10";"1";"1";"0";"0";"0"
"50207";"1";"10";"1";"1";"0";"0";"0"
"50215";"1";"10";"1";"1";"0";"0";"0"
"50225";"1";"10";"1";"1";"0";"0";"0"
"50243";"1";"10";"1";"1";"0";"0";"0"
"50244";"1";"10";"1";"1";"0";"0";"0"
"50245";"1";"10";"1";"1";"0";"0";"0"
"50272";"1";"10";"1";"1";"0";"0";"0"
"50273";"1";"10";"1";"1";"0";"0";"0"
"50290";"1";"10";"1";"1";"0";"0";"0"
"50299";"1";"10";"1";"1";"0";"0";"0"
"50302";"1";"10";"1";"1";"0";"0";"0"
"50320";"1";"10";"1";"1";"0";"0";"0"
"50333";"1";"10";"1";"1";"0";"0";"0"
"50336";"1";"10";"1";"1";"0";"0";"0"
"50346";"1";"10";"1";"1";"0";"0";"0"
"50347";"1";"10";"1";"1";"0";"0";"0"
"50372";"1";"10";"1";"1";"0";"0";"0"
"50393";"1";"10";"1";"1";"1";"0";"0"
"50414";"1";"10";"1";"1";"0";"0";"0"
"50416";"1";"10";"1";"1";"0";"0";"0"
"50427";"1";"10";"1";"1";"0";"0";"0"
"50444";"1";"10";"1";"1";"0";"0";"0"
"50458";"1";"10";"1";"1";"0";"0";"0"
"50462";"1";"10";"1";"1";"0";"0";"0"
"50468";"1";"10";"1";"1";"0";"0";"0"
"50480";"1";"10";"1";"1";"0";"0";"0"
"50489";"1";"10";"1";"1";"0";"0";"0"
"50524";"1";"10";"1";"1";"0";"0";"0"
"50527";"1";"10";"1";"1";"0";"0";"0"
"50528";"1";"10";"1";"1";"0";"0";"0"
"50535";"1";"10";"1";"1";"0";"0";"0"
"50540";"1";"10";"1";"1";"0";"0";"0"
"50555";"1";"10";"1";"1";"0";"0";"0"
"50578";"1";"10";"1";"1";"0";"0";"0"
"50579";"1";"10";"1";"1";"0";"0";"0"
"50580";"1";"10";"1";"1";"0";"0";"0"
"50594";"1";"10";"1";"1";"0";"0";"0"
"50596";"1";"10";"1";"1";"0";"0";"0"
"50602";"1";"10";"1";"1";"0";"0";"0"
"50603";"1";"10";"1";"1";"0";"0";"0"
"50610";"1";"10";"1";"1";"0";"0";"0"
"50616";"1";"10";"1";"1";"0";"0";"0"
"50633";"1";"10";"1";"1";"0";"0";"0"
"50634";"1";"10";"1";"1";"0";"0";"0"
"50637";"1";"10";"1";"1";"0";"0";"0"
"50641";"1";"10";"1";"1";"0";"0";"0"
"50643";"1";"10";"1";"1";"0";"0";"0"
