"profile_1";"period";"myCount";"totalUserProfile";"description"
"1";"6";"8";"19885";"answers"
"1";"7";"5";"19885";"answers"
"1";"8";"8";"19885";"answers"
"1";"9";"3";"19885";"answers"
"1";"10";"13";"19885";"answers"
"1";"11";"10";"19885";"answers"
"1";"12";"11";"19885";"answers"
"1";"13";"2";"19885";"answers"
"1";"14";"5";"19885";"answers"
"1";"15";"10";"19885";"answers"
"1";"16";"10";"19885";"answers"
"1";"17";"12";"19885";"answers"
"1";"18";"11";"19885";"answers"
"1";"19";"16";"19885";"answers"
"1";"20";"17";"19885";"answers"
"1";"21";"11";"19885";"answers"
"1";"22";"11";"19885";"answers"
"1";"23";"17";"19885";"answers"
"1";"24";"12";"19885";"answers"
"1";"25";"27";"19885";"answers"
"1";"26";"19";"19885";"answers"
"1";"27";"23";"19885";"answers"
"1";"28";"35";"19885";"answers"
"1";"29";"28";"19885";"answers"
"1";"30";"30";"19885";"answers"
"1";"31";"25";"19885";"answers"
"1";"32";"39";"19885";"answers"
"1";"33";"27";"19885";"answers"
"1";"34";"30";"19885";"answers"
"1";"35";"34";"19885";"answers"
"1";"36";"24";"19885";"answers"
"1";"37";"19";"19885";"answers"
"1";"38";"40";"19885";"answers"
"1";"39";"37";"19885";"answers"
"1";"40";"36";"19885";"answers"
"1";"41";"41";"19885";"answers"
"1";"42";"27";"19885";"answers"
"1";"43";"37";"19885";"answers"
"1";"44";"45";"19885";"answers"
"1";"45";"40";"19885";"answers"
"1";"46";"37";"19885";"answers"
"1";"47";"41";"19885";"answers"
"1";"48";"40";"19885";"answers"
"1";"49";"33";"19885";"answers"
"1";"50";"29";"19885";"answers"
"1";"51";"51";"19885";"answers"
"1";"52";"50";"19885";"answers"
"1";"53";"54";"19885";"answers"
"1";"54";"49";"19885";"answers"
"1";"55";"41";"19885";"answers"
"1";"56";"66";"19885";"answers"
"1";"57";"48";"19885";"answers"
"1";"58";"53";"19885";"answers"
"1";"59";"60";"19885";"answers"
"1";"60";"56";"19885";"answers"
"1";"61";"54";"19885";"answers"
"1";"62";"51";"19885";"answers"
"1";"63";"57";"19885";"answers"
"1";"64";"50";"19885";"answers"
"1";"65";"39";"19885";"answers"
"1";"66";"51";"19885";"answers"
"1";"67";"63";"19885";"answers"
"1";"68";"75";"19885";"answers"
"1";"69";"49";"19885";"answers"
"1";"70";"71";"19885";"answers"
"1";"71";"65";"19885";"answers"
"1";"72";"46";"19885";"answers"
"4";"1";"1";"2209";"answers"
"4";"6";"143";"2209";"answers"
"4";"7";"207";"2209";"answers"
"4";"8";"165";"2209";"answers"
"4";"9";"176";"2209";"answers"
"4";"10";"162";"2209";"answers"
"4";"11";"148";"2209";"answers"
"4";"12";"157";"2209";"answers"
"4";"13";"120";"2209";"answers"
"4";"14";"132";"2209";"answers"
"4";"15";"181";"2209";"answers"
"4";"16";"154";"2209";"answers"
"4";"17";"139";"2209";"answers"
"4";"18";"105";"2209";"answers"
"4";"19";"143";"2209";"answers"
"4";"20";"182";"2209";"answers"
"4";"21";"121";"2209";"answers"
"4";"22";"156";"2209";"answers"
"4";"23";"183";"2209";"answers"
"4";"24";"163";"2209";"answers"
"4";"25";"165";"2209";"answers"
"4";"26";"239";"2209";"answers"
"4";"27";"230";"2209";"answers"
"4";"28";"204";"2209";"answers"
"4";"29";"198";"2209";"answers"
"4";"30";"195";"2209";"answers"
"4";"31";"178";"2209";"answers"
"4";"32";"258";"2209";"answers"
"4";"33";"255";"2209";"answers"
"4";"34";"333";"2209";"answers"
"4";"35";"309";"2209";"answers"
"4";"36";"281";"2209";"answers"
"4";"37";"272";"2209";"answers"
"4";"38";"409";"2209";"answers"
"4";"39";"336";"2209";"answers"
"4";"40";"289";"2209";"answers"
