"profile_2";"period";"myCount";"description"
"1";"2";"4";"answers"
"1";"3";"3";"answers"
"1";"5";"4";"answers"
"1";"6";"3";"answers"
"1";"7";"3";"answers"
"1";"8";"3";"answers"
"1";"9";"6";"answers"
"1";"10";"5";"answers"
"1";"11";"11";"answers"
"1";"12";"7";"answers"
"1";"13";"3";"answers"
"1";"14";"8";"answers"
"1";"15";"7";"answers"
"1";"16";"4";"answers"
"1";"17";"6";"answers"
"1";"18";"6";"answers"
"1";"19";"12";"answers"
"1";"20";"9";"answers"
"1";"21";"23";"answers"
"1";"22";"17";"answers"
"1";"23";"20";"answers"
"1";"24";"17";"answers"
"1";"25";"20";"answers"
"1";"26";"27";"answers"
"1";"27";"27";"answers"
"1";"28";"21";"answers"
"1";"29";"20";"answers"
"1";"30";"26";"answers"
"1";"31";"24";"answers"
"1";"32";"34";"answers"
"1";"33";"48";"answers"
"1";"34";"36";"answers"
"1";"35";"62";"answers"
"1";"36";"40";"answers"
"1";"37";"32";"answers"
"1";"38";"63";"answers"
"1";"39";"38";"answers"
"1";"40";"41";"answers"
"1";"41";"46";"answers"
"1";"42";"58";"answers"
"1";"43";"58";"answers"
"1";"44";"85";"answers"
"1";"45";"63";"answers"
"1";"46";"60";"answers"
"1";"47";"86";"answers"
"1";"48";"79";"answers"
"1";"49";"68";"answers"
"1";"50";"76";"answers"
"1";"51";"94";"answers"
"1";"52";"86";"answers"
"1";"53";"60";"answers"
"1";"54";"98";"answers"
"1";"55";"85";"answers"
"1";"56";"90";"answers"
"1";"57";"88";"answers"
"1";"58";"110";"answers"
"1";"59";"117";"answers"
"1";"60";"98";"answers"
"1";"61";"114";"answers"
"1";"62";"120";"answers"
"1";"63";"116";"answers"
"4";"2";"178";"answers"
"4";"3";"116";"answers"
"4";"4";"74";"answers"
"4";"5";"67";"answers"
"4";"6";"101";"answers"
"4";"7";"93";"answers"
"4";"8";"74";"answers"
"4";"9";"94";"answers"
"4";"10";"68";"answers"
"4";"11";"98";"answers"
"4";"12";"103";"answers"
"4";"13";"131";"answers"
"4";"14";"148";"answers"
"4";"15";"139";"answers"
"4";"16";"108";"answers"
"4";"17";"140";"answers"
"4";"18";"137";"answers"
"4";"19";"122";"answers"
"4";"20";"164";"answers"
"4";"21";"151";"answers"
"4";"22";"201";"answers"
"4";"23";"299";"answers"
"4";"24";"353";"answers"
"4";"25";"414";"answers"
"4";"26";"381";"answers"
"4";"27";"389";"answers"
"4";"28";"351";"answers"
"4";"29";"480";"answers"
"4";"30";"479";"answers"
"4";"31";"545";"answers"
"4";"32";"440";"answers"
"4";"33";"515";"answers"
"4";"34";"495";"answers"
"4";"35";"596";"answers"
"4";"36";"527";"answers"
"4";"37";"514";"answers"
"4";"38";"677";"answers"
"4";"39";"579";"answers"
"4";"40";"415";"answers"
"4";"41";"354";"answers"
"4";"42";"438";"answers"
"4";"43";"562";"answers"
"4";"44";"528";"answers"
"4";"45";"456";"answers"
"4";"46";"469";"answers"
"4";"47";"426";"answers"
"4";"48";"464";"answers"
"4";"49";"435";"answers"
"4";"50";"493";"answers"
"4";"51";"477";"answers"
"4";"52";"444";"answers"
"4";"53";"529";"answers"
"4";"54";"508";"answers"
"4";"55";"636";"answers"
"4";"56";"484";"answers"
"4";"57";"554";"answers"
"4";"58";"633";"answers"
"4";"59";"744";"answers"
"4";"60";"696";"answers"
"4";"61";"623";"answers"
"4";"62";"555";"answers"
"4";"63";"399";"answers"
"1";"2";"4";"questions"
"1";"3";"5";"questions"
"1";"4";"7";"questions"
"1";"5";"10";"questions"
"1";"6";"9";"questions"
"1";"7";"12";"questions"
"1";"8";"19";"questions"
"1";"9";"26";"questions"
"1";"10";"15";"questions"
"1";"11";"23";"questions"
"1";"12";"30";"questions"
"1";"13";"35";"questions"
"1";"14";"32";"questions"
"1";"15";"34";"questions"
"1";"16";"21";"questions"
"1";"17";"32";"questions"
"1";"18";"22";"questions"
"1";"19";"38";"questions"
"1";"20";"56";"questions"
"1";"21";"45";"questions"
"1";"22";"64";"questions"
"1";"23";"86";"questions"
"1";"24";"83";"questions"
"1";"25";"88";"questions"
"1";"26";"95";"questions"
"1";"27";"98";"questions"
"1";"28";"77";"questions"
"1";"29";"83";"questions"
"1";"30";"91";"questions"
"1";"31";"121";"questions"
"1";"32";"128";"questions"
"1";"33";"148";"questions"
"1";"34";"122";"questions"
"1";"35";"203";"questions"
"1";"36";"166";"questions"
"1";"37";"183";"questions"
"1";"38";"210";"questions"
"1";"39";"173";"questions"
"1";"40";"153";"questions"
"1";"41";"160";"questions"
"1";"42";"209";"questions"
"1";"43";"298";"questions"
"1";"44";"296";"questions"
"1";"45";"259";"questions"
"1";"46";"200";"questions"
"1";"47";"289";"questions"
"1";"48";"292";"questions"
"1";"49";"282";"questions"
"1";"50";"284";"questions"
"1";"51";"275";"questions"
"1";"52";"196";"questions"
"1";"53";"240";"questions"
"1";"54";"322";"questions"
"1";"55";"346";"questions"
"1";"56";"307";"questions"
"1";"57";"303";"questions"
"1";"58";"288";"questions"
"1";"59";"443";"questions"
"1";"60";"391";"questions"
"1";"61";"413";"questions"
"1";"62";"400";"questions"
"1";"63";"414";"questions"
"4";"0";"3";"questions"
"4";"2";"120";"questions"
"4";"3";"75";"questions"
"4";"4";"46";"questions"
"4";"5";"45";"questions"
"4";"6";"56";"questions"
"4";"7";"67";"questions"
"4";"8";"49";"questions"
"4";"9";"59";"questions"
"4";"10";"42";"questions"
"4";"11";"72";"questions"
"4";"12";"52";"questions"
"4";"13";"71";"questions"
"4";"14";"76";"questions"
"4";"15";"77";"questions"
"4";"16";"60";"questions"
"4";"17";"79";"questions"
"4";"18";"96";"questions"
"4";"19";"84";"questions"
"4";"20";"104";"questions"
"4";"21";"116";"questions"
"4";"22";"126";"questions"
"4";"23";"115";"questions"
"4";"24";"166";"questions"
"4";"25";"158";"questions"
"4";"26";"167";"questions"
"4";"27";"191";"questions"
"4";"28";"190";"questions"
"4";"29";"235";"questions"
"4";"30";"281";"questions"
"4";"31";"273";"questions"
"4";"32";"253";"questions"
"4";"33";"267";"questions"
"4";"34";"244";"questions"
"4";"35";"265";"questions"
"4";"36";"279";"questions"
"4";"37";"337";"questions"
"4";"38";"389";"questions"
"4";"39";"340";"questions"
"4";"40";"236";"questions"
"4";"41";"228";"questions"
"4";"42";"258";"questions"
"4";"43";"273";"questions"
"4";"44";"275";"questions"
"4";"45";"234";"questions"
"4";"46";"292";"questions"
"4";"47";"281";"questions"
"4";"48";"287";"questions"
"4";"49";"306";"questions"
"4";"50";"270";"questions"
"4";"51";"197";"questions"
"4";"52";"197";"questions"
"4";"53";"248";"questions"
"4";"54";"270";"questions"
"4";"55";"246";"questions"
"4";"56";"244";"questions"
"4";"57";"258";"questions"
"4";"58";"305";"questions"
"4";"59";"336";"questions"
"4";"60";"241";"questions"
"4";"61";"283";"questions"
"4";"62";"294";"questions"
"4";"63";"161";"questions"
"1";"2";"2";"comments"
"1";"3";"6";"comments"
"1";"5";"15";"comments"
"1";"6";"20";"comments"
"1";"7";"7";"comments"
"1";"8";"7";"comments"
"1";"9";"19";"comments"
"1";"10";"9";"comments"
"1";"11";"9";"comments"
"1";"12";"7";"comments"
"1";"13";"13";"comments"
"1";"14";"16";"comments"
"1";"15";"31";"comments"
"1";"16";"13";"comments"
"1";"17";"15";"comments"
"1";"18";"17";"comments"
"1";"19";"28";"comments"
"1";"20";"24";"comments"
"1";"21";"28";"comments"
"1";"22";"46";"comments"
"1";"23";"59";"comments"
"1";"24";"59";"comments"
"1";"25";"76";"comments"
"1";"26";"88";"comments"
"1";"27";"93";"comments"
"1";"28";"47";"comments"
"1";"29";"61";"comments"
"1";"30";"55";"comments"
"1";"31";"92";"comments"
"1";"32";"58";"comments"
"1";"33";"98";"comments"
"1";"34";"99";"comments"
"1";"35";"149";"comments"
"1";"36";"152";"comments"
"1";"37";"129";"comments"
"1";"38";"183";"comments"
"1";"39";"189";"comments"
"1";"40";"128";"comments"
"1";"41";"129";"comments"
"1";"42";"188";"comments"
"1";"43";"255";"comments"
"1";"44";"311";"comments"
"1";"45";"265";"comments"
"1";"46";"190";"comments"
"1";"47";"226";"comments"
"1";"48";"262";"comments"
"1";"49";"255";"comments"
"1";"50";"256";"comments"
"1";"51";"274";"comments"
"1";"52";"146";"comments"
"1";"53";"251";"comments"
"1";"54";"304";"comments"
"1";"55";"382";"comments"
"1";"56";"249";"comments"
"1";"57";"258";"comments"
"1";"58";"277";"comments"
"1";"59";"404";"comments"
"1";"60";"377";"comments"
"1";"61";"345";"comments"
"1";"62";"422";"comments"
"1";"63";"390";"comments"
"4";"2";"367";"comments"
"4";"3";"252";"comments"
"4";"4";"181";"comments"
"4";"5";"176";"comments"
"4";"6";"196";"comments"
"4";"7";"114";"comments"
"4";"8";"160";"comments"
"4";"9";"157";"comments"
"4";"10";"145";"comments"
"4";"11";"166";"comments"
"4";"12";"215";"comments"
"4";"13";"259";"comments"
"4";"14";"242";"comments"
"4";"15";"287";"comments"
"4";"16";"129";"comments"
"4";"17";"265";"comments"
"4";"18";"301";"comments"
"4";"19";"198";"comments"
"4";"20";"362";"comments"
"4";"21";"409";"comments"
"4";"22";"383";"comments"
"4";"23";"561";"comments"
"4";"24";"696";"comments"
"4";"25";"918";"comments"
"4";"26";"724";"comments"
"4";"27";"1013";"comments"
"4";"28";"947";"comments"
"4";"29";"1310";"comments"
"4";"30";"1381";"comments"
"4";"31";"1406";"comments"
"4";"32";"1074";"comments"
"4";"33";"1072";"comments"
"4";"34";"1243";"comments"
"4";"35";"1421";"comments"
"4";"36";"1345";"comments"
"4";"37";"1511";"comments"
"4";"38";"1691";"comments"
"4";"39";"1907";"comments"
"4";"40";"1472";"comments"
"4";"41";"1284";"comments"
