"profile";"period";"myCount";"description"
"4";"0";"1";"comment"
"4";"1";"1";"comment"
"3";"6";"5";"comment"
"4";"6";"5";"comment"
"3";"7";"1";"comment"
"4";"7";"3";"comment"
"3";"8";"1";"comment"
"4";"8";"1";"comment"
"2";"9";"1";"comment"
"3";"9";"1";"comment"
"4";"9";"3";"comment"
"3";"10";"1";"comment"
"4";"10";"1";"comment"
"2";"11";"4";"comment"
"3";"11";"1";"comment"
"4";"11";"1";"comment"
"2";"12";"1";"comment"
"3";"12";"1";"comment"
"4";"12";"7";"comment"
"2";"13";"1";"comment"
"3";"13";"1";"comment"
"4";"13";"1";"comment"
"2";"14";"1";"comment"
"3";"14";"2";"comment"
"4";"14";"19";"comment"
"2";"15";"3";"comment"
"3";"15";"3";"comment"
"4";"15";"1";"comment"
"2";"16";"1";"comment"
"3";"16";"5";"comment"
"4";"16";"12";"comment"
"2";"17";"1";"comment"
"3";"17";"5";"comment"
"4";"17";"8";"comment"
"2";"18";"1";"comment"
"3";"18";"1";"comment"
"4";"18";"22";"comment"
"2";"19";"2";"comment"
"3";"19";"1";"comment"
"4";"19";"2";"comment"
"2";"20";"2";"comment"
"3";"20";"1";"comment"
"4";"20";"1";"comment"
"2";"21";"1";"comment"
"3";"21";"1";"comment"
"4";"21";"1";"comment"
"2";"22";"2";"comment"
"3";"22";"1";"comment"
"4";"22";"1";"comment"
"2";"23";"1";"comment"
"3";"23";"1";"comment"
"4";"23";"2";"comment"
"2";"24";"3";"comment"
"3";"24";"1";"comment"
"4";"24";"9";"comment"
"1";"25";"1";"comment"
"2";"25";"1";"comment"
"3";"25";"7";"comment"
"4";"25";"3";"comment"
"1";"26";"2";"comment"
"2";"26";"2";"comment"
"3";"26";"1";"comment"
"4";"26";"4";"comment"
"1";"27";"1";"comment"
"2";"27";"2";"comment"
"3";"27";"1";"comment"
"4";"27";"10";"comment"
"1";"28";"1";"comment"
"2";"28";"2";"comment"
"3";"28";"3";"comment"
"4";"28";"9";"comment"
"2";"29";"1";"comment"
"3";"29";"1";"comment"
"4";"29";"2";"comment"
"1";"30";"1";"comment"
"2";"30";"1";"comment"
"3";"30";"3";"comment"
"4";"30";"1";"comment"
"1";"31";"1";"comment"
"2";"31";"2";"comment"
"3";"31";"1";"comment"
"4";"31";"18";"comment"
"1";"32";"1";"comment"
"2";"32";"1";"comment"
"3";"32";"1";"comment"
"4";"32";"1";"comment"
"1";"33";"1";"comment"
"2";"33";"2";"comment"
"3";"33";"2";"comment"
"4";"33";"1";"comment"
"2";"34";"1";"comment"
"3";"34";"2";"comment"
"4";"34";"1";"comment"
"2";"35";"1";"comment"
"3";"35";"1";"comment"
"4";"35";"26";"comment"
"1";"36";"1";"comment"
"2";"36";"5";"comment"
"3";"36";"1";"comment"
"4";"36";"2";"comment"
"2";"37";"1";"comment"
"3";"37";"1";"comment"
"4";"37";"43";"comment"
"2";"38";"1";"comment"
"3";"38";"1";"comment"
"4";"38";"1";"comment"
"1";"39";"1";"comment"
"2";"39";"1";"comment"
"3";"39";"1";"comment"
"4";"39";"2";"comment"
"2";"40";"1";"comment"
"3";"40";"2";"comment"
"4";"40";"46";"comment"
"1";"41";"1";"comment"
"2";"41";"1";"comment"
"3";"41";"3";"comment"
"4";"41";"1";"comment"
"1";"42";"1";"comment"
"2";"42";"1";"comment"
"3";"42";"1";"comment"
"4";"42";"2";"comment"
"1";"43";"1";"comment"
"2";"43";"3";"comment"
"3";"43";"1";"comment"
"4";"43";"147";"comment"
"2";"44";"2";"comment"
"3";"44";"3";"comment"
"4";"44";"11";"comment"
"1";"45";"1";"comment"
"2";"45";"2";"comment"
"3";"45";"1";"comment"
"4";"45";"142";"comment"
"2";"46";"1";"comment"
"3";"46";"1";"comment"
"4";"46";"11";"comment"
"2";"47";"1";"comment"
"3";"47";"2";"comment"
"4";"47";"1";"comment"
"1";"48";"1";"comment"
"2";"48";"1";"comment"
"3";"48";"1";"comment"
"4";"48";"49";"comment"
"1";"49";"1";"comment"
"2";"49";"1";"comment"
"3";"49";"4";"comment"
"4";"49";"1";"comment"
"1";"50";"1";"comment"
"2";"50";"1";"comment"
"3";"50";"1";"comment"
"4";"50";"1";"comment"
"1";"51";"1";"comment"
"2";"51";"1";"comment"
"3";"51";"1";"comment"
"4";"51";"1";"comment"
"1";"52";"1";"comment"
"2";"52";"3";"comment"
"3";"52";"1";"comment"
"4";"52";"9";"comment"
"1";"53";"1";"comment"
"2";"53";"2";"comment"
"3";"53";"1";"comment"
"4";"53";"1";"comment"
"1";"54";"1";"comment"
"2";"54";"2";"comment"
"3";"54";"3";"comment"
"4";"54";"2";"comment"
"1";"55";"1";"comment"
"2";"55";"1";"comment"
"3";"55";"3";"comment"
"4";"55";"5";"comment"
"1";"56";"1";"comment"
"2";"56";"1";"comment"
"3";"56";"1";"comment"
"4";"56";"36";"comment"
"1";"57";"1";"comment"
"2";"57";"2";"comment"
"3";"57";"2";"comment"
"4";"57";"11";"comment"
"1";"58";"1";"comment"
"2";"58";"1";"comment"
"3";"58";"1";"comment"
"4";"58";"1";"comment"
"2";"59";"3";"comment"
"3";"59";"2";"comment"
"4";"59";"38";"comment"
"1";"60";"3";"comment"
"2";"60";"1";"comment"
"3";"60";"1";"comment"
"4";"60";"10";"comment"
"1";"61";"1";"comment"
"2";"61";"1";"comment"
"3";"61";"1";"comment"
"4";"61";"10";"comment"
"1";"62";"3";"comment"
"2";"62";"2";"comment"
"3";"62";"1";"comment"
"4";"62";"1";"comment"
"1";"63";"1";"comment"
"2";"63";"1";"comment"
"3";"63";"2";"comment"
"4";"63";"6";"comment"
"1";"64";"1";"comment"
"2";"64";"1";"comment"
"3";"64";"1";"comment"
"4";"64";"4";"comment"
"1";"65";"5";"comment"
"2";"65";"3";"comment"
"3";"65";"2";"comment"
"4";"65";"31";"comment"
"1";"66";"1";"comment"
"2";"66";"1";"comment"
"3";"66";"5";"comment"
"4";"66";"1";"comment"
"1";"67";"1";"comment"
"2";"67";"3";"comment"
"3";"67";"1";"comment"
"4";"67";"17";"comment"
"1";"68";"1";"comment"
"2";"68";"3";"comment"
"3";"68";"3";"comment"
"4";"68";"10";"comment"
"1";"69";"1";"comment"
"2";"69";"2";"comment"
"3";"69";"1";"comment"
"4";"69";"99";"comment"
"1";"70";"1";"comment"
"2";"70";"4";"comment"
"3";"70";"1";"comment"
"4";"70";"37";"comment"
"1";"71";"1";"comment"
"2";"71";"2";"comment"
"3";"71";"1";"comment"
"4";"71";"31";"comment"
"1";"72";"1";"comment"
"2";"72";"2";"comment"
"3";"72";"2";"comment"
"4";"72";"4";"comment"
