"profile";"period";"myCount";"description"
"1";"2";"1";"answer"
"4";"2";"3";"answer"
"1";"3";"2";"answer"
"4";"3";"2";"answer"
"4";"4";"1";"answer"
"1";"5";"1";"answer"
"4";"5";"1";"answer"
"1";"6";"1";"answer"
"3";"6";"1";"answer"
"4";"6";"1";"answer"
"1";"7";"1";"answer"
"4";"7";"1";"answer"
"1";"8";"1";"answer"
"4";"8";"4";"answer"
"1";"9";"1";"answer"
"3";"9";"2";"answer"
"4";"9";"3";"answer"
"1";"10";"1";"answer"
"4";"10";"2";"answer"
"1";"11";"1";"answer"
"3";"11";"1";"answer"
"4";"11";"3";"answer"
"1";"12";"1";"answer"
"3";"12";"2";"answer"
"4";"12";"2";"answer"
"1";"13";"1";"answer"
"4";"13";"3";"answer"
"1";"14";"1";"answer"
"4";"14";"3";"answer"
"1";"15";"1";"answer"
"4";"15";"2";"answer"
"1";"16";"1";"answer"
"2";"16";"1";"answer"
"3";"16";"1";"answer"
"4";"16";"1";"answer"
"1";"17";"1";"answer"
"3";"17";"1";"answer"
"4";"17";"1";"answer"
"1";"18";"1";"answer"
"3";"18";"1";"answer"
"4";"18";"5";"answer"
"1";"19";"1";"answer"
"4";"19";"1";"answer"
"1";"20";"2";"answer"
"4";"20";"2";"answer"
"1";"21";"1";"answer"
"4";"21";"2";"answer"
"1";"22";"1";"answer"
"4";"22";"3";"answer"
"1";"23";"1";"answer"
"3";"23";"1";"answer"
"4";"23";"3";"answer"
"1";"24";"1";"answer"
"4";"24";"10";"answer"
"1";"25";"1";"answer"
"3";"25";"1";"answer"
"4";"25";"12";"answer"
"1";"26";"1";"answer"
"3";"26";"1";"answer"
"4";"26";"1";"answer"
"1";"27";"1";"answer"
"4";"27";"2";"answer"
"1";"28";"1";"answer"
"4";"28";"8";"answer"
"1";"29";"1";"answer"
"3";"29";"1";"answer"
"4";"29";"4";"answer"
"1";"30";"1";"answer"
"3";"30";"1";"answer"
"4";"30";"11";"answer"
"1";"31";"1";"answer"
"2";"31";"1";"answer"
"3";"31";"1";"answer"
"4";"31";"1";"answer"
"1";"32";"1";"answer"
"3";"32";"1";"answer"
"4";"32";"2";"answer"
"1";"33";"1";"answer"
"4";"33";"2";"answer"
"1";"34";"1";"answer"
"3";"34";"1";"answer"
"4";"34";"5";"answer"
"1";"35";"1";"answer"
"3";"35";"1";"answer"
"4";"35";"3";"answer"
"1";"36";"1";"answer"
"3";"36";"1";"answer"
"4";"36";"21";"answer"
"1";"37";"1";"answer"
"3";"37";"1";"answer"
"4";"37";"3";"answer"
"1";"38";"1";"answer"
"3";"38";"1";"answer"
"4";"38";"1";"answer"
"1";"39";"1";"answer"
"2";"39";"1";"answer"
"3";"39";"1";"answer"
"4";"39";"12";"answer"
"1";"40";"1";"answer"
"3";"40";"1";"answer"
"4";"40";"2";"answer"
"1";"41";"2";"answer"
"3";"41";"1";"answer"
"4";"41";"1";"answer"
"1";"42";"2";"answer"
"2";"42";"1";"answer"
"3";"42";"1";"answer"
"4";"42";"2";"answer"
"1";"43";"1";"answer"
"3";"43";"2";"answer"
"4";"43";"1";"answer"
"1";"44";"1";"answer"
"3";"44";"1";"answer"
"4";"44";"2";"answer"
"1";"45";"1";"answer"
"3";"45";"2";"answer"
"4";"45";"20";"answer"
"1";"46";"1";"answer"
"3";"46";"1";"answer"
"4";"46";"1";"answer"
"1";"47";"1";"answer"
"2";"47";"1";"answer"
"4";"47";"4";"answer"
"1";"48";"1";"answer"
"3";"48";"4";"answer"
"4";"48";"2";"answer"
"1";"49";"1";"answer"
"3";"49";"1";"answer"
"4";"49";"11";"answer"
"1";"50";"1";"answer"
"3";"50";"1";"answer"
"4";"50";"2";"answer"
"1";"51";"1";"answer"
"3";"51";"1";"answer"
"4";"51";"12";"answer"
"1";"52";"4";"answer"
"3";"52";"5";"answer"
"4";"52";"3";"answer"
"1";"53";"1";"answer"
"2";"53";"1";"answer"
"3";"53";"1";"answer"
"4";"53";"63";"answer"
"1";"54";"1";"answer"
"3";"54";"1";"answer"
"4";"54";"2";"answer"
"1";"55";"1";"answer"
"3";"55";"1";"answer"
"4";"55";"11";"answer"
"1";"56";"1";"answer"
"3";"56";"1";"answer"
"4";"56";"5";"answer"
"1";"57";"1";"answer"
"2";"57";"1";"answer"
"3";"57";"1";"answer"
"4";"57";"2";"answer"
"1";"58";"1";"answer"
"3";"58";"1";"answer"
"4";"58";"9";"answer"
"1";"59";"1";"answer"
"3";"59";"1";"answer"
"4";"59";"24";"answer"
"1";"60";"1";"answer"
"3";"60";"2";"answer"
"4";"60";"10";"answer"
"1";"61";"1";"answer"
"3";"61";"1";"answer"
"4";"61";"1";"answer"
"1";"62";"1";"answer"
"3";"62";"1";"answer"
"4";"62";"3";"answer"
"1";"63";"1";"answer"
"4";"63";"20";"answer"
