"profile";"period";"myCount";"description"
"1";"2";"1";"comment"
"2";"2";"1";"comment"
"3";"2";"1";"comment"
"4";"2";"26";"comment"
"1";"3";"1";"comment"
"4";"3";"2";"comment"
"2";"4";"1";"comment"
"4";"4";"1";"comment"
"1";"5";"3";"comment"
"4";"5";"3";"comment"
"1";"6";"12";"comment"
"3";"6";"1";"comment"
"4";"6";"2";"comment"
"1";"7";"1";"comment"
"3";"7";"3";"comment"
"4";"7";"2";"comment"
"1";"8";"1";"comment"
"3";"8";"1";"comment"
"4";"8";"7";"comment"
"1";"9";"1";"comment"
"2";"9";"1";"comment"
"3";"9";"1";"comment"
"4";"9";"1";"comment"
"1";"10";"5";"comment"
"4";"10";"14";"comment"
"1";"11";"3";"comment"
"2";"11";"1";"comment"
"3";"11";"1";"comment"
"4";"11";"1";"comment"
"1";"12";"1";"comment"
"4";"12";"1";"comment"
"1";"13";"1";"comment"
"3";"13";"1";"comment"
"4";"13";"24";"comment"
"1";"14";"1";"comment"
"2";"14";"1";"comment"
"3";"14";"7";"comment"
"4";"14";"1";"comment"
"1";"15";"1";"comment"
"2";"15";"1";"comment"
"3";"15";"1";"comment"
"4";"15";"11";"comment"
"1";"16";"1";"comment"
"2";"16";"1";"comment"
"3";"16";"1";"comment"
"4";"16";"1";"comment"
"1";"17";"2";"comment"
"3";"17";"3";"comment"
"4";"17";"48";"comment"
"1";"18";"1";"comment"
"2";"18";"4";"comment"
"3";"18";"7";"comment"
"4";"18";"5";"comment"
"1";"19";"3";"comment"
"3";"19";"1";"comment"
"4";"19";"15";"comment"
"1";"20";"1";"comment"
"2";"20";"1";"comment"
"3";"20";"2";"comment"
"4";"20";"1";"comment"
"1";"21";"1";"comment"
"2";"21";"1";"comment"
"3";"21";"2";"comment"
"4";"21";"2";"comment"
"1";"22";"1";"comment"
"2";"22";"2";"comment"
"3";"22";"3";"comment"
"4";"22";"7";"comment"
"1";"23";"1";"comment"
"3";"23";"1";"comment"
"4";"23";"20";"comment"
"1";"24";"1";"comment"
"2";"24";"1";"comment"
"3";"24";"2";"comment"
"4";"24";"6";"comment"
"1";"25";"1";"comment"
"2";"25";"1";"comment"
"3";"25";"1";"comment"
"4";"25";"1";"comment"
"1";"26";"3";"comment"
"2";"26";"1";"comment"
"3";"26";"2";"comment"
"4";"26";"42";"comment"
"1";"27";"10";"comment"
"2";"27";"1";"comment"
"3";"27";"2";"comment"
"4";"27";"8";"comment"
"1";"28";"1";"comment"
"2";"28";"1";"comment"
"3";"28";"11";"comment"
"4";"28";"21";"comment"
"1";"29";"2";"comment"
"2";"29";"1";"comment"
"3";"29";"2";"comment"
"4";"29";"2";"comment"
"1";"30";"4";"comment"
"2";"30";"1";"comment"
