"totalBestAnswers";"profile_1";"period"
"86";"4";"2"
"62";"4";"3"
"34";"4";"4"
"30";"4";"5"
"1";"1";"6"
"43";"4";"6"
"1";"1";"7"
"52";"4";"7"
"34";"4";"8"
"2";"1";"9"
"46";"4";"9"
"30";"4";"10"
"2";"1";"11"
"50";"4";"11"
"33";"4";"12"
"51";"4";"13"
"1";"1";"14"
"54";"4";"14"
"54";"4";"15"
"40";"4";"16"
"2";"1";"17"
"62";"4";"17"
"64";"4";"18"
"2";"1";"19"
"59";"4";"19"
"1";"1";"20"
"62";"4";"20"
"4";"1";"21"
"66";"4";"21"
"3";"1";"22"
"70";"4";"22"
"3";"1";"23"
"82";"4";"23"
"1";"1";"24"
"129";"4";"24"
"1";"1";"25"
"126";"4";"25"
"2";"1";"26"
"134";"4";"26"
"5";"1";"27"
"168";"4";"27"
"4";"1";"28"
"161";"4";"28"
"3";"1";"29"
"200";"4";"29"
"4";"1";"30"
"234";"4";"30"
"3";"1";"31"
"212";"4";"31"
"4";"1";"32"
"194";"4";"32"
"8";"1";"33"
"234";"4";"33"
"2";"1";"34"
"217";"4";"34"
"5";"1";"35"
"242";"4";"35"
"197";"4";"36"
"2";"1";"37"
"226";"4";"37"
"7";"1";"38"
"274";"4";"38"
"4";"1";"39"
"240";"4";"39"
"7";"1";"40"
"181";"4";"40"
"7";"1";"41"
"132";"4";"41"
"12";"1";"42"
"169";"4";"42"
"7";"1";"43"
"210";"4";"43"
"12";"1";"44"
"185";"4";"44"
"12";"1";"45"
"171";"4";"45"
"8";"1";"46"
"207";"4";"46"
"10";"1";"47"
"168";"4";"47"
"16";"1";"48"
"169";"4";"48"
"5";"1";"49"
"170";"4";"49"
"5";"1";"50"
"204";"4";"50"
"16";"1";"51"
"171";"4";"51"
"11";"1";"52"
"124";"4";"52"
"11";"1";"53"
"182";"4";"53"
"15";"1";"54"
"189";"4";"54"
"15";"1";"55"
"209";"4";"55"
"11";"1";"56"
"177";"4";"56"
"8";"1";"57"
"159";"4";"57"
"12";"1";"58"
"218";"4";"58"
"16";"1";"59"
"236";"4";"59"
"7";"1";"60"
"210";"4";"60"
"9";"1";"61"
"195";"4";"61"
"11";"1";"62"
"195";"4";"62"
"7";"1";"63"
"122";"4";"63"
