"totalBestAnswers";"profile";"period"
"1";"4";"1"
"68";"4";"6"
"101";"4";"7"
"2";"1";"8"
"84";"4";"8"
"75";"4";"9"
"2";"1";"10"
"73";"4";"10"
"2";"1";"11"
"2";"3";"11"
"63";"4";"11"
"2";"1";"12"
"73";"4";"12"
"53";"4";"13"
"54";"4";"14"
"1";"1";"15"
"80";"4";"15"
"1";"1";"16"
"1";"3";"16"
"55";"4";"16"
"1";"1";"17"
"67";"4";"17"
"39";"4";"18"
"4";"1";"19"
"64";"4";"19"
"3";"1";"20"
"1";"2";"20"
"67";"4";"20"
"3";"1";"21"
"1";"3";"21"
"54";"4";"21"
"70";"4";"22"
"1";"1";"23"
"1";"3";"23"
"86";"4";"23"
"4";"1";"24"
"74";"4";"24"
"1";"3";"25"
"78";"4";"25"
"2";"1";"26"
"106";"4";"26"
"1";"1";"27"
"1";"2";"27"
"1";"3";"27"
"101";"4";"27"
"1";"1";"28"
"90";"4";"28"
"4";"1";"29"
"84";"4";"29"
"2";"1";"30"
"1";"2";"30"
"1";"3";"30"
"84";"4";"30"
"2";"1";"31"
"79";"4";"31"
"7";"1";"32"
"1";"3";"32"
"119";"4";"32"
"2";"1";"33"
"3";"3";"33"
"133";"4";"33"
"4";"1";"34"
"2";"2";"34"
"162";"4";"34"
"6";"1";"35"
"141";"4";"35"
"4";"1";"36"
"116";"4";"36"
"3";"1";"37"
"1";"2";"37"
"123";"4";"37"
"5";"1";"38"
"152";"4";"38"
"1";"1";"39"
"162";"4";"39"
"7";"1";"40"
"1";"3";"40"
"134";"4";"40"
"4";"1";"41"
"1";"2";"41"
"1";"3";"41"
"127";"4";"41"
"5";"1";"42"
"151";"4";"42"
"2";"1";"43"
"130";"4";"43"
"5";"1";"44"
"122";"4";"44"
"4";"1";"45"
"2";"3";"45"
"141";"4";"45"
"3";"1";"46"
"1";"2";"46"
"183";"4";"46"
"4";"1";"47"
"137";"4";"47"
"3";"1";"48"
"1";"3";"48"
"189";"4";"48"
"5";"1";"49"
"126";"4";"49"
"1";"1";"50"
"107";"4";"50"
"5";"1";"51"
"2";"2";"51"
"121";"4";"51"
"4";"1";"52"
"2";"3";"52"
"113";"4";"52"
"11";"1";"53"
"1";"3";"53"
"129";"4";"53"
"8";"1";"54"
"1";"2";"54"
"3";"3";"54"
"107";"4";"54"
"7";"1";"55"
"1";"3";"55"
"122";"4";"55"
"9";"1";"56"
"10";"3";"56"
"128";"4";"56"
"8";"1";"57"
"1";"3";"57"
"125";"4";"57"
"4";"1";"58"
"2";"3";"58"
"139";"4";"58"
"11";"1";"59"
"100";"4";"59"
"7";"1";"60"
"3";"3";"60"
"119";"4";"60"
"5";"1";"61"
"2";"3";"61"
"84";"4";"61"
"6";"1";"62"
"1";"2";"62"
"4";"3";"62"
"117";"4";"62"
"11";"1";"63"
"67";"4";"63"
"5";"1";"64"
"1";"3";"64"
"123";"4";"64"
"4";"1";"65"
"1";"3";"65"
"107";"4";"65"
"5";"1";"66"
"1";"3";"66"
"97";"4";"66"
"4";"1";"67"
"117";"4";"67"
"9";"1";"68"
"4";"3";"68"
"117";"4";"68"
"9";"1";"69"
"117";"4";"69"
"8";"1";"70"
"2";"3";"70"
"187";"4";"70"
"9";"1";"71"
"130";"4";"71"
"6";"1";"72"
"1";"3";"72"
"56";"4";"72"
