"totalBestAnswers";"profile";"period"
"1";"4";"0"
"6";"1";"2"
"1";"3";"2"
"71";"4";"2"
"2";"3";"3"
"39";"4";"3"
"1";"3";"4"
"28";"4";"4"
"2";"3";"5"
"27";"4";"5"
"3";"3";"6"
"34";"4";"6"
"1";"1";"7"
"4";"3";"7"
"34";"4";"7"
"4";"3";"8"
"29";"4";"8"
"7";"3";"9"
"28";"4";"9"
"1";"1";"10"
"1";"2";"10"
"4";"3";"10"
"23";"4";"10"
"21";"4";"14"
"1";"1";"15"
"8";"3";"15"
"52";"4";"15"
"2";"1";"16"
"5";"3";"16"
"25";"4";"16"
"5";"3";"17"
"30";"4";"17"
"1";"1";"20"
"1";"2";"20"
"3";"3";"20"
"24";"4";"20"
"1";"1";"21"
"13";"3";"21"
"42";"4";"21"
"3";"1";"22"
"1";"2";"22"
"10";"3";"22"
"72";"4";"22"
"2";"1";"23"
"12";"3";"23"
"87";"4";"23"
"14";"3";"24"
"104";"4";"24"
"2";"1";"25"
"1";"2";"25"
"20";"3";"25"
"119";"4";"25"
"1";"1";"26"
"27";"3";"26"
"96";"4";"26"
"1";"1";"27"
"12";"3";"27"
"72";"4";"27"
"3";"1";"28"
"1";"2";"28"
"14";"3";"28"
"99";"4";"28"
"3";"1";"29"
"19";"3";"29"
"132";"4";"29"
"2";"1";"30"
"22";"3";"30"
"160";"4";"30"
"5";"1";"31"
"23";"3";"31"
"144";"4";"31"
"3";"1";"32"
"1";"2";"32"
"12";"3";"32"
"62";"4";"32"
"3";"1";"33"
"2";"2";"33"
"38";"3";"33"
"164";"4";"33"
"1";"1";"34"
"15";"3";"34"
"60";"4";"34"
"1";"1";"35"
"35";"3";"35"
"99";"4";"35"
"3";"1";"36"
"3";"3";"36"
"18";"4";"36"
"6";"1";"37"
"2";"2";"37"
"19";"3";"37"
"110";"4";"37"
"8";"1";"38"
"21";"3";"38"
"106";"4";"38"
"1";"2";"39"
"7";"3";"39"
"59";"4";"39"
"2";"3";"40"
"9";"4";"40"
"7";"1";"41"
"1";"2";"41"
"29";"3";"41"
"111";"4";"41"
"7";"1";"42"
"35";"3";"42"
"102";"4";"42"
"2";"1";"43"
"17";"3";"43"
"60";"4";"43"
"7";"1";"44"
"1";"2";"44"
"32";"3";"44"
"103";"4";"44"
"5";"1";"45"
"46";"3";"45"
"104";"4";"45"
"7";"1";"46"
"2";"2";"46"
"38";"3";"46"
"107";"4";"46"
"7";"1";"47"
"1";"2";"47"
"40";"3";"47"
"107";"4";"47"
"7";"1";"48"
"2";"2";"48"
"18";"3";"48"
"46";"4";"48"
"5";"1";"49"
"1";"2";"49"
"29";"3";"49"
"81";"4";"49"
"3";"1";"50"
"4";"2";"50"
"15";"3";"50"
"51";"4";"50"
"4";"1";"51"
"4";"2";"51"
"26";"3";"51"
"73";"4";"51"
"10";"1";"52"
"1";"2";"52"
"20";"3";"52"
"86";"4";"52"
"11";"1";"53"
"32";"3";"53"
"87";"4";"53"
"11";"1";"54"
"7";"2";"54"
"48";"3";"54"
"111";"4";"54"
"9";"1";"55"
"30";"3";"55"
"80";"4";"55"
