"id_user";"reputation";"profile_1";"profile_2";"totalBestAnswer"
"32529";"185";"4";"4";"1"
"37315";"73";"1";"1";"1"
"38616";"255";"4";"4";"1"
"39195";"145";"4";"4";"1"
"41359";"46";"1";"1";"1"
"42035";"26";"1";"1";"1"
"42858";"126";"1";"4";"1"
"43767";"101";"1";"1";"1"
"45925";"46";"1";"1";"1"
"44485";"46";"1";"1";"1"
"28833";"256";"4";"4";"1"
"29504";"46";"1";"1";"1"
"30105";"118";"1";"4";"1"
"30856";"200";"4";"4";"1"
"31365";"56";"1";"1";"1"
"31903";"66";"1";"1";"1"
"29890";"104";"1";"4";"1"
"33542";"318";"4";"4";"1"
"34314";"206";"4";"4";"1"
"39680";"126";"1";"4";"1"
"37960";"106";"1";"4";"1"
"40027";"19";"1";"1";"1"
"28730";"140";"4";"4";"1"
"42317";"186";"4";"4";"1"
"41598";"118";"1";"4";"1"
"45746";"163";"4";"4";"1"
"45036";"263";"4";"4";"1"
"46667";"56";"1";"1";"1"
"30300";"154";"4";"4";"1"
"28277";"136";"4";"4";"1"
"28107";"508";"4";"4";"1"
"28772";"416";"4";"4";"1"
"28647";"227";"4";"4";"1"
"33934";"146";"4";"4";"1"
"29199";"560";"4";"4";"1"
"30568";"66";"1";"1";"1"
"31352";"143";"4";"4";"1"
"32078";"36";"1";"1";"1"
"32576";"156";"4";"4";"1"
"33285";"94";"1";"1";"1"
"33118";"212";"4";"4";"1"
"30357";"374";"4";"4";"1"
"35131";"94";"1";"1";"1"
"28774";"238";"4";"4";"1"
"37717";"66";"1";"1";"1"
"39884";"73";"1";"1";"1"
"36233";"26";"1";"1";"1"
"42068";"26";"1";"1";"1"
"38322";"186";"4";"4";"1"
"44261";"76";"1";"1";"1"
"34550";"95";"1";"1";"1"
"42956";"341";"4";"4";"1"
"29044";"263";"4";"4";"1"
"29792";"54";"1";"1";"1"
"30073";"181";"4";"4";"1"
"31639";"136";"4";"4";"1"
"30846";"98";"1";"1";"1"
"31401";"136";"4";"4";"1"
"31592";"128";"4";"4";"1"
"30882";"380";"4";"4";"1"
"33545";"166";"4";"4";"1"
"35516";"348";"4";"4";"1"
"37588";"188";"4";"4";"1"
"42657";"26";"1";"1";"1"
"44772";"26";"1";"1";"1"
"35160";"330";"4";"4";"1"
"40698";"31";"1";"1";"1"
"43924";"46";"1";"1";"1"
"33206";"670";"4";"4";"1"
"28180";"681";"4";"4";"1"
"29677";"156";"4";"4";"1"
"29884";"266";"4";"4";"1"
"30143";"146";"4";"4";"1"
"30084";"317";"4";"4";"1"
"32510";"659";"4";"4";"1"
"33778";"644";"4";"4";"1"
"34563";"196";"4";"4";"1"
"35427";"61";"1";"1";"1"
"36698";"165";"4";"4";"1"
"35594";"166";"4";"4";"1"
"38453";"46";"1";"1";"1"
"39209";"160";"4";"4";"1"
"39710";"21";"1";"1";"1"
"40447";"56";"1";"1";"1"
"41771";"168";"4";"4";"1"
"45336";"423";"4";"4";"1"
"46872";"16";"1";"1";"1"
"29777";"76";"1";"1";"1"
"30003";"66";"1";"1";"1"
"30829";"44";"1";"1";"1"
"31084";"66";"1";"1";"1"
"32120";"176";"4";"4";"1"
"34245";"26";"1";"1";"1"
"31709";"186";"4";"4";"1"
"34073";"296";"4";"4";"1"
"43016";"51";"1";"1";"1"
"33117";"139";"4";"4";"1"
"36223";"56";"1";"1";"1"
"36971";"36";"1";"1";"1"
"38240";"71";"1";"1";"1"
"38710";"126";"1";"4";"1"
"32760";"150";"4";"4";"1"
"40062";"129";"4";"4";"1"
"41361";"56";"1";"1";"1"
"42052";"56";"1";"1";"1"
"40544";"1016";"4";"4";"1"
"43755";"44";"1";"1";"1"
"45161";"529";"4";"4";"1"
"28537";"66";"1";"1";"1"
"29549";"251";"4";"4";"1"
"31890";"159";"4";"4";"1"
"32696";"42";"1";"1";"1"
"32967";"371";"4";"4";"1"
"33610";"26";"1";"1";"1"
"33232";"214";"4";"4";"1"
"36510";"36";"1";"1";"1"
"35397";"429";"4";"4";"1"
"38171";"153";"4";"4";"1"
"36147";"16";"1";"1";"1"
"32243";"760";"4";"4";"1"
"40327";"46";"1";"1";"1"
"39269";"1";"1";"1";"1"
