"id_user";"reputation";"profile_1";"profile_2";"totalBestAnswer"
"60904";"156";"4";"4";"1"
"54608";"113";"4";"4";"1"
"65533";"26";"1";"1";"1"
"66589";"32";"1";"1";"1"
"67922";"26";"1";"1";"1"
"57213";"106";"1";"4";"1"
"72536";"58";"1";"1";"1"
"74054";"36";"1";"1";"1"
"76106";"36";"1";"1";"1"
"50712";"36";"1";"1";"1"
"50896";"381";"4";"4";"1"
"52309";"145";"4";"4";"1"
"53709";"156";"4";"4";"1"
"54192";"85";"1";"1";"1"
"51375";"126";"4";"4";"1"
"53565";"968";"4";"4";"1"
"55866";"151";"4";"4";"1"
"57357";"377";"4";"4";"1"
"60185";"166";"4";"4";"1"
"60869";"176";"4";"4";"1"
"61972";"51";"1";"1";"1"
"66174";"16";"1";"1";"1"
"59998";"326";"4";"4";"1"
"55418";"350";"4";"4";"1"
"57405";"151";"4";"4";"1"
"66933";"14";"1";"1";"1"
"75766";"26";"1";"1";"1"
"50318";"484";"4";"4";"1"
"54421";"120";"4";"4";"1"
"55538";"288";"4";"4";"1"
"58975";"106";"1";"4";"1"
"58729";"326";"4";"4";"1"
"60663";"124";"4";"4";"1"
"62242";"24";"1";"1";"1"
"62401";"140";"4";"4";"1"
"63506";"116";"4";"4";"1"
"56490";"549";"4";"4";"1"
"65388";"36";"1";"1";"1"
"65896";"39";"1";"1";"1"
"68926";"58";"1";"1";"1"
"54329";"183";"4";"4";"1"
"73537";"170";"4";"4";"1"
"67370";"242";"4";"4";"1"
"56715";"326";"4";"4";"1"
"51290";"193";"4";"4";"1"
"52817";"62";"1";"1";"1"
"54102";"16";"1";"1";"1"
"54017";"189";"4";"4";"1"
"54133";"154";"4";"4";"1"
"55834";"96";"1";"1";"1"
"56322";"51";"1";"1";"1"
"56096";"265";"4";"4";"1"
"58246";"154";"4";"4";"1"
"59541";"99";"1";"1";"1"
"61043";"14";"1";"1";"1"
"53848";"115";"4";"4";"1"
"64588";"1";"1";"1";"1"
"65669";"26";"1";"1";"1"
"59891";"126";"4";"4";"1"
"65384";"187";"4";"4";"1"
"66313";"166";"4";"4";"1"
"74447";"156";"4";"4";"1"
"76376";"56";"1";"1";"1"
"50209";"590";"4";"4";"1"
"51932";"228";"4";"4";"1"
"50275";"417";"4";"4";"1"
"53501";"306";"4";"4";"1"
"57767";"904";"4";"4";"1"
"54978";"224";"4";"4";"1"
"57492";"637";"4";"4";"1"
"55518";"446";"4";"4";"1"
"60736";"236";"4";"4";"1"
"61326";"9";"1";"1";"1"
"62007";"76";"1";"1";"1"
"62863";"16";"1";"1";"1"
"53855";"606";"4";"4";"1"
"54366";"236";"4";"4";"1"
"66637";"43";"1";"1";"1"
"67630";"16";"1";"1";"1"
"68821";"72";"1";"1";"1"
"75463";"66";"1";"1";"1"
"50875";"514";"4";"4";"1"
"54317";"192";"4";"4";"1"
"55040";"46";"1";"1";"1"
"55679";"326";"4";"4";"1"
"56600";"166";"4";"4";"1"
"55183";"85";"1";"1";"1"
"58162";"50";"1";"1";"1"
"60064";"404";"4";"4";"1"
"61689";"44";"1";"1";"1"
"62446";"36";"1";"1";"1"
"62233";"48";"1";"1";"1"
"53423";"304";"4";"4";"1"
"65537";"26";"1";"1";"1"
"59693";"338";"4";"4";"1"
"64918";"674";"4";"4";"1"
"74009";"176";"4";"4";"1"
"76039";"86";"1";"1";"1"
"54196";"48";"1";"1";"1"
"54781";"156";"4";"4";"1"
"55268";"46";"1";"1";"1"
"55880";"46";"1";"1";"1"
"58456";"144";"4";"4";"1"
"54901";"503";"4";"4";"1"
"51852";"270";"4";"4";"1"
"61229";"120";"4";"4";"1"
"62716";"164";"4";"4";"1"
"62190";"53";"1";"1";"1"
"65107";"36";"1";"1";"1"
"63282";"118";"4";"4";"1"
"67904";"140";"4";"4";"1"
"61108";"136";"4";"4";"1"
"71087";"167";"4";"4";"1"
"74795";"416";"4";"4";"1"
"76994";"673";"4";"4";"1"
"51146";"512";"4";"4";"1"
"52583";"350";"4";"4";"1"
"53121";"280";"4";"4";"1"
"55638";"684";"4";"4";"1"
"54531";"811";"4";"4";"1"
"56836";"193";"4";"4";"1"
"58968";"26";"1";"1";"1"
"58645";"121";"4";"4";"1"
"56950";"16";"1";"1";"1"
"61547";"11";"1";"1";"1"
"62247";"112";"4";"4";"1"
"62861";"26";"1";"1";"1"
"64603";"26";"1";"1";"1"
"61543";"211";"4";"4";"1"
"66771";"16";"1";"1";"1"
"66690";"116";"4";"4";"1"
"67242";"419";"4";"4";"1"
"68108";"194";"4";"4";"1"
"52440";"26";"1";"1";"1"
"51007";"246";"4";"4";"1"
"51242";"230";"4";"4";"1"
"56789";"124";"4";"4";"1"
"55825";"56";"1";"1";"1"
"52799";"247";"4";"4";"1"
"57987";"427";"4";"4";"1"
"59667";"14";"1";"1";"1"
"60169";"26";"1";"1";"1"
"60285";"65";"1";"1";"1"
"61778";"26";"1";"1";"1"
"60442";"186";"4";"4";"1"
"63687";"346";"4";"4";"1"
"67176";"26";"1";"1";"1"
"66288";"158";"4";"4";"1"
"70423";"56";"1";"1";"1"
"70755";"421";"4";"4";"1"
"65649";"301";"4";"4";"1"
"62285";"49";"1";"1";"1"
"50294";"876";"4";"4";"1"
"50418";"303";"4";"4";"1"
"52597";"26";"1";"1";"1"
"54885";"239";"4";"4";"1"
"55361";"86";"1";"1";"1"
"56021";"96";"1";"1";"1"
"56955";"495";"4";"4";"1"
"58018";"166";"4";"4";"1"
"59570";"481";"4";"4";"1"
"61613";"36";"1";"1";"1"
"62105";"192";"4";"4";"1"
"56830";"60";"1";"1";"1"
"60905";"141";"4";"4";"1"
"61939";"256";"4";"4";"1"
"66655";"26";"1";"1";"1"
"55501";"176";"4";"4";"1"
"70869";"12";"1";"1";"1"
"73173";"185";"4";"4";"1"
"75689";"336";"4";"4";"1"
"50885";"244";"4";"4";"1"
"51250";"297";"4";"4";"1"
"52732";"26";"1";"1";"1"
"53448";"194";"4";"4";"1"
"55727";"402";"4";"4";"1"
"56307";"515";"4";"4";"1"
"57750";"13";"1";"1";"1"
"58138";"405";"4";"4";"1"
"58753";"21";"1";"1";"1"
"59402";"142";"4";"4";"1"
"59975";"76";"1";"1";"1"
"60947";"106";"1";"4";"1"
"51035";"201";"4";"4";"1"
"56547";"395";"4";"4";"1"
