"id";"id_community";"profile";"reputation";"betweenness";"closeness";"eccentricity";"harmonic_closeness";"page_rank";"indegree";"outdegree";"degree";"eigenvector";"modularity_class";"clustering_coefficient";"interactions";"strongly_component";"weakly_component";"answers";"comments";"questions"
"50181";"10";"4";"4364";"307562,5768971396";"0,33487693478812486";"6";"0,3577792511207777";"0,0006786852298446839";"69";"51";"120";"0,10994135609810131";"16";"0,07688238471746445";"196";"1043";"0";"41";"67";"12"
"50184";"10";"4";"310";"15990,265714366777";"0,2712325951805991";"8";"0,28406692284794055";"0,00007897078576770897";"7";"7";"14";"0,007195013026586072";"16";"0,37272727489471436";"21";"1043";"0";"2";"11";"1"
"50185";"10";"4";"1247";"49866,58910076532";"0,30449328026763567";"7";"0,32149757800448203";"0,0003381439944713193";"26";"18";"44";"0,04691715522623666";"16";"0,13846154510974884";"69";"1043";"0";"5";"29";"8"
"50186";"10";"4";"1653";"16599,931404045965";"0,30325137867647056";"7";"0,31840806790606874";"0,00007232405630182664";"9";"15";"24";"0,008252631060402112";"16";"0,1894736886024475";"32";"1043";"0";"10";"5";"1"
"50188";"10";"4";"3595";"264666,9140834603";"0,34395360959082616";"7";"0,36858802623150183";"0,0016041803643690874";"149";"45";"194";"0,2404296752281649";"16";"0,08465608209371567";"512";"1043";"0";"33";"309";"9"
"50190";"10";"4";"376";"119,92665198537922";"0,2715115980044232";"8";"0,28396228542563";"0,00004665429498532354";"1";"9";"10";"0,001276910879600473";"16";"0,2222222238779068";"16";"1043";"0";"0";"1";"2"
"50191";"10";"4";"121";"0";"0,2655668443818529";"8";"0,2772614538239536";"0,000015552246910179046";"0";"3";"3";"0";"7";"0";"4";"1301";"0";"0";"0";"1"
"50192";"10";"4";"159";"2,8056616121301348";"0,2140366526110931";"9";"0,22016893832106135";"0,00003308789594909047";"2";"2";"4";"0,0005823435756612637";"16";"0,1666666716337204";"4";"1043";"0";"1";"1";"0"
"50195";"10";"4";"511";"3277,697578512215";"0,23155539959645582";"8";"0,23916822269730903";"0,0000465820990611841";"6";"5";"11";"0,004050087798965285";"16";"0,24444444477558136";"15";"1043";"0";"3";"4";"0"
"50196";"10";"4";"9576";"817484,8833246715";"0,3454616844447353";"7";"0,37300985937089615";"0,0018994075671680698";"187";"92";"279";"0,14207751848143832";"16";"0,034263741225004196";"543";"1043";"0";"75";"287";"28"
"50197";"10";"4";"573";"52633,99268778186";"0,30954614753137094";"7";"0,3283314841374968";"0,0001633807636533238";"6";"20";"26";"0,03799541699709489";"16";"0,23333333432674408";"51";"1043";"0";"0";"26";"11"
"50198";"10";"4";"121";"10484,589559280772";"0,24634840636520602";"8";"0,25493397017833974";"0,000050355005524462874";"2";"2";"4";"0,0030104354762548707";"18";"0";"6";"1043";"0";"0";"4";"1"
"50199";"10";"4";"1004";"87779,62961583203";"0,3092197750702905";"7";"0,3268223599346805";"0,0002157514588685253";"25";"18";"43";"0,021980590463975977";"16";"0,09388335794210434";"54";"1043";"0";"10";"21";"7"
"50203";"10";"1";"62";"0";"0,30303030303030304";"7";"0,31944173881672955";"0,000015552246910179046";"0";"6";"6";"0";"17";"0,3333333432674408";"6";"1307";"0";"0";"0";"2"
"50204";"10";"4";"15785";"1087067,2284775418";"0,36068597977589506";"7";"0,39203312315642547";"0,0018965245057062077";"190";"129";"319";"0,15066560573082238";"16";"0,04397084191441536";"670";"1043";"0";"167";"210";"31"
"50205";"10";"3";"103";"0";"0";"0";"0";"0,000021580721055824275";"1";"0";"1";"0,0003135547011979334";"16";"0";"1";"197";"0";"0";"1";"0"
"50206";"10";"4";"2843";"34967,1979302382";"0,3011580808945177";"7";"0,3169575767416175";"0,00031058832337922893";"34";"14";"48";"0,03697837319696657";"16";"0,15169133245944977";"87";"1043";"0";"26";"39";"1"
"50208";"10";"4";"312";"1064,1569454298312";"0,26074286278771114";"8";"0,27183020774136674";"0,000049580640147227134";"3";"8";"11";"0,0035381416764691683";"16";"0,2361111044883728";"12";"1043";"0";"0";"4";"3"
"50209";"10";"4";"590";"21586,4451242841";"0,2728024391504315";"8";"0,28628956602530936";"0,00007784465421418706";"7";"11";"18";"0,007471276371548444";"16";"0,3131868243217468";"22";"1043";"0";"2";"6";"2"
"50210";"10";"4";"248";"0";"0,310661332078136";"7";"0,3288893398268291";"0,000015552246910179046";"0";"8";"8";"0";"16";"0,375";"9";"1308";"0";"0";"0";"3"
"50212";"10";"3";"102";"0";"0,2270537634408602";"8";"0,23371174194247737";"0,000019676652989457973";"1";"1";"2";"0,00022830108159166066";"16";"0";"2";"1043";"0";"0";"1";"1"
"50213";"10";"4";"4657";"310078,52494668635";"0,3262468327050244";"7";"0,34850530854507433";"0,0014132880499495928";"134";"43";"177";"0,16696941357382927";"16";"0,06149835139513016";"263";"1043";"0";"63";"127";"0"
"50216";"10";"4";"290";"1121,3443434614292";"0,2812466702184337";"8";"0,2945184874480157";"0,00018383424660320304";"6";"5";"11";"0,023009636083582165";"16";"0,6428571343421936";"11";"1043";"0";"1";"5";"2"
"50217";"10";"4";"879";"30978,804980612687";"0,3153147772070243";"7";"0,3338389305333683";"0,00010752500581293711";"6";"14";"20";"0,015127351715736254";"16";"0,20915032923221588";"22";"1043";"0";"2";"4";"6"
"50219";"10";"4";"128";"307,2496680408113";"0,23484140753592242";"8";"0,24193141738605614";"0,00005973441768267505";"3";"1";"4";"0,006054747954129138";"16";"0,5";"4";"1043";"0";"0";"3";"1"
"50221";"10";"4";"789";"27431,074687088592";"0,3268123568377391";"7";"0,3479735519894494";"0,00007968179784924817";"10";"22";"32";"0,006111432242712659";"16";"0,23152709007263184";"63";"1043";"0";"5";"18";"7"
"50224";"10";"4";"492";"39598,91463568473";"0,3067046246804555";"7";"0,3237486356542895";"0,00006187111704894662";"6";"15";"21";"0,002428891433912397";"16";"0,22514620423316956";"27";"1043";"0";"1";"6";"3"
"50226";"10";"4";"181";"0";"0,26514010244049413";"8";"0,2763760371572875";"0,000015552246910179046";"0";"2";"2";"0";"16";"0";"2";"1313";"0";"0";"0";"1"
"50227";"10";"4";"624";"0";"0,2909641873278237";"7";"0,30512574277959015";"0,000015552246910179046";"0";"15";"15";"0";"16";"0,10476190596818924";"17";"1315";"0";"0";"0";"2"
"50228";"10";"4";"158";"0";"0,2903172595810194";"7";"0,30424016955266314";"0,000015552246910179046";"1";"2";"3";"0,0001927139082221773";"5";"0,5";"3";"1316";"0";"1";"0";"1"
"50231";"10";"4";"1047";"47739,097606337484";"0,3133681586133207";"7";"0,33214353367790234";"0,00009258482119397403";"10";"27";"37";"0,010524869971527191";"16";"0,19886364042758942";"69";"1043";"0";"3";"17";"18"
"50234";"10";"4";"162";"172,57952893362435";"0,27023291528026616";"8";"0,28165439883094656";"0,00006234076236286566";"3";"3";"6";"0,008079628577333579";"18";"0,10000000149011612";"6";"1043";"0";"1";"2";"1"
"50235";"10";"4";"400";"54139,06712298805";"0,2169392619380291";"9";"0,22320252152134273";"0,0004306945343353361";"20";"2";"22";"0,06999956413881611";"16";"0,15238095819950104";"25";"1043";"0";"4";"19";"0"
"50238";"10";"4";"2088";"13029,365441687623";"0,3015882084095064";"7";"0,31778655769941155";"0,0002123947506562526";"12";"13";"25";"0,01989751913001698";"16";"0,385869562625885";"54";"1043";"0";"13";"17";"1"
"50239";"10";"4";"111";"0";"0";"0";"0";"0,00011392142086204092";"5";"0";"5";"0,023143169390038378";"36";"0,20000000298023224";"6";"49";"0";"0";"6";"0"
"50240";"10";"1";"79";"110,11883550165592";"0,2722958683653995";"7";"0,283405497072856";"0,00004740258921159433";"3";"2";"5";"0,000981610196736335";"36";"0";"6";"1043";"0";"2";"1";"0"
"50241";"10";"4";"121";"0";"0,2777047283437648";"8";"0,29037630772005457";"0,000015552246910179046";"0";"3";"3";"0";"16";"0,5";"3";"1320";"0";"0";"0";"1"
"50247";"10";"4";"1717";"656088,6380064648";"0,3299993748827905";"7";"0,35079425215813187";"0,0032664015999411093";"352";"33";"385";"0,3617452741274272";"16";"0,025065962225198746";"603";"1043";"0";"14";"527";"11"
"50248";"10";"4";"532";"23556,5868909933";"0,30820878094348436";"7";"0,3255671618903186";"0,0000637271025598524";"6";"23";"29";"0,016794919778276123";"16";"0,20797720551490784";"36";"1043";"0";"1";"5";"6"
"50252";"10";"4";"2029";"103363,55122199275";"0,30238286172528356";"7";"0,31894794288239103";"0,0005841251291194766";"55";"16";"71";"0,06460929383389712";"16";"0,11261872202157974";"137";"1043";"0";"23";"80";"5"
"50253";"10";"2";"101";"0";"0";"0";"0";"0,000019960068040620063";"1";"0";"1";"0,0001857527576717709";"16";"0";"1";"1327";"0";"0";"1";"0"
"50255";"10";"4";"10285";"1331453,4424550543";"0,36910921549433645";"6";"0,3987308202310904";"0,0040167842741042036";"409";"94";"503";"0,4356510743432176";"21";"0,02963704615831375";"786";"1043";"0";"195";"390";"16"
"50256";"10";"4";"241";"5,25";"0,2862796118610072";"7";"0,2994954959828988";"0,00001885811275800981";"1";"3";"4";"0,0001857527576717709";"16";"0,0833333358168602";"4";"1329";"0";"1";"0";"0"
"50257";"10";"4";"2772";"10465,86470964395";"0,3151453644558534";"7";"0,33364950071711535";"0,00013561977989994103";"15";"20";"35";"0,01275502955226444";"16";"0,24337121844291687";"111";"1043";"0";"11";"40";"3"
"50258";"10";"4";"7745";"407032,48546411586";"0,33157464983355317";"7";"0,35562471247258304";"0,0010269979872307104";"112";"66";"178";"0,0823267228876733";"16";"0,059355344623327255";"373";"1043";"0";"71";"138";"18"
"50259";"10";"4";"452";"0";"0,27666596814752725";"7";"0,28885717892534446";"0,000015552246910179046";"0";"6";"6";"0";"16";"0,13333334028720856";"6";"1331";"0";"0";"0";"3"
"50261";"10";"4";"147";"339,8603833429537";"0,2671288331140573";"8";"0,27855451519497737";"0,00003244729213190448";"2";"2";"4";"0,003223373998869523";"16";"0";"4";"1043";"0";"2";"0";"0"
"50264";"10";"4";"469";"111,46454573768202";"0,28832814462832485";"7";"0,30183972433450873";"0,000026197717051954787";"2";"8";"10";"0,0007562688787292409";"16";"0,21111111342906952";"13";"1043";"0";"2";"1";"2"
"50265";"10";"4";"401";"11365,42759044293";"0,2900708830155503";"7";"0,30426307291243265";"0,00004434103595268666";"6";"9";"15";"0,001873862823264449";"16";"0,2348484843969345";"31";"1043";"0";"6";"8";"1"
"50266";"10";"4";"275";"15809,33568552813";"0,2937346984197641";"7";"0,3088152518063421";"0,00004362309640817207";"3";"9";"12";"0,0023471144957890634";"16";"0,3888888955116272";"20";"1043";"0";"2";"2";"2"
"50267";"10";"3";"111";"0";"1";"1";"1";"0,000015552246910179046";"0";"1";"1";"0";"3";"0";"1";"1334";"2";"0";"0";"1"
"50268";"10";"4";"144";"0";"0,22282241728561783";"8";"0,2293069083694184";"0,000015552246910179046";"0";"2";"2";"0";"16";"0,5";"2";"1335";"0";"0";"0";"1"
"50270";"10";"4";"442";"11373,417399354794";"0,2950975459779753";"7";"0,3100686457572159";"0,00003509703833661503";"4";"11";"15";"0,0021166804938523463";"16";"0,22435897588729858";"18";"1043";"0";"1";"4";"2"
"50275";"10";"4";"417";"13170,104957745318";"0,2971907898440579";"7";"0,31316266608934895";"0,00009511519482170164";"9";"16";"25";"0,0064591513508022525";"16";"0,17984189093112946";"47";"1043";"0";"3";"17";"6"
"50277";"10";"4";"151";"0";"0";"0";"0";"0,00011333952960640947";"4";"0";"4";"0,01279942935930053";"16";"0,0833333358168602";"4";"603";"0";"1";"3";"0"
"50278";"10";"4";"540";"84458,64074374909";"0,29368567454798333";"7";"0,30797860345122324";"0,0014622776991239919";"132";"11";"143";"0,19689643144614039";"16";"0,05726920813322067";"210";"1043";"0";"17";"189";"0"
"50279";"10";"4";"146";"0";"0,2705472432875589";"7";"0,2829243326118311";"0,000015552246910179046";"0";"4";"4";"0";"16";"0,5";"4";"1340";"0";"0";"0";"1"
"50280";"10";"4";"461";"17021,60936319424";"0,27094025867378363";"8";"0,2834400003608181";"0,00007576294982245941";"11";"8";"19";"0,005896833840145216";"16";"0,13750000298023224";"24";"1043";"0";"7";"7";"0"
