"user","reputation","entropy","profile_1","profile_2"
28087,126,0.811278124459133,1,4
28090,7295,4.68802160831291,4,4
28093,897,1.86763389097121,4,4
28096,1975,4.02931594940747,4,4
28098,176,0,4,4
28100,184,1,4,4
28101,304,1.82302649071288,4,4
28102,196,0,4,4
28103,196,0,4,4
28106,121,0,1,4
28107,508,2.23592635062903,4,4
28108,1765,3.84544914229743,4,4
28109,370,0,4,4
28111,5362,3.9871387468627,4,4
28112,247,1.92192809488736,4,4
28114,879,1.37878349348618,4,4
28117,925,2.94638751913113,4,4
28118,173,0,4,4
28119,562,3.00623892865339,4,4
28120,380,2.0588138903312,4,4
28121,226,0,4,4
28124,171,1.58496250072116,4,4
28125,418,2.25162916738782,4,4
28126,3708,4.4532009721309,4,4
28127,273,0,4,4
28128,738,1.37878349348618,4,4
28129,171,1.7527152789797,4,4
28131,1858,3.64679872932298,4,4
28132,163,0.863120568566631,4,4
28133,737,2.30718857616267,4,4
28137,56,1,1,1
28139,3582,4.442581994465,4,4
28140,178,0,4,4
28141,1427,3.5013978254341,4,4
28142,101,0,1,1
28143,269,1,4,4
28144,1686,2.5220552088742,4,4
28145,101,1,1,1
28148,5367,3.22747002422742,4,4
28149,2574,3.28844939281294,4,4
28150,1867,2.97042329381424,4,4
28151,10041,4.70035963357201,4,4
28154,2480,2.88964226730388,4,4
28155,170,1.66449777920046,4,4
28158,178,0,4,4
28159,221,1,4,4
28160,481,1.29546184423832,4,4
28162,5181,4.00986579853975,4,4
28163,297,1.5,4,4
28165,1663,3.12991331768468,4,4
28166,101,0,1,4
28167,2717,4.13502534934792,4,4
28168,991,3.983444824068,4,4
28170,125,1,1,4
28171,578,2.41308843642576,4,4
28172,91,1,1,1
28173,258,0,4,4
28176,114,2.15563906222957,1,4
28177,395,1.9211796919475,4,4
28180,681,2.11807820934971,4,4
28182,113,0,1,4
28184,1109,2.76337399030938,4,4
28185,361,0.811278124459133,4,4
28187,101,1,1,4
28188,9311,4.96351016146239,4,4
28190,101,0,1,1
28191,3673,3.55540348697869,4,4
28193,598,1.37095059445467,4,4
28194,6252,4.87703473054847,4,4
28196,276,1.97510603245737,4,4
28199,180,1.45914791702724,4,4
28200,223,1,4,4
28202,99,0,1,1
28205,374,2.56544837182083,4,4
28207,153,0,4,4
28208,1201,3.09305155943946,4,4
28211,264,1.45914791702724,4,4
28213,199,0,4,4
28215,1649,3.56691387988142,4,4
28216,621,1.83659166810898,4,4
28217,309,1,4,4
