"id";"id_community";"profile_1";"profile_2";"reputation";"betweenness";"closeness";"eccentricity";"harmonic_closeness";"page_rank";"indegree";"outdegree";"degree";"eigenvector";"modularity_class";"clustering_coefficient";"interactions";"strongly_component";"weakly_component";"answers";"comments";"questions"
"3";"1";"1";"4";"126";"0";"0,28874287131167864";"7";"0,30153397125273274";"0,00002191810650893231";"1";"5";"6";"0,00021615333013942772";"6";"0,25";"8";"1058";"0";"0";"2";"2"
"6";"1";"4";"4";"7295";"402969,38604729157";"0,3462968471148126";"6";"0,3728043805024555";"0,001985152875508643";"193";"63";"256";"0,2235535006484049";"6";"0,04911801964044571";"427";"1057";"0";"73";"219";"21"
"9";"1";"4";"4";"897";"690,190034528571";"0,28561790861698866";"7";"0,2993067272002197";"0,00007810225220557029";"8";"9";"17";"0,007366972241047209";"6";"0,2857142984867096";"20";"1057";"0";"4";"5";"2"
"12";"1";"4";"4";"1975";"50460,41664894814";"0,30037409700722395";"7";"0,3169933638046108";"0,0003251901222789251";"30";"19";"49";"0,04859628813314296";"6";"0,15914633870124817";"86";"1057";"0";"19";"28";"1"
"14";"1";"4";"4";"176";"0";"0,25523402389564837";"7";"0,26509299876274944";"0,00004402780460035625";"1";"1";"2";"0,009137151984795693";"6";"1";"2";"1057";"0";"1";"0";"0"
"16";"1";"4";"4";"184";"6185,38495292976";"0,2807281933811562";"7";"0,29260918024070276";"0,00007565303574122144";"1";"5";"6";"0,006009010782182719";"6";"0,10000000149011612";"6";"1057";"0";"0";"1";"1"
"17";"1";"4";"4";"304";"16177,662047347552";"0,3047974343870672";"7";"0,32175475730338754";"0,00004408469435995692";"2";"15";"17";"0,0035659206497554883";"6";"0,2380952388048172";"21";"1057";"0";"0";"4";"9"
"18";"1";"4";"4";"196";"0";"0,27433888921609045";"7";"0,28627399865055636";"0,00002191810650893231";"1";"4";"5";"0,00021615333013942772";"6";"0,3333333432674408";"8";"1061";"0";"0";"2";"1"
"19";"1";"4";"4";"196";"0";"0,26446374836768294";"7";"0,2748108732544153";"0,00002191810650893231";"0";"3";"3";"0";"6";"0";"3";"1063";"0";"0";"0";"1"
"22";"1";"1";"4";"121";"0";"0";"0";"0";"0,0000320058837948046";"1";"0";"1";"0,0019544023690886325";"6";"0";"1";"264";"0";"1";"0";"0"
"23";"1";"4";"4";"508";"24,10048300884085";"0,23334001402946186";"8";"0,24042404163727696";"0,0000394868579362205";"4";"2";"6";"0,0018838933477526652";"6";"0,4166666567325592";"8";"1057";"0";"4";"1";"2"
"24";"1";"4";"4";"1765";"52836,61761069925";"0,3112135792568832";"7";"0,32921664263729206";"0,0003779370628883675";"28";"22";"50";"0,05824154713267439";"6";"0,1418439745903015";"97";"1057";"0";"11";"42";"9"
"25";"1";"4";"4";"370";"7595,977251081332";"0,28834127917775987";"7";"0,3017848195752404";"0,000029855946203704247";"1";"7";"8";"0,0016587252330260984";"6";"0,0714285746216774";"9";"1057";"0";"0";"1";"1"
"27";"1";"4";"4";"5362";"193242,42382514346";"0,35200302343159484";"6";"0,379826068284289";"0,0008543337216915057";"63";"72";"135";"0,1074741635992172";"6";"0,12234724313020706";"343";"1057";"0";"53";"110";"28"
"28";"1";"4";"4";"247";"611,339295286971";"0,2963222193942479";"6";"0,310443060625577";"0,00005559508798701478";"2";"7";"9";"0,0059197660355565125";"6";"0,1527777761220932";"10";"1057";"0";"1";"2";"2"
"30";"1";"4";"4";"879";"556,9944532739432";"0,29946627226544914";"6";"0,31304845751914145";"0,00009500555582130657";"5";"4";"9";"0,008100282149316905";"6";"0,3194444477558136";"10";"1057";"0";"3";"3";"1"
"33";"1";"4";"4";"925";"12727,046891718952";"0,309888208677136";"6";"0,3260718631450793";"0,00018815874501210613";"14";"11";"25";"0,016395153725290903";"6";"0,18115942180156708";"47";"1057";"0";"10";"11";"0"
"34";"1";"4";"4";"173";"0";"0,2575472741346898";"7";"0,2674778670592371";"0,00002191810650893231";"0";"2";"2";"0";"6";"0,5";"2";"1070";"0";"0";"0";"1"
"35";"1";"4";"4";"562";"349,3336581491648";"0,2605314685314685";"7";"0,2708615806210877";"0,00018990252785939843";"11";"3";"14";"0,02966607511287904";"6";"0,35256409645080566";"21";"1057";"0";"6";"9";"0"
"36";"1";"4";"4";"380";"13700,271985578755";"0,33680480219859693";"6";"0,35749051606898885";"0,00008573473050950781";"5";"15";"20";"0,0048301507907502145";"6";"0,30416667461395264";"23";"1057";"0";"2";"4";"3"
"37";"1";"4";"4";"226";"7,439161071127017";"0,24942424080124256";"7";"0,25820270560447234";"0,000031140053327149943";"2";"1";"3";"0,001014652785054227";"6";"0";"3";"1057";"0";"1";"1";"0"
"40";"1";"4";"4";"171";"0";"0";"0";"0";"0,000055663957999181";"3";"0";"3";"0,001612036811746607";"6";"0";"3";"263";"0";"2";"1";"0"
"41";"1";"4";"4";"418";"10698,424927511283";"0,2914267834793492";"7";"0,30624814667116346";"0,00009308241248994052";"2";"10";"12";"0,007390998241789462";"6";"0,13636364042758942";"15";"1057";"0";"0";"2";"4"
"42";"1";"4";"4";"3708";"145787,73178512827";"0,3610637308109784";"6";"0,38952830863930943";"0,0008724360949130287";"78";"78";"156";"0,08608480992797143";"6";"0,09707653522491455";"298";"1057";"0";"37";"101";"31"
"43";"1";"4";"4";"273";"7747,644488839258";"0,29102612173478315";"7";"0,30484881949343823";"0,0000655237156890812";"3";"5";"8";"0,011569918479141284";"6";"0,30000001192092896";"8";"1057";"0";"0";"3";"2"
"44";"1";"4";"4";"738";"20150,7272523967";"0,2780796560578014";"7";"0,2911387874883698";"0,00010695018143493695";"6";"8";"14";"0,009819268800197194";"6";"0,20454545319080353";"14";"1057";"0";"5";"1";"1"
"45";"1";"4";"4";"171";"246,66538996323143";"0,291117084453335";"7";"0,3059582604783354";"0,00008679851247466294";"4";"6";"10";"0,008616675437046951";"6";"0,4444444477558136";"14";"1057";"0";"1";"6";"2"
"47";"1";"4";"4";"1858";"16715,788977133114";"0,30259909031838855";"7";"0,3184928985551653";"0,00022053541903514724";"19";"11";"30";"0,022222185674272196";"6";"0,29538461565971375";"51";"1057";"0";"20";"11";"0"
"48";"1";"4";"4";"163";"12922,333724231921";"0,31485362720573323";"6";"0,3322847326605023";"0,00011158097554225582";"4";"11";"15";"0,015536841651520994";"5";"0,31060606241226196";"18";"1057";"0";"0";"5";"2"
"49";"1";"4";"4";"737";"596,0090326805712";"0,2926905914147445";"7";"0,3066847653813485";"0,00016192075642461302";"9";"5";"14";"0,027042828348911332";"6";"0,5256410241127014";"28";"1057";"0";"6";"10";"1"
"53";"1";"1";"1";"56";"0";"0,27706400190340236";"7";"0,2892294874154048";"0,00002191810650893231";"0";"4";"4";"0";"11";"0,1666666716337204";"4";"1075";"0";"0";"0";"2"
"55";"1";"4";"4";"3582";"240537,89187057276";"0,34127216766818114";"6";"0,3658113234557178";"0,001438896112368889";"140";"48";"188";"0,17901025270979676";"6";"0,05387957766652107";"379";"1057";"0";"35";"236";"22"
"56";"1";"4";"4";"178";"0";"0,263119245325651";"7";"0,2746692837719073";"0,00002191810650893231";"0";"3";"3";"0";"6";"0,3333333432674408";"4";"1076";"0";"0";"0";"1"
"57";"1";"4";"4";"1427";"1771,0603209274093";"0,28270503247738726";"7";"0,29563841426628584";"0,00013419185768900972";"15";"10";"25";"0,014717206259836154";"6";"0,10822510719299316";"32";"1057";"0";"13";"9";"1"
"58";"1";"1";"4";"101";"0";"0";"0";"0";"0,00003356301854537059";"1";"0";"1";"0,0010840667002379489";"6";"0";"2";"374";"0";"0";"2";"0"
"59";"1";"4";"4";"269";"0";"0,27718943360304615";"7";"0,28944643751469373";"0,00002191810650893231";"0";"7";"7";"0";"6";"0,0714285746216774";"9";"1078";"0";"0";"0";"2"
"60";"1";"4";"4";"1686";"814,4865892784966";"0,3296571226581831";"6";"0,35159410965757715";"0,000025023261795320835";"1";"37";"38";"0,00020829388178672797";"6";"0,10526315867900848";"40";"1084";"0";"0";"1";"11"
"61";"1";"1";"4";"101";"0";"0";"0";"0";"0,00006209683855844153";"2";"0";"2";"0,008342271895401552";"6";"0,5";"2";"655";"0";"0";"2";"0"
"64";"1";"4";"4";"5367";"102945,02707862834";"0,3248692012556679";"6";"0,3459487509841705";"0,000520503287480624";"45";"38";"83";"0,0501825899641519";"6";"0,11035087704658508";"177";"1057";"0";"58";"48";"1"
"65";"1";"4";"4";"2574";"43490,39205393784";"0,30469772310913373";"7";"0,3209065717762238";"0,0004959661248828379";"37";"16";"53";"0,06387821893134026";"6";"0,12632979452610016";"85";"1057";"0";"31";"25";"3"
"66";"1";"4";"4";"1867";"52908,83989134732";"0,3245748536381377";"7";"0,34363528533594084";"0,0003950580515014053";"34";"20";"54";"0,049426468820718474";"6";"0,18501387536525726";"77";"1057";"0";"10";"40";"4"
"67";"1";"4";"4";"10041";"648923,7896828053";"0,3431834929992631";"7";"0,37171129993761187";"0,00272755773647157";"258";"87";"345";"0,22187780061536214";"6";"0,03396546468138695";"607";"1057";"0";"75";"365";"25"
"70";"1";"4";"4";"2480";"50867,32952714766";"0,3038428916291512";"7";"0,31952718386044004";"0,0006870170394413146";"41";"15";"56";"0,0877819912463187";"6";"0,17687074840068817";"100";"1057";"0";"23";"52";"0"
"71";"1";"4";"4";"170";"237,0236074358802";"0,3064218976181076";"7";"0,3220620264425221";"0,000049470184865660444";"3";"4";"7";"0,004476859195674231";"6";"0,5";"12";"1057";"0";"0";"6";"1"
"74";"1";"4";"4";"178";"0";"0,29557713052858686";"7";"0,3094502034390363";"0,00002191810650893231";"0";"2";"2";"0";"22";"1";"3";"1085";"0";"0";"0";"1"
"75";"1";"4";"4";"221";"0";"0";"0";"0";"0,000039076388686829064";"2";"0";"2";"0,00045199812343983914";"6";"0";"2";"301";"0";"1";"1";"0"
"76";"1";"4";"4";"481";"363,7472607212527";"0,2696427537490591";"7";"0,2811630213605769";"0,00008454112073494783";"5";"5";"10";"0,005932609998886645";"6";"0,3392857015132904";"18";"1057";"0";"2";"7";"1"
"78";"1";"4";"4";"5181";"176121,6785895976";"0,33474698102357675";"7";"0,36004069654487064";"0,0006255664811045166";"56";"67";"123";"0,08872178067581783";"6";"0,14406371116638184";"229";"1057";"0";"26";"90";"21"
"79";"1";"4";"4";"297";"4744,3421670051675";"0,25800554016620497";"7";"0,2684034275080061";"0,00005859209199471966";"4";"3";"7";"0,003163183443661336";"12";"0,23333333432674408";"8";"1057";"0";"3";"1";"0"
"81";"1";"4";"4";"1663";"28008,70938372136";"0,3203769950467804";"7";"0,3403248565906825";"0,00012158882999182265";"11";"31";"42";"0,009913775329533556";"6";"0,18758434057235718";"60";"1057";"0";"1";"14";"12"
"82";"1";"1";"4";"101";"0";"0";"0";"0";"0,00002833743707186779";"1";"0";"1";"0,001424125004774466";"6";"0";"1";"251";"0";"0";"1";"0"
"83";"1";"4";"4";"2717";"592078,9115196059";"0,3815336719646076";"6";"0,4143046310213873";"0,0019853496807921396";"107";"120";"227";"0,24394791820740783";"6";"0,10290133208036423";"1134";"1057";"0";"80";"399";"237"
"84";"1";"4";"4";"991";"51267,347804348305";"0,29311430010070494";"7";"0,30743887849320084";"0,0005972811149588724";"44";"18";"62";"0,08487758059511877";"22";"0,08441558480262756";"93";"1057";"0";"23";"33";"0"
"86";"1";"1";"4";"125";"0";"0,302414643645333";"6";"0,3171889532803825";"0,00002191810650893231";"0";"4";"4";"0";"22";"0,25";"5";"1088";"0";"0";"0";"2"
"87";"1";"4";"4";"578";"16083,21540450853";"0,31311773011497346";"6";"0,33076014601674053";"0,00005906972392326774";"3";"12";"15";"0,010886376480638608";"6";"0,25824177265167236";"27";"1057";"0";"1";"5";"5"
"88";"1";"1";"1";"91";"9,7710407500485";"0,272211830722469";"7";"0,2830378232461136";"0,00005863257401156094";"2";"2";"4";"0,010279324335366817";"6";"0,6666666865348816";"4";"1057";"0";"2";"0";"0"
"89";"1";"4";"4";"258";"79,41796282150003";"0,2686627437406254";"7";"0,2795234005133105";"0,0000659001072360615";"3";"2";"5";"0,010793928891937346";"6";"0,5";"5";"1057";"0";"2";"1";"0"
"92";"1";"1";"4";"114";"7703,490641960081";"0,29630336578227395";"7";"0,31127437446956047";"0,00004127795630931496";"3";"11";"14";"0,0014433283375418072";"6";"0,17307692766189575";"16";"1057";"0";"0";"4";"4"
