"degree";"indegree";"outdegree";"id_community";"period";"id_user"
"6";"1";"5";"9";"72";"28087"
"256";"193";"63";"9";"72";"28090"
"17";"8";"9";"9";"72";"28093"
"49";"30";"19";"9";"72";"28096"
"2";"1";"1";"9";"72";"28098"
"6";"1";"5";"9";"72";"28100"
"17";"2";"15";"9";"72";"28101"
"5";"1";"4";"9";"72";"28102"
"3";"0";"3";"9";"72";"28103"
"1";"1";"0";"9";"72";"28106"
"6";"4";"2";"9";"72";"28107"
"50";"28";"22";"9";"72";"28108"
"8";"1";"7";"9";"72";"28109"
"135";"63";"72";"9";"72";"28111"
"9";"2";"7";"9";"72";"28112"
"9";"5";"4";"9";"72";"28114"
"25";"14";"11";"9";"72";"28117"
"2";"0";"2";"9";"72";"28118"
"14";"11";"3";"9";"72";"28119"
"20";"5";"15";"9";"72";"28120"
"3";"2";"1";"9";"72";"28121"
"3";"3";"0";"9";"72";"28124"
"12";"2";"10";"9";"72";"28125"
"156";"78";"78";"9";"72";"28126"
"8";"3";"5";"9";"72";"28127"
"14";"6";"8";"9";"72";"28128"
"10";"4";"6";"9";"72";"28129"
"30";"19";"11";"9";"72";"28131"
"15";"4";"11";"9";"72";"28132"
"14";"9";"5";"9";"72";"28133"
"4";"0";"4";"9";"72";"28137"
"188";"140";"48";"9";"72";"28139"
"3";"0";"3";"9";"72";"28140"
"25";"15";"10";"9";"72";"28141"
"1";"1";"0";"9";"72";"28142"
"7";"0";"7";"9";"72";"28143"
"38";"1";"37";"9";"72";"28144"
"2";"2";"0";"9";"72";"28145"
"83";"45";"38";"9";"72";"28148"
"53";"37";"16";"9";"72";"28149"
"54";"34";"20";"9";"72";"28150"
"345";"258";"87";"9";"72";"28151"
"56";"41";"15";"9";"72";"28154"
"7";"3";"4";"9";"72";"28155"
"2";"0";"2";"9";"72";"28158"
"2";"2";"0";"9";"72";"28159"
"10";"5";"5";"9";"72";"28160"
"123";"56";"67";"9";"72";"28162"
"7";"4";"3";"9";"72";"28163"
"42";"11";"31";"9";"72";"28165"
"1";"1";"0";"9";"72";"28166"
"227";"107";"120";"9";"72";"28167"
"62";"44";"18";"9";"72";"28168"
"4";"0";"4";"9";"72";"28170"
"15";"3";"12";"9";"72";"28171"
"4";"2";"2";"9";"72";"28172"
"5";"3";"2";"9";"72";"28173"
"14";"3";"11";"9";"72";"28176"
