"userId";"reputation";"tag1";"profile_1";"profile_2";"totalPost"
"50181";"4364";"acid-base";"4";"4";"2"
"50181";"4364";"analytical-chemistry";"4";"4";"2"
"50181";"4364";"biochemistry";"4";"4";"6"
"50181";"4364";"cheminformatics";"4";"4";"1"
"50181";"4364";"computational-chemistry";"4";"4";"1"
"50181";"4364";"crystal-structure";"4";"4";"1"
"50181";"4364";"electrochemistry";"4";"4";"1"
"50181";"4364";"everyday-chemistry";"4";"4";"4"
"50181";"4364";"experimental-chemistry";"4";"4";"3"
"50181";"4364";"explosives";"4";"4";"1"
"50181";"4364";"home-experiment";"4";"4";"2"
"50181";"4364";"inorganic-chemistry";"4";"4";"2"
"50181";"4364";"nmr";"4";"4";"25"
"50181";"4364";"nomenclature";"4";"4";"1"
"50181";"4364";"organic-chemistry";"4";"4";"38"
"50181";"4364";"physical-chemistry";"4";"4";"1"
"50181";"4364";"purification";"4";"4";"1"
"50181";"4364";"quantum-chemistry";"4";"4";"2"
"50181";"4364";"reaction-mechanism";"4";"4";"1"
"50181";"4364";"safety";"4";"4";"10"
"50181";"4364";"software";"4";"4";"2"
"50181";"4364";"solubility";"4";"4";"4"
"50181";"4364";"spectroscopy";"4";"4";"3"
"50181";"4364";"stereochemistry";"4";"4";"1"
"50181";"4364";"stoichiometry";"4";"4";"1"
"50181";"4364";"synthesis";"4";"4";"1"
"50181";"4364";"teaching-lab";"4";"4";"1"
"50181";"4364";"thermodynamics";"4";"4";"1"
"50181";"4364";"toxicity";"4";"4";"1"
"50184";"310";"electrons";"4";"4";"2"
"50184";"310";"equilibrium";"4";"4";"2"
"50184";"310";"everyday-chemistry";"4";"4";"1"
"50184";"310";"ions";"4";"4";"5"
"50184";"310";"solid-state-chemistry";"4";"4";"4"
"50185";"1247";"acid-base";"4";"4";"2"
"50185";"1247";"aqueous-solution";"4";"4";"4"
"50185";"1247";"atoms";"4";"4";"1"
"50185";"1247";"biochemistry";"4";"4";"5"
"50185";"1247";"combustion";"4";"4";"1"
"50185";"1247";"computational-chemistry";"4";"4";"2"
"50185";"1247";"crystal-structure";"4";"4";"2"
"50185";"1247";"energy";"4";"4";"2"
"50185";"1247";"equilibrium";"4";"4";"1"
"50185";"1247";"experimental-chemistry";"4";"4";"3"
"50185";"1247";"inorganic-chemistry";"4";"4";"1"
"50185";"1247";"molecular-structure";"4";"4";"1"
"50185";"1247";"nmr";"4";"4";"1"
"50185";"1247";"noble-gases";"4";"4";"1"
"50185";"1247";"organic-chemistry";"4";"4";"6"
"50185";"1247";"solubility";"4";"4";"3"
"50185";"1247";"synthesis";"4";"4";"2"
"50185";"1247";"thermodynamics";"4";"4";"2"
"50185";"1247";"water";"4";"4";"2"
"50186";"1653";"atoms";"4";"4";"1"
"50186";"1653";"biochemistry";"4";"4";"2"
"50186";"1653";"coordination-compounds";"4";"4";"1"
"50186";"1653";"electrons";"4";"4";"4"
"50186";"1653";"molecules";"4";"4";"1"
"50186";"1653";"organic-chemistry";"4";"4";"6"
"50186";"1653";"purification";"4";"4";"1"
"50188";"3595";"acid-base";"4";"4";"3"
"50188";"3595";"atoms";"4";"4";"2"
"50188";"3595";"biochemistry";"4";"4";"7"
"50188";"3595";"bond";"4";"4";"15"
"50188";"3595";"cheminformatics";"4";"4";"1"
"50188";"3595";"color";"4";"4";"1"
"50188";"3595";"computational-chemistry";"4";"4";"63"
"50188";"3595";"density-functional-theory";"4";"4";"1"
"50188";"3595";"electrochemistry";"4";"4";"2"
"50188";"3595";"electronic-configuration";"4";"4";"7"
"50188";"3595";"electrons";"4";"4";"1"
"50188";"3595";"energy";"4";"4";"1"
"50188";"3595";"equilibrium";"4";"4";"3"
"50188";"3595";"everyday-chemistry";"4";"4";"5"
"50188";"3595";"experimental-chemistry";"4";"4";"2"
"50188";"3595";"extraction";"4";"4";"2"
"50188";"3595";"history-of-chemistry";"4";"4";"4"
"50188";"3595";"homework";"4";"4";"8"
"50188";"3595";"hydrogen";"4";"4";"1"
"50188";"3595";"inorganic-chemistry";"4";"4";"19"
"50188";"3595";"intermolecular-forces";"4";"4";"7"
"50188";"3595";"ionic-compounds";"4";"4";"1"
"50188";"3595";"ions";"4";"4";"2"
"50188";"3595";"kinetics";"4";"4";"1"
"50188";"3595";"lewis-structure";"4";"4";"2"
"50188";"3595";"metal";"4";"4";"2"
"50188";"3595";"mole";"4";"4";"1"
"50188";"3595";"molecules";"4";"4";"12"
"50188";"3595";"nomenclature";"4";"4";"1"
"50188";"3595";"orbitals";"4";"4";"5"
"50188";"3595";"organic-chemistry";"4";"4";"37"
"50188";"3595";"periodic-table";"4";"4";"3"
"50188";"3595";"phase";"4";"4";"1"
"50188";"3595";"physical-chemistry";"4";"4";"51"
"50188";"3595";"quantum-chemistry";"4";"4";"30"
"50188";"3595";"reaction-mechanism";"4";"4";"14"
"50188";"3595";"reference-request";"4";"4";"2"
"50188";"3595";"safety";"4";"4";"5"
"50188";"3595";"software";"4";"4";"3"
"50188";"3595";"stoichiometry";"4";"4";"9"
"50188";"3595";"theoretical-chemistry";"4";"4";"5"
"50188";"3595";"thermodynamics";"4";"4";"4"
"50188";"3595";"water";"4";"4";"3"
"50189";"151";"organic-chemistry";"4";"4";"1"
"50190";"376";"electrons";"4";"4";"3"
"50191";"121";"water";"4";"4";"1"
"50192";"159";"electrons";"4";"4";"1"
"50192";"159";"ions";"4";"4";"1"
"50195";"511";"acid-base";"4";"4";"2"
"50195";"511";"combustion";"4";"4";"1"
"50195";"511";"electrons";"4";"4";"1"
"50195";"511";"ions";"4";"4";"2"
"50195";"511";"thermodynamics";"4";"4";"1"
"50196";"9576";"acid-base";"4";"4";"10"
"50196";"9576";"analytical-chemistry";"4";"4";"1"
"50196";"9576";"aqueous-solution";"4";"4";"1"
"50196";"9576";"atoms";"4";"4";"2"
"50196";"9576";"bond";"4";"4";"8"
"50196";"9576";"books";"4";"4";"1"
"50196";"9576";"color";"4";"4";"1"
"50196";"9576";"combustion";"4";"4";"2"
