"id";"profile_1";"profile_2";"reputation";"avgScoreQuestion";"avgScoreAnswers";"avgScoreComments";"sumScoreQuestion";"sumScoreAnswers";"sumScoreComments"
"28085";"1";"1";"1";\N;\N;\N;\N;\N;\N
"28092";"1";"1";"1";\N;\N;\N;\N;\N;\N
"28095";"1";"1";"1";\N;\N;\N;\N;\N;\N
"28105";"1";"1";"1";\N;\N;\N;\N;\N;\N
"28116";"1";"1";"1";\N;\N;\N;\N;\N;\N
"28123";"1";"1";"1";\N;\N;\N;\N;\N;\N
"28134";"1";"1";"1";\N;\N;\N;\N;\N;\N
"28138";"1";"1";"1";\N;\N;\N;\N;\N;\N
"28146";"1";"1";"1";\N;\N;\N;\N;\N;\N
"28153";"1";"1";"1";\N;\N;\N;\N;\N;\N
"28157";"1";"1";"1";\N;\N;\N;\N;\N;\N
"28174";"1";"1";"1";\N;\N;\N;\N;\N;\N
"28178";"1";"1";"1";\N;\N;\N;\N;\N;\N
"28189";"1";"1";"1";\N;\N;\N;\N;\N;\N
"28192";"1";"1";"1";\N;\N;\N;\N;\N;\N
"28197";"1";"1";"1";\N;\N;\N;\N;\N;\N
"28219";"1";"1";"1";\N;\N;\N;\N;\N;\N
"28220";"1";"1";"1";\N;\N;\N;\N;\N;\N
"28222";"1";"1";"1";\N;\N;\N;\N;\N;\N
"28225";"1";"1";"1";\N;\N;\N;\N;\N;\N
"28228";"1";"1";"1";\N;\N;\N;\N;\N;\N
"28241";"1";"1";"1";\N;\N;\N;\N;\N;\N
"28246";"1";"1";"1";\N;\N;\N;\N;\N;\N
"28247";"1";"1";"1";\N;\N;\N;\N;\N;\N
"28248";"1";"1";"1";\N;\N;\N;\N;\N;\N
"28281";"1";"1";"1";\N;\N;\N;\N;\N;\N
"28286";"1";"1";"1";\N;\N;\N;\N;\N;\N
"28287";"1";"1";"1";\N;\N;\N;\N;\N;\N
"28288";"1";"1";"1";\N;\N;\N;\N;\N;\N
"28290";"1";"1";"1";\N;\N;\N;\N;\N;\N
