"id";"profile";"reputation";"avgScoreQuestion";"avgScoreAnswers";"avgScoreComments";"sumScoreQuestion";"sumScoreAnswers";"sumScoreComments"
"43467";"2";"2";"-1,0000";\N;"0,0000";"-1";\N;"0"
"49909";"2";"2";"-1,0000";\N;\N;"-1";\N;\N
"44150";"2";"3";"0,0000";\N;\N;"0";\N;\N
"44178";"2";"3";"0,0000";\N;\N;"0";\N;\N
"44221";"2";"3";"0,0000";\N;\N;"0";\N;\N
"44287";"2";"3";"0,0000";\N;"0,0000";"0";\N;"0"
"44395";"2";"3";"0,0000";\N;"0,0000";"0";\N;"0"
"44542";"2";"3";"0,0000";\N;"0,0000";"0";\N;"0"
"44759";"2";"3";"0,0000";\N;"0,0000";"0";\N;"0"
"45234";"2";"3";"0,0000";\N;\N;"0";\N;\N
"45308";"2";"3";"0,0000";\N;"0,0000";"0";\N;"0"
"45672";"2";"3";"0,0000";\N;\N;"0";\N;\N
"46180";"2";"3";\N;\N;\N;\N;\N;\N
"46233";"2";"3";"0,0000";\N;"0,0000";"0";\N;"0"
"46396";"2";"3";\N;\N;\N;\N;\N;\N
"46510";"2";"3";"0,0000";\N;"0,0000";"0";\N;"0"
"46803";"2";"3";"0,0000";\N;"1,0000";"0";\N;"1"
"47723";"2";"3";\N;\N;\N;\N;\N;\N
"48383";"2";"3";"0,0000";\N;"0,0000";"0";\N;"0"
"49788";"2";"3";"0,0000";\N;"0,0000";"0";\N;"0"
"49850";"2";"3";"0,0000";\N;\N;"0";\N;\N
"49899";"2";"3";"0,0000";\N;"0,0000";"0";\N;"0"
"49946";"2";"3";"0,0000";\N;"0,5000";"0";\N;"1"
"29257";"2";"3";\N;\N;\N;\N;\N;\N
"29703";"2";"3";\N;\N;\N;\N;\N;\N
"29710";"2";"3";\N;\N;\N;\N;\N;\N
"29895";"2";"3";"0,0000";\N;"0,0000";"0";\N;"0"
"30151";"2";"3";"0,0000";\N;\N;"0";\N;\N
"30266";"2";"3";\N;\N;\N;\N;\N;\N
"30915";"2";"3";"0,0000";\N;"0,2500";"0";\N;"1"
"31008";"2";"3";\N;\N;\N;\N;\N;\N
"32065";"2";"3";"0,0000";\N;"0,0000";"0";\N;"0"
"32772";"2";"3";"0,0000";\N;\N;"0";\N;\N
"33013";"2";"3";\N;\N;\N;\N;\N;\N
"33423";"2";"3";"0,0000";\N;"0,0000";"0";\N;"0"
"33929";"2";"3";\N;\N;\N;\N;\N;\N
"34301";"2";"3";"0,0000";\N;"0,0000";"0";\N;"0"
"34473";"2";"3";\N;\N;\N;\N;\N;\N
"34566";"2";"3";"0,0000";\N;"0,0000";"0";\N;"0"
"34605";"2";"3";"0,0000";\N;"0,0000";"0";\N;"0"
"34976";"2";"3";"0,0000";\N;"2,0000";"0";\N;"2"
"35080";"2";"3";"0,0000";\N;\N;"0";\N;\N
"36499";"2";"3";\N;\N;\N;\N;\N;\N
"36502";"2";"3";"0,0000";\N;\N;"0";\N;\N
"36769";"2";"3";"0,0000";\N;\N;"0";\N;\N
"37633";"2";"3";"0,0000";\N;\N;"0";\N;\N
"38177";"2";"3";"0,0000";\N;\N;"0";\N;\N
"38345";"2";"3";"0,0000";\N;"0,0000";"0";\N;"0"
"38510";"2";"3";"0,0000";\N;"0,0000";"0";\N;"0"
"38752";"2";"3";"0,0000";\N;\N;"0";\N;\N
"38761";"2";"3";"0,0000";\N;"0,0000";"0";\N;"0"
"39235";"2";"3";"0,0000";\N;\N;"0";\N;\N
"39421";"2";"3";\N;\N;\N;\N;\N;\N
"39573";"2";"3";\N;\N;"0,0000";\N;\N;"0"
"39692";"2";"3";"0,0000";\N;"0,0000";"0";\N;"0"
"39849";"2";"3";\N;\N;"0,0000";\N;\N;"0"
"39883";"2";"3";"0,0000";\N;\N;"0";\N;\N
"40360";"2";"3";"0,0000";\N;"0,0000";"0";\N;"0"
"40392";"2";"3";"0,0000";\N;\N;"0";\N;\N
"40417";"2";"3";"0,0000";\N;\N;"0";\N;\N
"40723";"2";"3";"0,0000";\N;\N;"0";\N;\N
"40815";"2";"3";"0,0000";\N;"0,0000";"0";\N;"0"
"40819";"2";"3";\N;\N;\N;\N;\N;\N
"40879";"2";"3";"0,0000";\N;"0,0000";"0";\N;"0"
"41134";"2";"3";"0,0000";\N;"0,0000";"0";\N;"0"
"41138";"2";"3";"0,0000";\N;\N;"0";\N;\N
"41999";"2";"3";"0,0000";\N;\N;"0";\N;\N
"42148";"2";"3";\N;\N;\N;\N;\N;\N
"42162";"2";"3";"-1,0000";\N;"0,0000";"-1";\N;"0"
"42620";"2";"3";"-2,0000";\N;"0,0000";"-2";\N;"0"
"42621";"2";"3";"-1,0000";\N;\N;"-1";\N;\N
"42630";"2";"3";"0,0000";\N;"0,0000";"0";\N;"0"
"42646";"2";"3";"0,0000";\N;\N;"0";\N;\N
"42730";"2";"3";"-2,0000";\N;\N;"-2";\N;\N
"42919";"2";"3";"0,0000";\N;"0,0000";"0";\N;"0"
"42972";"2";"3";"0,0000";\N;"0,0000";"0";\N;"0"
"42988";"2";"3";"0,0000";\N;"0,0000";"0";\N;"0"
"43026";"2";"3";"-1,0000";\N;"0,0000";"-1";\N;"0"
"43058";"2";"3";\N;\N;\N;\N;\N;\N
"43295";"2";"3";\N;\N;\N;\N;\N;\N
"43311";"2";"3";\N;\N;\N;\N;\N;\N
"43763";"2";"3";\N;\N;\N;\N;\N;\N
"43780";"2";"3";\N;\N;\N;\N;\N;\N
"28945";"2";"4";"0,0000";\N;"1,0000";"0";\N;"1"
"29694";"2";"4";"-2,0000";\N;"0,0000";"-2";\N;"0"
"30159";"2";"4";"0,0000";\N;\N;"0";\N;\N
"30756";"2";"4";"0,0000";\N;"0,0000";"0";\N;"0"
"31346";"2";"4";"0,0000";\N;\N;"0";\N;\N
"31544";"2";"4";"0,0000";\N;\N;"0";\N;\N
"32539";"2";"4";"-2,0000";\N;\N;"-2";\N;\N
"33823";"2";"4";"0,0000";\N;"0,0000";"0";\N;"0"
"34955";"2";"4";"0,0000";\N;"0,0000";"0";\N;"0"
"35153";"2";"4";"0,0000";\N;\N;"0";\N;\N
"35356";"2";"4";"0,0000";\N;\N;"0";\N;\N
"35478";"2";"4";"0,0000";\N;\N;"0";\N;\N
"36529";"2";"4";"0,0000";\N;\N;"0";\N;\N
"36562";"2";"4";"0,0000";\N;\N;"0";\N;\N
"36829";"2";"4";"0,0000";\N;\N;"0";\N;\N
"38113";"2";"4";"0,0000";\N;"0,0000";"0";\N;"0"
"38243";"2";"4";"0,0000";\N;\N;"0";\N;\N
"39172";"2";"4";"0,0000";\N;\N;"0";\N;\N
"39449";"2";"4";"0,0000";\N;\N;"0";\N;\N
"40286";"2";"4";"0,0000";\N;\N;"0";\N;\N
"40674";"2";"4";"0,0000";\N;\N;"0";\N;\N
"41397";"2";"4";"0,0000";\N;\N;"0";\N;\N
"43130";"2";"4";"0,0000";\N;\N;"0";\N;\N
"43502";"2";"4";"-0,5000";\N;"0,0000";"-1";\N;"0"
"43902";"2";"4";"0,0000";\N;"0,0000";"0";\N;"0"
"45196";"2";"4";"0,0000";\N;\N;"0";\N;\N
"45256";"2";"4";"0,0000";\N;\N;"0";\N;\N
"45259";"2";"4";"0,0000";\N;\N;"0";\N;\N
"45503";"2";"4";"0,0000";\N;"0,0000";"0";\N;"0"
"46722";"2";"4";"0,0000";"0,0000";"0,0000";"0";"0";"0"
"46793";"2";"4";"0,0000";\N;\N;"0";\N;\N
"47820";"2";"4";"0,0000";\N;\N;"0";\N;\N
"48622";"2";"4";"-1,0000";\N;\N;"-1";\N;\N
"48726";"2";"4";"0,0000";\N;\N;"0";\N;\N
"49105";"2";"4";"0,0000";\N;"0,0000";"0";\N;"0"
"49661";"2";"4";"0,0000";\N;\N;"0";\N;\N
"49819";"2";"4";"0,0000";\N;\N;"0";\N;\N
"50025";"2";"4";"0,0000";\N;"0,0000";"0";\N;"0"
"29192";"2";"5";\N;\N;\N;\N;\N;\N
"32077";"2";"5";"0,0000";\N;"0,0000";"0";\N;"0"
"33881";"2";"5";"0,0000";"-3,0000";\N;"0";"-3";\N
"34282";"2";"5";"0,0000";\N;"0,0000";"0";\N;"0"
"38200";"2";"5";\N;"-1,0000";"0,0000";\N;"-2";"0"
"42276";"2";"5";"0,0000";\N;"0,0000";"0";\N;"0"
"42487";"2";"5";"0,0000";\N;"0,0000";"0";\N;"0"
"42789";"2";"5";"-1,0000";\N;"0,0000";"-2";\N;"0"
"43135";"2";"5";"0,0000";\N;"0,0000";"0";\N;"0"
"43617";"2";"5";"-0,5000";\N;"0,0000";"-1";\N;"0"
"29592";"2";"6";"1,0000";\N;\N;"1";\N;\N
"29908";"2";"6";"-1,0000";\N;\N;"-1";\N;\N
"29943";"2";"6";"1,0000";\N;"0,0000";"1";\N;"0"
"29957";"2";"6";"1,0000";\N;"0,0000";"1";\N;"0"
"29962";"2";"6";"1,0000";\N;\N;"1";\N;\N
"30008";"2";"6";"-3,0000";\N;\N;"-3";\N;\N
"30170";"2";"6";"-3,0000";\N;\N;"-3";\N;\N
"30181";"2";"6";"1,0000";\N;\N;"1";\N;\N
"30184";"2";"6";"1,0000";\N;"0,0000";"1";\N;"0"
"30256";"2";"6";"1,0000";\N;"0,0000";"1";\N;"0"
"30309";"2";"6";"1,0000";\N;\N;"1";\N;\N
"30375";"2";"6";"1,0000";\N;\N;"1";\N;\N
"30386";"2";"6";"1,0000";\N;"0,0000";"1";\N;"0"
"30539";"2";"6";"1,0000";\N;"0,0000";"1";\N;"0"
"30765";"2";"6";"1,0000";\N;"0,0000";"1";\N;"0"
"30821";"2";"6";"1,0000";"0,0000";\N;"1";"0";\N
"30943";"2";"6";"0,0000";\N;\N;"0";\N;\N
"30979";"2";"6";"1,0000";\N;\N;"1";\N;\N
"31009";"2";"6";"0,0000";\N;\N;"0";\N;\N
"31019";"2";"6";"1,0000";\N;\N;"1";\N;\N
"31239";"2";"6";"1,0000";\N;\N;"1";\N;\N
"31294";"2";"6";"1,0000";\N;\N;"1";\N;\N
"31391";"2";"6";"-5,0000";\N;\N;"-5";\N;\N
"31404";"2";"6";"1,0000";\N;\N;"1";\N;\N
"31461";"2";"6";"1,0000";\N;"0,0000";"1";\N;"0"
"31531";"2";"6";"0,0000";\N;"0,0000";"0";\N;"0"
"31559";"2";"6";"1,0000";\N;\N;"1";\N;\N
"31791";"2";"6";"1,0000";\N;"0,0000";"1";\N;"0"
"31860";"2";"6";"1,0000";\N;\N;"1";\N;\N
"31893";"2";"6";"-1,0000";\N;\N;"-1";\N;\N
"31896";"2";"6";"1,0000";\N;\N;"1";\N;\N
"31921";"2";"6";"0,0000";\N;\N;"0";\N;\N
"31967";"2";"6";"1,0000";\N;\N;"1";\N;\N
"31981";"2";"6";"1,0000";\N;"0,0000";"1";\N;"0"
"32041";"2";"6";"1,0000";\N;\N;"1";\N;\N
"32109";"2";"6";"1,0000";\N;\N;"1";\N;\N
"32140";"2";"6";"1,0000";\N;\N;"1";\N;\N
"32227";"2";"6";"1,0000";\N;\N;"1";\N;\N
"32307";"2";"6";"1,0000";\N;\N;"1";\N;\N
"32366";"2";"6";"1,0000";\N;"0,3333";"1";\N;"1"
"32377";"2";"6";"1,0000";\N;\N;"1";\N;\N
"32409";"2";"6";"1,0000";\N;\N;"1";\N;\N
"32420";"2";"6";"1,0000";\N;"0,0000";"1";\N;"0"
"32584";"2";"6";"1,0000";\N;"0,0000";"1";\N;"0"
"32625";"2";"6";"1,0000";\N;\N;"1";\N;\N
"32635";"2";"6";"1,0000";\N;\N;"1";\N;\N
"32638";"2";"6";"1,0000";\N;\N;"1";\N;\N
"32646";"2";"6";"1,0000";\N;\N;"1";\N;\N
"32668";"2";"6";"1,0000";\N;"0,0000";"1";\N;"0"
"32782";"2";"6";"1,0000";\N;"0,0000";"1";\N;"0"
"32788";"2";"6";"0,0000";\N;"0,0000";"0";\N;"0"
"32966";"2";"6";"1,0000";\N;\N;"1";\N;\N
"32983";"2";"6";"1,0000";\N;"0,0000";"1";\N;"0"
"33062";"2";"6";"1,0000";\N;"0,0000";"1";\N;"0"
"33072";"2";"6";"0,0000";\N;"0,0000";"0";\N;"0"
"33129";"2";"6";"1,0000";\N;\N;"1";\N;\N
"33187";"2";"6";"1,0000";\N;\N;"1";\N;\N
"33228";"2";"6";"1,0000";\N;\N;"1";\N;\N
"33248";"2";"6";"1,0000";\N;\N;"1";\N;\N
"33284";"2";"6";"1,0000";\N;\N;"1";\N;\N
"33290";"2";"6";"1,0000";\N;\N;"1";\N;\N
"33543";"2";"6";"0,0000";\N;"0,0000";"0";\N;"0"
"33562";"2";"6";"1,0000";\N;\N;"1";\N;\N
"33607";"2";"6";"1,0000";\N;"0,0000";"1";\N;"0"
"33617";"2";"6";"1,0000";\N;\N;"1";\N;\N
"33620";"2";"6";"1,0000";\N;\N;"1";\N;\N
"33633";"2";"6";"1,0000";\N;\N;"1";\N;\N
"33637";"2";"6";"1,0000";\N;"0,0000";"1";\N;"0"
"33848";"2";"6";"1,0000";\N;\N;"1";\N;\N
"33859";"2";"6";"1,0000";\N;\N;"1";\N;\N
"33948";"2";"6";"1,0000";\N;"0,0000";"1";\N;"0"
"34102";"2";"6";"1,0000";\N;\N;"1";\N;\N
"34115";"2";"6";"0,0000";\N;"0,0000";"0";\N;"0"
"34121";"2";"6";"1,0000";"0,0000";\N;"1";"0";\N
"34200";"2";"6";"1,0000";\N;\N;"1";\N;\N
"34222";"2";"6";"1,0000";\N;"0,0000";"1";\N;"0"
"34243";"2";"6";"1,0000";\N;\N;"1";\N;\N
