"id";"profile_1";"profile_2";"reputation";"avgScoreQuestion";"avgScoreAnswers";"avgScoreComments";"sumScoreQuestion";"sumScoreAnswers";"sumScoreComments"
"50179";"1";"1";"1";\N;\N;\N;\N;\N;\N
"50200";"1";"1";"1";\N;\N;\N;\N;\N;\N
"50207";"1";"1";"1";\N;\N;\N;\N;\N;\N
"50215";"1";"1";"1";\N;\N;\N;\N;\N;\N
"50225";"1";"1";"1";\N;\N;\N;\N;\N;\N
"50243";"1";"1";"1";\N;\N;\N;\N;\N;\N
"50244";"1";"1";"1";\N;\N;\N;\N;\N;\N
"50245";"1";"1";"1";\N;\N;\N;\N;\N;\N
"50272";"1";"1";"1";\N;\N;\N;\N;\N;\N
"50273";"1";"1";"1";\N;\N;\N;\N;\N;\N
"50290";"1";"1";"1";\N;\N;\N;\N;\N;\N
"50299";"1";"1";"1";\N;\N;\N;\N;\N;\N
"50302";"1";"1";"1";\N;\N;\N;\N;\N;\N
"50320";"1";"1";"1";\N;\N;\N;\N;\N;\N
"50333";"1";"1";"1";\N;\N;\N;\N;\N;\N
"50336";"1";"1";"1";\N;\N;\N;\N;\N;\N
"50346";"1";"1";"1";\N;\N;\N;\N;\N;\N
"50347";"1";"1";"1";\N;\N;\N;\N;\N;\N
"50372";"1";"1";"1";\N;\N;\N;\N;\N;\N
"50393";"1";"1";"1";"-15,0000";\N;\N;"-15";\N;\N
"50414";"1";"1";"1";\N;\N;\N;\N;\N;\N
"50416";"1";"1";"1";\N;\N;\N;\N;\N;\N
"50427";"1";"1";"1";\N;\N;\N;\N;\N;\N
"50444";"1";"1";"1";\N;\N;\N;\N;\N;\N
"50458";"1";"1";"1";\N;\N;\N;\N;\N;\N
"50462";"1";"1";"1";\N;\N;\N;\N;\N;\N
"50468";"1";"1";"1";\N;\N;\N;\N;\N;\N
"50480";"1";"1";"1";\N;\N;\N;\N;\N;\N
"50489";"1";"1";"1";\N;\N;\N;\N;\N;\N
"50524";"1";"1";"1";\N;\N;\N;\N;\N;\N
"50527";"1";"1";"1";\N;\N;\N;\N;\N;\N
"50528";"1";"1";"1";\N;\N;\N;\N;\N;\N
"50535";"1";"1";"1";\N;\N;\N;\N;\N;\N
"50540";"1";"1";"1";\N;\N;\N;\N;\N;\N
"50555";"1";"1";"1";\N;\N;\N;\N;\N;\N
"50578";"1";"1";"1";\N;\N;\N;\N;\N;\N
"50579";"1";"1";"1";\N;\N;\N;\N;\N;\N
"50580";"1";"1";"1";\N;\N;\N;\N;\N;\N
"50594";"1";"1";"1";\N;\N;\N;\N;\N;\N
"50596";"1";"1";"1";\N;\N;\N;\N;\N;\N
"50602";"1";"1";"1";\N;\N;\N;\N;\N;\N
"50603";"1";"1";"1";\N;\N;\N;\N;\N;\N
"50610";"1";"1";"1";\N;\N;\N;\N;\N;\N
"50616";"1";"1";"1";\N;\N;\N;\N;\N;\N
"50633";"1";"1";"1";\N;\N;\N;\N;\N;\N
"50634";"1";"1";"1";\N;\N;\N;\N;\N;\N
"50637";"1";"1";"1";\N;\N;\N;\N;\N;\N
"50641";"1";"1";"1";\N;\N;\N;\N;\N;\N
"50643";"1";"1";"1";\N;\N;\N;\N;\N;\N
"50659";"1";"1";"1";\N;\N;\N;\N;\N;\N
"50663";"1";"1";"1";\N;\N;\N;\N;\N;\N
"50668";"1";"1";"1";\N;\N;\N;\N;\N;\N
"50669";"1";"1";"1";\N;\N;\N;\N;\N;\N
"50678";"1";"1";"1";\N;\N;\N;\N;\N;\N
"50679";"1";"1";"1";\N;\N;\N;\N;\N;\N
"50683";"1";"1";"1";\N;\N;\N;\N;\N;\N
"50696";"1";"1";"1";\N;\N;\N;\N;\N;\N
"50697";"1";"1";"1";\N;\N;\N;\N;\N;\N
"50710";"1";"1";"1";\N;\N;\N;\N;\N;\N
"50739";"1";"1";"1";\N;\N;\N;\N;\N;\N
"50747";"1";"1";"1";\N;\N;\N;\N;\N;\N
"50772";"1";"1";"1";\N;\N;\N;\N;\N;\N
"50794";"1";"1";"1";\N;\N;\N;\N;\N;\N
"50800";"1";"1";"1";\N;\N;\N;\N;\N;\N
"50804";"1";"1";"1";\N;\N;\N;\N;\N;\N
"50807";"1";"1";"1";\N;\N;\N;\N;\N;\N
"50811";"1";"1";"1";\N;\N;\N;\N;\N;\N
"50820";"1";"1";"1";\N;\N;\N;\N;\N;\N
"50821";"1";"1";"1";\N;\N;\N;\N;\N;\N
"50833";"1";"1";"1";\N;\N;\N;\N;\N;\N
"50846";"1";"1";"1";\N;\N;\N;\N;\N;\N
"50849";"1";"1";"1";\N;\N;\N;\N;\N;\N
"50850";"1";"1";"1";\N;\N;\N;\N;\N;\N
"50857";"1";"1";"1";\N;\N;\N;\N;\N;\N
"50861";"1";"1";"1";\N;\N;\N;\N;\N;\N
"50868";"1";"1";"1";\N;\N;\N;\N;\N;\N
"50871";"1";"1";"1";\N;\N;\N;\N;\N;\N
"50894";"1";"1";"1";\N;\N;\N;\N;\N;\N
"50895";"1";"1";"1";\N;\N;\N;\N;\N;\N
"50897";"1";"1";"1";\N;\N;\N;\N;\N;\N
"50898";"1";"1";"1";\N;\N;\N;\N;\N;\N
"50903";"1";"1";"1";\N;\N;\N;\N;\N;\N
"50908";"1";"1";"1";\N;\N;\N;\N;\N;\N
"50909";"1";"1";"1";\N;\N;"0,0000";\N;\N;"0"
"50911";"1";"1";"1";\N;\N;\N;\N;\N;\N
"50913";"1";"1";"1";\N;\N;\N;\N;\N;\N
"50915";"1";"1";"1";\N;\N;\N;\N;\N;\N
"50919";"1";"1";"1";\N;\N;\N;\N;\N;\N
"50921";"1";"1";"1";\N;\N;\N;\N;\N;\N
"50926";"1";"1";"1";\N;\N;\N;\N;\N;\N
"50927";"1";"1";"1";\N;\N;\N;\N;\N;\N
"50928";"1";"1";"1";\N;\N;\N;\N;\N;\N
"50941";"1";"1";"1";\N;\N;\N;\N;\N;\N
"50944";"1";"1";"1";\N;\N;\N;\N;\N;\N
"50952";"1";"1";"1";\N;\N;\N;\N;\N;\N
"50960";"1";"1";"1";\N;\N;\N;\N;\N;\N
"50978";"1";"1";"1";\N;\N;\N;\N;\N;\N
"50979";"1";"1";"1";\N;\N;\N;\N;\N;\N
"50990";"1";"1";"1";\N;\N;\N;\N;\N;\N
"51002";"1";"1";"1";\N;\N;\N;\N;\N;\N
"51003";"1";"1";"1";\N;\N;\N;\N;\N;\N
"51009";"1";"1";"1";\N;\N;\N;\N;\N;\N
"51013";"1";"1";"1";\N;\N;\N;\N;\N;\N
"51016";"1";"1";"1";\N;\N;\N;\N;\N;\N
"51023";"1";"1";"1";\N;\N;\N;\N;\N;\N
"51025";"1";"1";"1";\N;\N;\N;\N;\N;\N
"51028";"1";"1";"1";\N;\N;\N;\N;\N;\N
"51029";"1";"1";"1";\N;\N;\N;\N;\N;\N
"51034";"1";"1";"1";\N;\N;\N;\N;\N;\N
"51037";"1";"1";"1";\N;\N;\N;\N;\N;\N
"51038";"1";"1";"1";\N;\N;\N;\N;\N;\N
"51047";"1";"1";"1";\N;\N;\N;\N;\N;\N
"51049";"1";"1";"1";\N;\N;\N;\N;\N;\N
"51050";"1";"1";"1";\N;\N;\N;\N;\N;\N
"51051";"1";"1";"1";\N;\N;\N;\N;\N;\N
"51057";"1";"1";"1";\N;\N;\N;\N;\N;\N
"51062";"1";"1";"1";\N;\N;\N;\N;\N;\N
"51068";"1";"1";"1";\N;\N;\N;\N;\N;\N
"51071";"1";"1";"1";\N;\N;\N;\N;\N;\N
"51074";"1";"1";"1";\N;\N;\N;\N;\N;\N
"51090";"1";"1";"1";\N;\N;\N;\N;\N;\N
"51095";"1";"1";"1";\N;\N;\N;\N;\N;\N
"51096";"1";"1";"1";\N;\N;\N;\N;\N;\N
"51106";"1";"1";"1";\N;\N;\N;\N;\N;\N
"51114";"1";"1";"1";\N;\N;\N;\N;\N;\N
"51117";"1";"1";"1";\N;\N;\N;\N;\N;\N
"51119";"1";"1";"1";\N;\N;\N;\N;\N;\N
"51120";"1";"1";"1";\N;\N;\N;\N;\N;\N
"51123";"1";"1";"1";\N;\N;\N;\N;\N;\N
"51125";"1";"1";"1";\N;\N;\N;\N;\N;\N
"51129";"1";"1";"1";\N;\N;\N;\N;\N;\N
"51132";"1";"1";"1";\N;\N;\N;\N;\N;\N
"51137";"1";"1";"1";\N;\N;\N;\N;\N;\N
"51138";"1";"1";"1";\N;\N;\N;\N;\N;\N
"51139";"1";"1";"1";"0,0000";\N;\N;"0";\N;\N
"51142";"1";"1";"1";\N;\N;\N;\N;\N;\N
"51150";"1";"1";"1";\N;\N;\N;\N;\N;\N
"51156";"1";"1";"1";\N;\N;\N;\N;\N;\N
"51158";"1";"1";"1";\N;\N;\N;\N;\N;\N
"51160";"1";"1";"1";\N;\N;\N;\N;\N;\N
"51167";"1";"1";"1";\N;\N;\N;\N;\N;\N
"51174";"1";"1";"1";\N;\N;\N;\N;\N;\N
"51176";"1";"1";"1";\N;\N;\N;\N;\N;\N
