"id";"profile";"reputation";"avgScoreQuestion";"avgScoreAnswers";"avgScoreComments";"sumScoreQuestion";"sumScoreAnswers";"sumScoreComments"
"50987";"2";"2";"-3,0000";\N;\N;"-3";\N;\N
"51900";"2";"2";"-5,0000";\N;\N;"-5";\N;\N
"53027";"2";"2";"-4,0000";\N;\N;"-4";\N;\N
"53358";"2";"2";"-3,0000";\N;\N;"-3";\N;\N
"53545";"2";"2";"-3,0000";\N;"0,0000";"-3";\N;"0"
"53776";"2";"2";"-2,0000";\N;\N;"-2";\N;\N
"54866";"2";"2";"-3,0000";\N;"0,0000";"-3";\N;"0"
"55685";"2";"2";"-1,0000";\N;"0,0000";"-1";\N;"0"
"56318";"2";"2";"1,0000";"-3,0000";\N;"1";"-3";\N
"57454";"2";"2";"-1,0000";\N;\N;"-1";\N;\N
"60771";"2";"2";"-4,0000";\N;"0,0000";"-4";\N;"0"
"61127";"2";"2";"-1,0000";\N;\N;"-1";\N;\N
"62274";"2";"2";"-2,0000";\N;\N;"-2";\N;\N
"62418";"2";"2";"-1,0000";\N;"0,0000";"-1";\N;"0"
"64409";"2";"2";"-1,0000";\N;\N;"-1";\N;\N
"66636";"2";"2";"-2,0000";\N;\N;"-2";\N;\N
"66885";"2";"2";"-2,0000";\N;"0,0000";"-2";\N;"0"
"66966";"2";"2";"-2,0000";\N;"0,0000";"-4";\N;"0"
"67103";"2";"2";"-1,0000";\N;\N;"-1";\N;\N
"67437";"2";"2";"-2,0000";\N;"0,0000";"-2";\N;"0"
"68481";"2";"2";"-0,5000";\N;\N;"-1";\N;\N
"68985";"2";"2";"-4,0000";\N;\N;"-4";\N;\N
"69164";"2";"2";"-1,0000";\N;\N;"-2";\N;\N
"69625";"2";"2";"-1,0000";\N;"0,0000";"-1";\N;"0"
"70149";"2";"2";"-5,0000";\N;"0,0000";"-5";\N;"0"
"70231";"2";"2";"-3,0000";\N;"0,0000";"-3";\N;"0"
"70883";"2";"2";"-4,0000";\N;\N;"-4";\N;\N
"72635";"2";"2";"-1,0000";\N;"0,0000";"-1";\N;"0"
"72987";"2";"2";"-1,0000";\N;\N;"-1";\N;\N
"73983";"2";"2";"-1,0000";\N;\N;"-2";\N;\N
"74595";"2";"2";"-2,0000";\N;\N;"-2";\N;\N
"75195";"2";"2";"-1,0000";\N;"0,0000";"-1";\N;"0"
"75934";"2";"2";"-4,0000";\N;\N;"-4";\N;\N
"76210";"2";"2";"-1,0000";\N;\N;"-1";\N;\N
"76940";"2";"2";"-2,0000";\N;\N;"-2";\N;\N
"77007";"2";"2";"-2,0000";\N;\N;"-4";\N;\N
"77196";"2";"2";"-2,0000";\N;\N;"-2";\N;\N
"77199";"2";"2";"-1,0000";\N;\N;"-1";\N;\N
"77315";"2";"2";"-0,5000";\N;"1,0000";"-1";\N;"1"
"77400";"2";"2";"-1,0000";\N;"1,0000";"-1";\N;"2"
"77527";"2";"2";"-1,0000";\N;\N;"-1";\N;\N
"77631";"2";"2";"-2,0000";\N;\N;"-2";\N;\N
"66881";"2";"3";\N;\N;\N;\N;\N;\N
"66975";"2";"3";"-1,0000";\N;"0,0000";"-1";\N;"0"
"67128";"2";"3";\N;\N;\N;\N;\N;\N
"67135";"2";"3";"0,0000";\N;"0,0000";"0";\N;"0"
"67137";"2";"3";"0,0000";\N;\N;"0";\N;\N
"67167";"2";"3";"0,0000";\N;"0,0000";"0";\N;"0"
"67255";"2";"3";"0,0000";\N;"0,0000";"0";\N;"0"
"67308";"2";"3";"0,0000";\N;\N;"0";\N;\N
"67313";"2";"3";\N;\N;\N;\N;\N;\N
"67329";"2";"3";"0,0000";\N;"0,0000";"0";\N;"0"
"67517";"2";"3";\N;\N;\N;\N;\N;\N
"68128";"2";"3";"0,0000";\N;"0,0000";"0";\N;"0"
"68207";"2";"3";"-3,0000";\N;"0,0000";"-3";\N;"0"
"68327";"2";"3";"0,0000";\N;"0,0000";"0";\N;"0"
"68409";"2";"3";"0,0000";\N;"0,0000";"0";\N;"0"
"68441";"2";"3";"0,0000";\N;\N;"0";\N;\N
"68719";"2";"3";"-1,0000";\N;\N;"-1";\N;\N
"68739";"2";"3";"0,0000";\N;\N;"0";\N;\N
"68741";"2";"3";"0,0000";\N;\N;"0";\N;\N
"68860";"2";"3";"-1,0000";\N;\N;"-1";\N;\N
"69193";"2";"3";\N;\N;\N;\N;\N;\N
"69241";"2";"3";"0,0000";\N;\N;"0";\N;\N
"69413";"2";"3";\N;\N;\N;\N;\N;\N
"69623";"2";"3";"0,0000";\N;"0,0000";"0";\N;"0"
"70022";"2";"3";\N;\N;\N;\N;\N;\N
"70378";"2";"3";\N;\N;\N;\N;\N;\N
"70472";"2";"3";"-1,0000";\N;\N;"-1";\N;\N
"70474";"2";"3";"0,0000";\N;\N;"0";\N;\N
"71206";"2";"3";"0,0000";\N;"0,0000";"0";\N;"0"
"71395";"2";"3";\N;\N;\N;\N;\N;\N
"71464";"2";"3";\N;\N;\N;\N;\N;\N
"71854";"2";"3";"0,0000";\N;"0,0000";"0";\N;"0"
"71931";"2";"3";"0,0000";\N;"0,0000";"0";\N;"0"
"72002";"2";"3";"0,0000";\N;"0,0000";"0";\N;"0"
"72021";"2";"3";"0,0000";\N;\N;"0";\N;\N
"72031";"2";"3";"0,0000";\N;"0,0000";"0";\N;"0"
"72132";"2";"3";\N;\N;"0,0000";\N;\N;"0"
"72290";"2";"3";\N;\N;\N;\N;\N;\N
"72607";"2";"3";"-0,8000";\N;"0,0000";"-4";\N;"0"
"72622";"2";"3";"0,0000";\N;"0,0000";"0";\N;"0"
"72906";"2";"3";\N;\N;\N;\N;\N;\N
"72954";"2";"3";"-3,0000";\N;"0,0000";"-3";\N;"0"
"73002";"2";"3";"0,0000";"0,0000";\N;"0";"0";\N
"73261";"2";"3";"-1,0000";\N;\N;"-1";\N;\N
"73313";"2";"3";\N;"-2,0000";"0,0000";\N;"-2";"0"
"73370";"2";"3";"0,0000";\N;"0,0000";"0";\N;"0"
"73417";"2";"3";"0,0000";\N;\N;"0";\N;\N
"73505";"2";"3";"0,0000";\N;\N;"0";\N;\N
"73610";"2";"3";"-4,0000";\N;"0,0000";"-4";\N;"0"
"73811";"2";"3";"0,0000";\N;"0,0000";"0";\N;"0"
"73882";"2";"3";"-0,3333";"0,0000";"0,0000";"-1";"0";"0"
"74024";"2";"3";"-3,0000";\N;\N;"-3";\N;\N
"74056";"2";"3";\N;"0,0000";\N;\N;"0";\N
"74427";"2";"3";"-1,0000";\N;"0,0000";"-1";\N;"0"
"74627";"2";"3";\N;\N;\N;\N;\N;\N
"74777";"2";"3";"0,0000";\N;"0,3333";"0";\N;"1"
"75012";"2";"3";"-3,0000";\N;"0,0000";"-3";\N;"0"
"75170";"2";"3";\N;\N;\N;\N;\N;\N
"75646";"2";"3";"0,0000";\N;\N;"0";\N;\N
"76461";"2";"3";"-6,0000";\N;"0,0000";"-6";\N;"0"
"76523";"2";"3";"-1,0000";\N;\N;"-1";\N;\N
"76565";"2";"3";"0,0000";\N;\N;"0";\N;\N
"77020";"2";"3";"-4,0000";\N;"0,0000";"-4";\N;"0"
"77203";"2";"3";\N;\N;\N;\N;\N;\N
"77445";"2";"3";"-1,0000";\N;"0,0000";"-1";\N;"0"
"77448";"2";"3";"-4,0000";\N;\N;"-4";\N;\N
"77667";"2";"3";"0,0000";\N;\N;"0";\N;\N
"50984";"2";"3";"0,0000";\N;"0,0000";"0";\N;"0"
"51076";"2";"3";"2,0000";"-5,0000";"0,2000";"2";"-5";"1"
"51328";"2";"3";"0,0000";\N;\N;"0";\N;\N
"51341";"2";"3";"0,0000";\N;\N;"0";\N;\N
"51489";"2";"3";\N;\N;\N;\N;\N;\N
"51619";"2";"3";\N;\N;\N;\N;\N;\N
"52413";"2";"3";\N;\N;\N;\N;\N;\N
"52452";"2";"3";"0,0000";\N;\N;"0";\N;\N
"52721";"2";"3";"0,0000";\N;"0,0000";"0";\N;"0"
"52774";"2";"3";"0,0000";\N;"0,0000";"0";\N;"0"
"52925";"2";"3";\N;\N;\N;\N;\N;\N
"52958";"2";"3";\N;\N;\N;\N;\N;\N
"53109";"2";"3";\N;\N;\N;\N;\N;\N
"53511";"2";"3";"0,0000";\N;\N;"0";\N;\N
"53927";"2";"3";\N;"-3,0000";\N;\N;"-3";\N
"53956";"2";"3";"0,0000";\N;\N;"0";\N;\N
"54129";"2";"3";\N;\N;\N;\N;\N;\N
"54162";"2";"3";"0,0000";\N;"0,0000";"0";\N;"0"
"54351";"2";"3";"0,0000";\N;"0,0000";"0";\N;"0"
"54380";"2";"3";\N;\N;\N;\N;\N;\N
"54710";"2";"3";"0,0000";\N;\N;"0";\N;\N
"55252";"2";"3";"0,0000";\N;\N;"0";\N;\N
"55388";"2";"3";\N;\N;\N;\N;\N;\N
"55480";"2";"3";"0,0000";\N;\N;"0";\N;\N
"55514";"2";"3";\N;"0,0000";\N;\N;"0";\N
"55557";"2";"3";\N;\N;\N;\N;\N;\N
"55676";"2";"3";"0,0000";\N;"0,0000";"0";\N;"0"
"55838";"2";"3";\N;\N;\N;\N;\N;\N
"55873";"2";"3";"0,0000";\N;\N;"0";\N;\N
"55943";"2";"3";"0,0000";\N;\N;"0";\N;\N
"55953";"2";"3";"0,0000";\N;"0,0000";"0";\N;"0"
"55958";"2";"3";"0,0000";\N;\N;"0";\N;\N
"56081";"2";"3";"0,0000";\N;\N;"0";\N;\N
"56101";"2";"3";"0,0000";\N;\N;"0";\N;\N
"56112";"2";"3";"0,0000";"-1,0000";"0,0000";"0";"-1";"0"
"56251";"2";"3";"0,0000";\N;"0,0000";"0";\N;"0"
"56770";"2";"3";"0,0000";\N;"0,0000";"0";\N;"0"
"56971";"2";"3";"0,0000";\N;"0,0000";"0";\N;"0"
"57181";"2";"3";"0,0000";\N;"0,0000";"0";\N;"0"
"57199";"2";"3";"0,0000";\N;"0,0000";"0";\N;"0"
"57202";"2";"3";\N;\N;\N;\N;\N;\N
"57307";"2";"3";"0,0000";\N;"0,0000";"0";\N;"0"
"58375";"2";"3";\N;\N;\N;\N;\N;\N
"58495";"2";"3";\N;\N;\N;\N;\N;\N
"59568";"2";"3";\N;\N;\N;\N;\N;\N
"59901";"2";"3";"0,0000";\N;"0,1429";"0";\N;"1"
"59976";"2";"3";\N;\N;\N;\N;\N;\N
"60117";"2";"3";"0,0000";\N;"0,0000";"0";\N;"0"
"60212";"2";"3";"0,0000";\N;"1,0000";"0";\N;"1"
"60308";"2";"3";"0,0000";\N;"0,0000";"0";\N;"0"
"60380";"2";"3";\N;\N;\N;\N;\N;\N
"60395";"2";"3";"0,0000";\N;\N;"0";\N;\N
"60872";"2";"3";\N;\N;\N;\N;\N;\N
"60956";"2";"3";"0,0000";\N;"0,0000";"0";\N;"0"
"61270";"2";"3";"0,0000";\N;\N;"0";\N;\N
"61298";"2";"3";"0,0000";\N;"0,0000";"0";\N;"0"
"61307";"2";"3";"0,0000";\N;"0,0000";"0";\N;"0"
"61575";"2";"3";"0,0000";\N;"0,0000";"0";\N;"0"
"61710";"2";"3";"0,0000";\N;"0,0000";"0";\N;"0"
"61943";"2";"3";"0,0000";\N;"1,0000";"0";\N;"1"
"61998";"2";"3";"0,0000";\N;"0,0000";"0";\N;"0"
"62186";"2";"3";"0,0000";\N;"0,0000";"0";\N;"0"
"62492";"2";"3";"0,0000";\N;\N;"0";\N;\N
"62729";"2";"3";"0,0000";\N;\N;"0";\N;\N
"62987";"2";"3";"0,0000";\N;"0,0000";"0";\N;"0"
"62996";"2";"3";"0,0000";\N;\N;"0";\N;\N
"63123";"2";"3";"0,0000";\N;"0,0000";"0";\N;"0"
"63221";"2";"3";"0,0000";\N;"0,2500";"0";\N;"1"
"63542";"2";"3";"0,0000";\N;\N;"0";\N;\N
"63562";"2";"3";"0,0000";\N;\N;"0";\N;\N
"63607";"2";"3";\N;\N;\N;\N;\N;\N
"63635";"2";"3";"0,0000";\N;"0,0000";"0";\N;"0"
"63670";"2";"3";\N;\N;\N;\N;\N;\N
"63771";"2";"3";\N;\N;\N;\N;\N;\N
"63843";"2";"3";\N;\N;\N;\N;\N;\N
"63870";"2";"3";"0,0000";\N;"0,0000";"0";\N;"0"
"63931";"2";"3";"0,0000";\N;\N;"0";\N;\N
"63975";"2";"3";"0,0000";\N;\N;"0";\N;\N
"64264";"2";"3";"0,0000";\N;"0,0000";"0";\N;"0"
"64391";"2";"3";"0,0000";\N;\N;"0";\N;\N
"64464";"2";"3";"0,0000";\N;"0,0000";"0";\N;"0"
"64523";"2";"3";"0,0000";\N;\N;"0";\N;\N
"64676";"2";"3";"0,0000";\N;"0,0000";"0";\N;"0"
"64916";"2";"3";"0,0000";\N;"0,0000";"0";\N;"0"
"64927";"2";"3";"0,0000";\N;"0,0000";"0";\N;"0"
"64932";"2";"3";\N;"-1,5000";"0,0000";\N;"-3";"0"
"64958";"2";"3";"0,0000";\N;"0,0000";"0";\N;"0"
"65009";"2";"3";"0,0000";\N;"0,0000";"0";\N;"0"
"65022";"2";"3";"0,0000";\N;"0,0000";"0";\N;"0"
"65039";"2";"3";"0,0000";\N;\N;"0";\N;\N
"65173";"2";"3";"0,0000";\N;"0,0000";"0";\N;"0"
"65412";"2";"3";"-5,0000";\N;\N;"-5";\N;\N
"65457";"2";"3";"0,0000";\N;"0,0000";"0";\N;"0"
"65465";"2";"3";"0,0000";\N;\N;"0";\N;\N
"65485";"2";"3";"0,0000";\N;\N;"0";\N;\N
"65532";"2";"3";"0,0000";\N;\N;"0";\N;\N
"65739";"2";"3";"0,0000";\N;"0,0000";"0";\N;"0"
"65765";"2";"3";"-4,0000";\N;\N;"-4";\N;\N
"65811";"2";"3";"0,0000";\N;"0,0000";"0";\N;"0"
"65948";"2";"3";"0,0000";\N;\N;"0";\N;\N
"66272";"2";"3";\N;\N;\N;\N;\N;\N
"66465";"2";"3";"0,0000";\N;"0,6667";"0";\N;"2"
"66558";"2";"3";"-0,8571";"0,0000";"0,0000";"-6";"0";"0"
"66632";"2";"3";"0,0000";\N;\N;"0";\N;\N
"50892";"2";"4";"-4,0000";\N;\N;"-4";\N;\N
"50962";"2";"4";"-1,0000";\N;\N;"-1";\N;\N
"51031";"2";"4";"-2,0000";\N;\N;"-2";\N;\N
"51415";"2";"4";"0,0000";\N;\N;"0";\N;\N
"51635";"2";"4";"0,0000";\N;\N;"0";\N;\N
"51984";"2";"4";"-2,0000";\N;\N;"-2";\N;\N
"52048";"2";"4";"0,0000";\N;\N;"0";\N;\N
"53114";"2";"4";"0,0000";\N;\N;"0";\N;\N
"53126";"2";"4";"-2,0000";\N;\N;"-2";\N;\N
"53220";"2";"4";"-1,0000";\N;"0,0000";"-1";\N;"0"
"53254";"2";"4";"-1,0000";\N;\N;"-1";\N;\N
"53364";"2";"4";"-4,0000";\N;\N;"-4";\N;\N
"53366";"2";"4";"0,0000";\N;\N;"0";\N;\N
"53404";"2";"4";"0,0000";\N;"0,0000";"0";\N;"0"
"53514";"2";"4";"-1,0000";\N;\N;"-1";\N;\N
"53515";"2";"4";"0,0000";\N;"0,0000";"0";\N;"0"
"53680";"2";"4";"-2,0000";\N;\N;"-2";\N;\N
"53745";"2";"4";"-3,0000";\N;"1,0000";"-3";\N;"4"
"53801";"2";"4";"-2,0000";\N;"0,0000";"-2";\N;"0"
"54247";"2";"4";"0,0000";\N;\N;"0";\N;\N
"54282";"2";"4";"0,0000";\N;\N;"0";\N;\N
"54293";"2";"4";"0,0000";\N;"0,0000";"0";\N;"0"
"54338";"2";"4";"1,0000";"-1,0000";"0,0000";"1";"-1";"0"
"55325";"2";"4";"-2,0000";\N;\N;"-2";\N;\N
"55414";"2";"4";"-5,0000";\N;\N;"-5";\N;\N
"55604";"2";"4";"0,0000";\N;"0,0000";"0";\N;"0"
"55898";"2";"4";"-2,0000";\N;\N;"-2";\N;\N
"56089";"2";"4";"-3,0000";\N;\N;"-3";\N;\N
"56140";"2";"4";"-2,0000";\N;\N;"-2";\N;\N
"56167";"2";"4";"0,0000";\N;\N;"0";\N;\N
"56315";"2";"4";"-2,0000";\N;\N;"-2";\N;\N
"56734";"2";"4";"-2,0000";\N;\N;"-2";\N;\N
"56736";"2";"4";"0,0000";\N;\N;"0";\N;\N
"56752";"2";"4";"-1,0000";\N;\N;"-1";\N;\N
"56878";"2";"4";"-2,0000";\N;"0,0000";"-2";\N;"0"
"56921";"2";"4";"0,0000";\N;\N;"0";\N;\N
"56945";"2";"4";"0,0000";\N;\N;"0";\N;\N
"57056";"2";"4";"0,0000";\N;\N;"0";\N;\N
"57211";"2";"4";"-2,0000";\N;\N;"-2";\N;\N
"57219";"2";"4";"0,0000";\N;"0,5000";"0";\N;"1"
"57246";"2";"4";"0,0000";\N;\N;"0";\N;\N
"57261";"2";"4";"0,0000";\N;\N;"0";\N;\N
"57394";"2";"4";"-0,5000";\N;"0,0000";"-1";\N;"0"
"57620";"2";"4";"0,0000";\N;"3,0000";"0";\N;"3"
"57628";"2";"4";"0,0000";\N;\N;"0";\N;\N
"57654";"2";"4";"-3,0000";\N;"0,0000";"-3";\N;"0"
"57822";"2";"4";"0,0000";\N;"0,2222";"0";\N;"2"
"57913";"2";"4";"0,0000";\N;"0,0000";"0";\N;"0"
"57929";"2";"4";"-4,0000";\N;"0,0000";"-4";\N;"0"
"58065";"2";"4";"-3,0000";\N;\N;"-3";\N;\N
"58270";"2";"4";"-4,0000";\N;\N;"-4";\N;\N
"58341";"2";"4";"-2,0000";\N;\N;"-2";\N;\N
"58342";"2";"4";"0,0000";\N;\N;"0";\N;\N
"58481";"2";"4";"-5,0000";\N;\N;"-5";\N;\N
"58565";"2";"4";"0,0000";\N;\N;"0";\N;\N
"58711";"2";"4";"0,0000";\N;"0,0000";"0";\N;"0"
"58791";"2";"4";"0,0000";\N;\N;"0";\N;\N
"59068";"2";"4";"0,0000";\N;\N;"0";\N;\N
"59157";"2";"4";"-0,3333";\N;\N;"-1";\N;\N
"59214";"2";"4";"0,0000";\N;\N;"0";\N;\N
"59851";"2";"4";"-4,0000";\N;"0,0000";"-4";\N;"0"
"60000";"2";"4";"0,0000";\N;\N;"0";\N;\N
"60179";"2";"4";"0,0000";\N;\N;"0";\N;\N
"60351";"2";"4";"-1,0000";\N;\N;"-1";\N;\N
"60352";"2";"4";"0,0000";"-1,0000";"0,0000";"0";"-1";"0"
"60396";"2";"4";"0,0000";\N;\N;"0";\N;\N
"60608";"2";"4";"0,0000";\N;\N;"0";\N;\N
"60674";"2";"4";"-1,0000";\N;\N;"-1";\N;\N
"60778";"2";"4";"-2,0000";\N;\N;"-2";\N;\N
