"id";"period";"id_community";"nodes";"edges";"density";"diameter";"radius";"avg_dist";"weakly_component_count";"strongly_component_count";"number_communities";"modularity_with_resolution";"modularity";"avg_degree";"avg_clustering_coef";"communityName"
"1";"1";"9";"3";"3";"0,5";"2";"0";"1,3333333333333333";"1";"3";"1";"0";"0";"1";"0,1111111119389534";"biology"
"2";"2";"9";"3";"3";"0,5";"2";"0";"1,3333333333333333";"1";"3";"1";"0";"0";"1";"0,1111111119389534";"biology"
"3";"3";"9";"3";"3";"0,5";"2";"0";"1,3333333333333333";"1";"3";"1";"0";"0";"1";"0,1111111119389534";"biology"
"4";"4";"9";"3";"3";"0,5";"2";"0";"1,3333333333333333";"1";"3";"1";"0";"0";"1";"0,1111111119389534";"biology"
"5";"5";"9";"3";"3";"0,5";"2";"0";"1,3333333333333333";"1";"3";"1";"0";"0";"1";"0,1111111119389534";"biology"
"6";"6";"9";"90";"267";"0,03333333333333333";"8";"0";"3,4598459845984597";"3";"49";"9";"0,379";"0,379";"2,966666666666667";"0,1388416439294815";"biology"
"7";"7";"9";"154";"635";"0,02695017400899754";"7";"0";"3,0469027860106697";"1";"70";"7";"0,317";"0,317";"4,123376623376624";"0,21385358273983002";"biology"
"8";"8";"9";"209";"939";"0,02160011041589989";"7";"0";"3,067883628066172";"2";"94";"8";"0,294";"0,294";"4,492822966507177";"0,2057948261499405";"biology"
"9";"9";"9";"264";"1218";"0,017542343587970965";"7";"0";"3,1174063502488063";"1";"123";"9";"0,301";"0,301";"4,613636363636363";"0,21939785778522491";"biology"
"10";"10";"9";"331";"1575";"0,014419115627574842";"8";"0";"3,1846153846153844";"2";"149";"11";"0,29";"0,29";"4,758308157099698";"0,22690393030643463";"biology"
"11";"11";"9";"386";"1907";"0,012832245474732521";"8";"0";"3,161906137531747";"2";"178";"11";"0,293";"0,293";"4,9404145077720205";"0,23600462079048157";"biology"
"12";"12";"9";"460";"2281";"0,01080325850146822";"8";"0";"3,18883460918614";"2";"209";"13";"0,297";"0,297";"4,958695652173913";"0,24671287834644318";"biology"
"13";"13";"9";"505";"2524";"0,009916705956309916";"8";"0";"3,1516574802868154";"2";"237";"12";"0,292";"0,292";"4,998019801980198";"0,24773885309696198";"biology"
"14";"14";"9";"556";"2836";"0,009190485449478255";"8";"0";"3,169847373684461";"1";"264";"10";"0,295";"0,295";"5,100719424460432";"0,2530328631401062";"biology"
