"period";"graph_context_id";"user_id";"reputation";"id_community";"profile";"id";"betweenness";"closeness";"eccentricity";"harmonic_closeness";"page_rank";"indegree";"outdegree";"degree";"eigenvector";"modularity_class";"clustering_coefficient";"strongly_component";"weakly_component";"interactions";"id_graph_analysis_context";"id_user";"id_community"
"63";"134";"52914";"60667";"10";"4";"487103";"3463700,468364153";"0,40313096601756393";"6";"0,44474647976257914";"0,006680677737775997";"625";"284";"909";"0,6395375788598427";"18";"0,02660590037703514";"1043";"0";"4617";"134";"52914";"10"
"63";"134";"50562";"35626";"10";"4";"484949";"5236899,634447381";"0,4090028666615015";"6";"0,4532550356759483";"0,008330750162379484";"986";"332";"1318";"0,6306848551684348";"5";"0,011484643444418907";"1043";"0";"2821";"134";"50562";"10"
"63";"134";"54718";"34064";"10";"4";"488630";"5551665,844276033";"0,39802457965769433";"6";"0,43760497568983564";"0,012022136965395516";"1318";"251";"1569";"0,9554387859229392";"7";"0,011978628113865852";"1043";"0";"4051";"134";"54718";"10"
"63";"134";"50441";"29705";"10";"4";"484827";"4918731,307277599";"0,4006527018822101";"6";"0,4407652964576579";"0,0076824746056665125";"838";"261";"1099";"0,6735046652948948";"16";"0,01611483097076416";"1043";"0";"1975";"134";"50441";"10"
"63";"134";"53643";"29094";"10";"4";"487697";"3240321,3925563497";"0,39216997251318625";"6";"0,4320862537096628";"0,005898283587589999";"550";"247";"797";"0,6263210809494426";"20";"0,027207927778363228";"1043";"0";"2347";"134";"53643";"10"
"63";"134";"55106";"24469";"10";"4";"488965";"2094141,7728635326";"0,3689286463065204";"7";"0,40243597723232927";"0,0062128330055199795";"678";"148";"826";"0,5740232405891943";"7";"0,017732754349708557";"1043";"0";"1422";"134";"55106";"10"
"63";"134";"53468";"24262";"10";"4";"487551";"4543423,967596809";"0,38637195345092584";"6";"0,4210898528761686";"0,013332364711504646";"1209";"168";"1377";"1";"17";"0,013476802967488766";"1043";"0";"3434";"134";"53468";"10"
"63";"134";"58549";"21699";"10";"4";"491845";"3247444,904216678";"0,3761579022374234";"6";"0,4102828818589303";"0,010012084285351703";"1193";"154";"1347";"0,8656743957098201";"7";"0,012270702049136162";"1043";"0";"3300";"134";"58549";"10"
"63";"134";"57646";"16508";"10";"4";"491110";"1189765,0065864362";"0,38110020213687557";"6";"0,4140714781839912";"0,0027120778896727463";"309";"138";"447";"0,28738133617049527";"7";"0,036423128098249435";"1043";"0";"857";"134";"57646";"10"
"63";"134";"53529";"16229";"10";"4";"487599";"1695628,72646187";"0,3727317658688131";"7";"0,40553631189167066";"0,004521358326766441";"371";"141";"512";"0,48070019033975675";"17";"0,03720305860042572";"1043";"0";"1550";"134";"53529";"10"
"63";"134";"50204";"15785";"10";"4";"484605";"1087067,2284775418";"0,36068597977589506";"7";"0,39203312315642547";"0,0018965245057062077";"190";"129";"319";"0,15066560573082238";"16";"0,04397084191441536";"1043";"0";"670";"134";"50204";"10"
"63";"134";"51502";"14863";"10";"4";"485910";"1768459,84336627";"0,3706642325516079";"7";"0,4012236264083075";"0,005244921597191841";"548";"112";"660";"0,6250338230277237";"22";"0,02702871523797512";"1043";"0";"1418";"134";"51502";"10"
"63";"134";"50621";"14057";"10";"4";"485009";"2240588,0437530796";"0,37191771170917287";"7";"0,4036641138743697";"0,006511525532063035";"648";"122";"770";"0,6516842726195669";"18";"0,021548673510551453";"1043";"0";"1605";"134";"50621";"10"
"63";"134";"56777";"13563";"10";"4";"490373";"2481218,445328421";"0,3725739289999294";"6";"0,40786765170170236";"0,006632645626449239";"559";"169";"728";"0,6557508972718474";"18";"0,02658200077712536";"1043";"0";"1436";"134";"56777";"10"
"63";"134";"50357";"13535";"10";"4";"484754";"897510,3456494835";"0,3608832376264698";"6";"0,39154511586788987";"0,0023096258936215193";"226";"118";"344";"0,3051548977274705";"17";"0,053335342556238174";"1043";"0";"1096";"134";"50357";"10"
"63";"134";"59784";"12655";"10";"4";"492772";"3037053,641835888";"0,36085856859662313";"6";"0,3917850603018116";"0,010319325811042463";"1277";"117";"1394";"0,8133553140294647";"7";"0,009367961436510086";"1043";"0";"2906";"134";"59784";"10"
"63";"134";"50360";"12184";"10";"4";"484758";"835304,1074772978";"0,357026917354254";"7";"0,3845222309419884";"0,0030805779688269966";"319";"75";"394";"0,34537332990554404";"16";"0,03774203732609749";"1043";"0";"1097";"134";"50360";"10"
"63";"134";"71015";"11487";"10";"4";"488570";"1924121,2163881238";"0,34826494260456525";"7";"0,3772197115254381";"0,005940333887859784";"697";"99";"796";"0,40539121498439257";"36";"0,010777468793094158";"1043";"0";"1523";"134";"71015";"10"
"63";"134";"56011";"10704";"10";"4";"489714";"1857649,8075001508";"0,37001471928225976";"7";"0,40004916154754";"0,006577821132705379";"715";"91";"806";"0,5689384229969787";"18";"0,01687006652355194";"1043";"0";"1500";"134";"56011";"10"
"63";"134";"56142";"10456";"10";"4";"489826";"1186743,7702824099";"0,3557757110122658";"7";"0,3862541606905933";"0,0043556491783081535";"381";"104";"485";"0,5505650230350861";"36";"0,03797851502895355";"1043";"0";"1201";"134";"56142";"10"
"63";"134";"54738";"10378";"10";"4";"488651";"933807,4154776289";"0,3540576794097921";"7";"0,38291072443372437";"0,0023484969312491245";"213";"90";"303";"0,2473478409342375";"18";"0,042801715433597565";"1043";"0";"548";"134";"54738";"10"
"63";"134";"50255";"10285";"10";"4";"484657";"1331453,4424550543";"0,36910921549433645";"6";"0,3987308202310904";"0,0040167842741042036";"409";"94";"503";"0,4356510743432176";"21";"0,02963704615831375";"1043";"0";"786";"134";"50255";"10"
"63";"134";"50196";"9576";"10";"4";"484597";"817484,8833246715";"0,3454616844447353";"7";"0,37300985937089615";"0,0018994075671680698";"187";"92";"279";"0,14207751848143832";"16";"0,034263741225004196";"1043";"0";"543";"134";"50196";"10"
"63";"134";"56319";"9405";"10";"4";"489981";"1397511,2380418724";"0,34618663518919274";"7";"0,3753082744747683";"0,003763273160485443";"398";"111";"509";"0,2946966816777133";"21";"0,01755041815340519";"1043";"0";"867";"134";"56319";"10"
"63";"134";"65088";"9291";"10";"4";"495890";"1600286,1127254164";"0,35714768960151544";"6";"0,38607059417817546";"0,0055376433536047185";"612";"95";"707";"0,5869404852858671";"36";"0,02194170467555523";"1043";"0";"1387";"134";"65088";"10"
"63";"134";"52303";"9261";"10";"4";"486595";"704187,3700337373";"0,3552968097994346";"6";"0,38284397297466305";"0,0019129012265455122";"189";"74";"263";"0,24246252587906178";"16";"0,04708128795027733";"1043";"0";"484";"134";"52303";"10"
"63";"134";"50469";"9212";"10";"4";"484852";"612813,3702010295";"0,344290093262897";"7";"0,37011925057954803";"0,0016514804357663376";"153";"64";"217";"0,19639048886004024";"16";"0,06299030780792236";"1043";"0";"598";"134";"50469";"10"
