"period";"profile_1";"avgDegree";"avgIndegree";"avgOutdegree";"avgBetweenness";"avgPagerank";"avgEigenvector";"avgInteractions"
"2";"1";"1,6364";"0,7273";"0,9091";"0";"0,0036698794587786067";"0,02718814505602425";"1,7273"
"2";"4";"9,3548";"4,6935";"4,6613";"90,98387096774194";"0,010402280537982034";"0,19830966643160966";"16,8548"
"3";"1";"2,3158";"0,8421";"1,4737";"5,224561403508772";"0,002544725614594822";"0,03481705135211239";"2,5789"
"3";"4";"9,9574";"5,0426";"4,9149";"133,89078014184392";"0,0070596233585958155";"0,1711442443107963";"18,7128"
"4";"1";"2,2000";"0,6800";"1,5200";"5,2027489177489175";"0,0017380785555042113";"0,02480719942990032";"2,4000"
"4";"4";"10,3750";"5,2750";"5,1000";"167,46609397546905";"0,005441426838199357";"0,15081981495274474";"18,6000"
"5";"1";"2,4474";"0,7368";"1,7105";"4,662158236500342";"0,001561159844975936";"0,02282817598038085";"2,8947"
"5";"4";"10,7447";"5,5035";"5,2411";"235,90665239016303";"0,0045300697687665";"0,13369542402891468";"19,0355"
"6";"1";"2,4643";"0,9107";"1,5536";"0,6126857517482518";"0,001345663676433184";"0,02430791707828953";"2,9464"
"6";"4";"10,7209";"5,4651";"5,2558";"309,8354046389657";"0,0036458932568035245";"0,11426905417285524";"18,8895"
"7";"1";"2,6269";"0,9104";"1,7164";"4,83427475850654";"0,001146382306454011";"0,020491948738610006";"3,1194"
"7";"4";"10,1818";"5,2201";"4,9617";"356,1823138333974";"0,003027657947753501";"0,09063390642379082";"17,4019"
"8";"1";"2,6353";"0,8353";"1,8000";"4,878397228492384";"0,0009734101882272608";"0,02053727494509972";"3,1294"
"8";"4";"10,2845";"5,3190";"4,9655";"399,1135182568025";"0,0026940051256565435";"0,08627234182901146";"17,5172"
"9";"1";"2,7167";"0,8250";"1,8917";"8,21602564992328";"0,0007741413235102736";"0,015639391871534715";"3,2083"
"9";"4";"10,2835";"5,3870";"4,8966";"490,41025640616573";"0,002214467099648881";"0,0794185363206606";"17,2375"
"10";"1";"2,6642";"0,8029";"1,8613";"15,708234515139617";"0,00068223278873133";"0,014053899016362793";"3,1679"
"10";"4";"10,1207";"5,3103";"4,8103";"613,9792133497441";"0,0020224563450215276";"0,07523066475436409";"16,8966"
"11";"1";"2,5882";"0,7824";"1,8059";"17,017962731132336";"0,0005905649007517708";"0,011886453861480047";"3,0588"
"11";"4";"10,0552";"5,2945";"4,7607";"712,6593445880599";"0,0017834685200863911";"0,06727774595058024";"16,4969"
