"period";"profile";"avgDegree";"avgIndegree";"avgOutdegree";"avgBetweenness";"avgPagerank";"avgEigenvector";"avgInteractions"
"1";"4";"2,0000";"1,0000";"1,0000";"0,3333333333333333";"0,19455727880658438";"0,6633663366336634";"2,0000"
"2";"4";"2,0000";"1,0000";"1,0000";"0,3333333333333333";"0,19455727880658438";"0,6633663366336634";"2,0000"
"3";"4";"2,0000";"1,0000";"1,0000";"0,3333333333333333";"0,19455727880658438";"0,6633663366336634";"2,0000"
"4";"4";"2,0000";"1,0000";"1,0000";"0,3333333333333333";"0,19455727880658438";"0,6633663366336634";"2,0000"
"5";"4";"2,0000";"1,0000";"1,0000";"0,3333333333333333";"0,19455727880658438";"0,6633663366336634";"2,0000"
"6";"3";"1,7500";"1,0833";"0,6667";"11,828589466089467";"0,004781369031217509";"0,07491941564732234";"2,4167"
"6";"4";"6,5769";"3,2564";"3,3205";"112,84688367188363";"0,008173525184919987";"0,17923585577847037";"9,0128"
"7";"3";"1,8621";"0,9310";"0,9310";"6,6654402614928925";"0,00206686737311695";"0,034418913093110015";"2,3103"
"7";"4";"9,7280";"4,8640";"4,8640";"219,45361785933372";"0,004973013283232597";"0,15706246829165874";"15,2880"
"8";"2";"2,0000";"1,0000";"1,0000";"0";"0,0017106571190959685";"0,07461052785736362";"2,0000"
"8";"3";"1,7556";"0,9556";"0,8000";"8,76289086047217";"0,0014692370284653477";"0,024579083113634548";"2,0889"
"8";"4";"11,0245";"5,4908";"5,5337";"308,93049025324405";"0,0041477921208740295";"0,1553198648544895";"18,0245"
"9";"2";"1,6667";"0,6667";"1,0000";"0";"0,0011920366766222424";"0,02546095561857122";"2,6667"
"9";"3";"1,7547";"0,8868";"0,8679";"8,795472040495016";"0,0011323152074377175";"0,01847630548937379";"2,0377"
"9";"4";"11,2404";"5,6202";"5,6202";"400,7684614512201";"0,003256574380763866";"0,1118511382739585";"19,0288"
"10";"2";"2,2500";"0,7500";"1,5000";"0,39962121212121215";"0,0008205839782166402";"0,01658926848634395";"3,0000"
"10";"3";"1,9104";"0,9104";"1,0000";"13,0872960885124";"0,0008495530647527229";"0,01657650953280681";"2,1343"
"10";"4";"11,5885";"5,8115";"5,7769";"517,1059718354657";"0,0025244118924150735";"0,09207799780514982";"19,7808"
"11";"2";"3,0000";"1,0000";"2,0000";"0,36758400329828905";"0,000697689393807129";"0,0118725622579676";"4,8571"
"11";"3";"2,0750";"0,9000";"1,1750";"13,63126854921608";"0,0007065243927478577";"0,014286221888218778";"2,3750"
"11";"4";"12,1304";"6,1137";"6,0167";"597,0432288563198";"0,0022359696084130387";"0,08282527205046585";"20,9298"
"12";"2";"3,6923";"1,0000";"2,6923";"1,0615723585502952";"0,000553178950328696";"0,010557404639101955";"5,6154"
"12";"3";"2,2300";"0,9300";"1,3000";"16,97377219482583";"0,0006189504568773502";"0,013328811682340473";"2,5600"
"12";"4";"12,3660";"6,2680";"6,0980";"746,5643295096721";"0,0019035835474303557";"0,07651553365738115";"21,5764"
"13";"2";"3,7143";"1,0000";"2,7143";"0,9082146932130343";"0,000497286006028653";"0,009212396615151506";"5,5000"
"13";"3";"2,2804";"0,9065";"1,3738";"14,555760385019324";"0,0005682666311206017";"0,013008163189652715";"2,6168"
"13";"4";"12,3750";"6,2839";"6,0911";"779,7026526903595";"0,0017465463392273043";"0,07409407263355629";"21,9297"
"14";"2";"3,5263";"0,8947";"2,6316";"0,6072381770461975";"0,00045380383969861865";"0,007415469831819032";"4,9474"
"14";"3";"2,3793";"0,9052";"1,4741";"14,894121386314707";"0,0005149202634654074";"0,01226574939878429";"2,7586"
"14";"4";"12,6580";"6,4466";"6,2114";"861,704856042337";"0,0015999336594537512";"0,0688593794457011";"22,5891"
"15";"2";"3,7333";"0,9667";"2,7667";"8,100468189017732";"0,0003894772792192197";"0,005307091041635689";"5,3000"
"15";"3";"2,5076";"0,9167";"1,5909";"14,987556403670053";"0,0004558955234820902";"0,011186214772393845";"2,9242"
"15";"4";"12,9914";"6,6501";"6,3413";"984,711940624287";"0,0014438653679649514";"0,06231371084907078";"23,2117"
"16";"1";"2,0000";"1,0000";"1,0000";"9,885199240986719";"0,00043510167393575407";"0,003529992614990311";"2,0000"
"16";"2";"3,3684";"0,9737";"2,3947";"22,577303789959775";"0,0003698283908580821";"0,006532409011783462";"4,6842"
"16";"3";"2,5694";"0,9306";"1,6389";"15,179865572079674";"0,0004136814488728813";"0,010678572764461679";"3,0139"
"16";"4";"13,1213";"6,7157";"6,4056";"1086,7560171259672";"0,001311447650501247";"0,060257299322128345";"23,4473"
"17";"1";"2,0000";"1,0000";"1,0000";"7,0235401337568515";"0,000347919334574964";"0,00194273145477637";"2,0000"
"17";"2";"3,2500";"0,9318";"2,3182";"20,657645037208425";"0,0003388177394200479";"0,005761153565760649";"4,4091"
"17";"3";"2,6164";"0,9686";"1,6478";"19,97385992046468";"0,0003905731418998721";"0,010463131522704954";"3,2013"
"17";"4";"13,3440";"6,8308";"6,5132";"1193,509723328462";"0,0012373263925111574";"0,05891037370649";"23,9568"
"18";"1";"2,0000";"1,0000";"1,0000";"5,06298036758563";"0,00032910202174304883";"0,0018616342142233314";"2,0000"
"18";"2";"3,1000";"0,9200";"2,1800";"19,094477296303822";"0,0003214226684068925";"0,006125398389335314";"4,1600"
"18";"3";"2,6301";"1,0000";"1,6301";"21,726526483386547";"0,0003714618474228233";"0,009987066414465296";"3,2601"
"18";"4";"13,4275";"6,8676";"6,5599";"1286,3854402376098";"0,0011751445130366398";"0,0570709985503526";"24,1431"
"19";"1";"2,0000";"1,0000";"1,0000";"3,2072296754959293";"0,0003482644249902537";"0,00935842479491616";"2,0000"
"19";"2";"3,0000";"0,8448";"2,1552";"18,262671499135116";"0,0002819605530199535";"0,005342926890808755";"3,9310"
"19";"3";"2,6561";"1,0000";"1,6561";"25,55401060495989";"0,0003355514984110708";"0,009443164714664139";"3,2381"
"19";"4";"13,0729";"6,6985";"6,3744";"1418,5387931275295";"0,0010469758425173058";"0,05368204530190643";"23,2998"
"20";"1";"2,0000";"1,0000";"1,0000";"1,7297647038951383";"0,00032177060798293204";"0,009969371699971164";"2,1667"
"20";"2";"2,9333";"0,7733";"2,1600";"16,74535232403608";"0,00025095166734994843";"0,004240759766859187";"3,7200"
"20";"3";"2,7059";"1,0000";"1,7059";"37,63727401135301";"0,0003016183858104185";"0,00863105421896538";"3,3676"
"20";"4";"13,0939";"6,7317";"6,3621";"1574,7506946187154";"0,0009649413893450866";"0,0496489781117086";"23,3279"
"21";"1";"2,0000";"1,0000";"1,0000";"1,7404833029289548";"0,0002951561581410152";"0,009655846725721359";"2,1667"
"21";"2";"2,9886";"0,7500";"2,2386";"14,849033097635008";"0,00023224067284891188";"0,004108753694944301";"3,7955"
