"period";"profile";"avgDegree";"avgIndegree";"avgOutdegree";"avgBetweenness";"avgPagerank";"avgEigenvector";"avgInteractions"
"2";"1";"1,7778";"0,6667";"1,1111";"0";"0,0036484958317040315";"0,02865609841917734";"1,8889"
"2";"2";"1,0000";"1,0000";"0,0000";"0";"0,003533035041816294";"0,0012018033235723197";"1,0000"
"2";"3";"1,0000";"1,0000";"0,0000";"0";"0,003999176519412097";"0,039962906520098374";"1,0000"
"2";"4";"9,3548";"4,6935";"4,6613";"90,98387096774194";"0,010402280537982034";"0,19830966643160966";"16,8548"
"3";"1";"2,4706";"0,8235";"1,6471";"5,8392156862745095";"0,0025544655345291754";"0,03707959072599643";"2,7647"
"3";"2";"1,0000";"1,0000";"0,0000";"0";"0,0023289569241848117";"0,001001378149095152";"1,0000"
"3";"3";"1,0000";"1,0000";"0,0000";"0";"0,0025949156661208097";"0,03016955519910092";"1,0000"
"3";"4";"9,9574";"5,0426";"4,9149";"133,89078014184392";"0,0070596233585958155";"0,1711442443107963";"18,7128"
"4";"1";"2,3810";"0,6667";"1,7143";"6,1937487116058545";"0,0017645142475454713";"0,028179702112554723";"2,6190"
"4";"2";"1,0000";"1,0000";"0,0000";"0";"0,0016001105964348174";"0,000918596455987294";"1,0000"
"4";"3";"1,5000";"0,5000";"1,0000";"0";"0,0015984717481403775";"0,013284524235942143";"1,5000"
"4";"4";"10,3750";"5,2750";"5,1000";"167,46609397546905";"0,005441426838199357";"0,15081981495274474";"18,6000"
"5";"1";"2,5882";"0,7353";"1,8529";"5,210647440794499";"0,0015863596264633175";"0,024485882199677098";"3,0882"
"5";"2";"1,0000";"1,0000";"0,0000";"0";"0,0013616681024108041";"0,0055121300169196415";"1,0000"
"5";"3";"1,5000";"0,5000";"1,0000";"0";"0,001332255302255577";"0,011963216215805738";"1,5000"
"5";"4";"10,7447";"5,5035";"5,2411";"235,90665239016303";"0,0045300697687665";"0,13369542402891468";"19,0355"
"6";"1";"2,6667";"0,9167";"1,7500";"0,7148000437062937";"0,0013619449291477723";"0,024262990765533916";"3,2292"
"6";"2";"1,0000";"1,0000";"0,0000";"0";"0,0010809137796211176";"0,004584778787724299";"1,0000"
"6";"3";"1,3333";"0,8333";"0,5000";"0";"0,001303663620320501";"0,031241707010522823";"1,3333"
"6";"4";"10,7209";"5,4651";"5,2558";"309,8354046389657";"0,0036458932568035245";"0,11426905417285524";"18,8895"
"7";"1";"2,8103";"0,9138";"1,8966";"5,453345308061332";"0,0011559462118517798";"0,020544150060641874";"3,3448"
"7";"2";"1,0000";"1,0000";"0,0000";"0";"0,0009067163116861967";"0,00394763005799831";"1,0000"
"7";"3";"1,5714";"0,8571";"0,7143";"1,0860544217687074";"0,0011356145173775911";"0,02478637169337786";"1,8571"
"7";"4";"10,1818";"5,2201";"4,9617";"356,1823138333974";"0,003027657947753501";"0,09063390642379082";"17,4019"
"8";"1";"2,7867";"0,8267";"1,9600";"5,443278763719939";"0,0009738268899122241";"0,019955206523088624";"3,3200"
"8";"2";"1,0000";"1,0000";"0,0000";"0";"0,0007824604704711523";"0,0036405059703008016";"1,0000"
"8";"3";"1,6250";"0,8750";"0,7500";"0,802232142857143";"0,0010172410393697608";"0,030218358645153418";"1,8750"
"8";"4";"10,2845";"5,3190";"4,9655";"399,1135182568025";"0,0026940051256565435";"0,08627234182901146";"17,5172"
"9";"1";"2,8641";"0,8155";"2,0485";"6,714760200496838";"0,0007815838882118564";"0,015819024629013103";"3,4078"
"9";"2";"1,0000";"0,7500";"0,2500";"0";"0,0005868345784880581";"0,0019031329523047805";"1,2500"
"9";"3";"2,0769";"0,9231";"1,1538";"22,63867517997072";"0,0007728061554968779";"0,01844268892204588";"2,2308"
"9";"4";"10,2835";"5,3870";"4,8966";"490,41025640616573";"0,002214467099648881";"0,0794185363206606";"17,2375"
"10";"1";"2,7833";"0,7917";"1,9917";"15,046562247263555";"0,0006853668953474237";"0,014017582219047283";"3,3333"
"10";"2";"1,0000";"0,7500";"0,2500";"0";"0,0005268088536083912";"0,0018660127445937287";"1,2500"
"10";"3";"2,0769";"0,9231";"1,1538";"26,64928145403854";"0,000701125323082141";"0,01813924984443493";"2,2308"
"10";"4";"10,1207";"5,3103";"4,8103";"613,9792133497441";"0,0020224563450215276";"0,07523066475436409";"16,8966"
