"period";"profileUserSource";"profileUserDest";"total"
"1";"4";"4";"3"
"2";"4";"4";"3"
"3";"4";"4";"3"
"4";"4";"4";"3"
"5";"4";"4";"3"
"6";"1";"1";"1"
"6";"1";"4";"7"
"6";"4";"1";"13"
"6";"4";"4";"246"
"7";"1";"1";"3"
"7";"1";"4";"26"
"7";"4";"1";"25"
"7";"4";"4";"581"
"8";"1";"1";"5"
"8";"1";"4";"34"
"8";"4";"1";"40"
"8";"4";"4";"860"
"9";"1";"1";"5"
"9";"1";"4";"48"
"9";"4";"1";"46"
"9";"4";"4";"1119"
"10";"1";"1";"9"
"10";"1";"4";"79"
"10";"4";"1";"63"
"10";"4";"4";"1424"
"11";"1";"1";"14"
"11";"1";"4";"117"
"11";"4";"1";"78"
"11";"4";"4";"1698"
"12";"1";"1";"30"
"12";"1";"4";"179"
"12";"4";"1";"100"
"12";"4";"4";"1972"
"13";"1";"1";"34"
"13";"1";"4";"207"
"13";"4";"1";"107"
"13";"4";"4";"2176"
"14";"1";"1";"39"
"14";"1";"4";"262"
"14";"4";"1";"117"
"14";"4";"4";"2418"
"15";"1";"1";"54"
"15";"1";"4";"333"
"15";"4";"1";"133"
"15";"4";"4";"2709"
"16";"1";"1";"66"
"16";"1";"4";"379"
"16";"4";"1";"151"
"16";"4";"4";"2954"
"17";"1";"1";"73"
"17";"1";"4";"412"
"17";"4";"1";"170"
"17";"4";"4";"3176"
"18";"1";"1";"83"
"18";"1";"4";"448"
"18";"4";"1";"194"
"18";"4";"4";"3335"
"19";"1";"1";"95"
"19";"1";"4";"518"
"19";"4";"1";"213"
"19";"4";"4";"3548"
"20";"1";"1";"116"
"20";"1";"4";"632"
"20";"4";"1";"242"
"20";"4";"4";"3795"
"21";"1";"1";"129"
"21";"1";"4";"704"
"21";"4";"1";"256"
"21";"4";"4";"3953"
"22";"1";"1";"138"
"22";"1";"4";"759"
"22";"4";"1";"277"
"22";"4";"4";"4203"
"23";"1";"1";"156"
"23";"1";"4";"843"
"23";"4";"1";"300"
"23";"4";"4";"4443"
"24";"1";"1";"183"
"24";"1";"4";"940"
"24";"4";"1";"325"
"24";"4";"4";"4647"
"25";"1";"1";"215"
"25";"1";"4";"1036"
"25";"4";"1";"366"
"25";"4";"4";"4882"
"26";"1";"1";"231"
"26";"1";"4";"1129"
"26";"4";"1";"395"
"26";"4";"4";"5209"
"27";"1";"1";"258"
"27";"1";"4";"1270"
"27";"4";"1";"431"
"27";"4";"4";"5455"
"28";"1";"1";"279"
"28";"1";"4";"1399"
"28";"4";"1";"474"
"28";"4";"4";"5688"
"29";"1";"1";"299"
"29";"1";"4";"1523"
"29";"4";"1";"510"
"29";"4";"4";"5916"
"30";"1";"1";"326"
"30";"1";"4";"1638"
"30";"4";"1";"547"
"30";"4";"4";"6144"
"31";"1";"1";"359"
"31";"1";"4";"1786"
"31";"4";"1";"588"
"31";"4";"4";"6322"
"32";"1";"1";"404"
"32";"1";"4";"1961"
"32";"4";"1";"641"
"32";"4";"4";"6584"
"33";"1";"1";"431"
"33";"1";"4";"2096"
"33";"4";"1";"695"
"33";"4";"4";"6855"
"34";"1";"1";"464"
"34";"1";"4";"2291"
"34";"4";"1";"764"
"34";"4";"4";"7193"
"35";"1";"1";"503"
"35";"1";"4";"2478"
"35";"4";"1";"835"
"35";"4";"4";"7524"
"36";"1";"1";"555"
"36";"1";"4";"2691"
"36";"4";"1";"876"
"36";"4";"4";"7862"
"37";"1";"1";"576"
"37";"1";"4";"2864"
"37";"4";"1";"943"
"37";"4";"4";"8214"
"38";"1";"1";"625"
"38";"1";"4";"3153"
"38";"4";"1";"1039"
"38";"4";"4";"8734"
"39";"1";"1";"671"
"39";"1";"4";"3372"
"39";"4";"1";"1132"
"39";"4";"4";"9203"
"40";"1";"1";"725"
"40";"1";"4";"3617"
"40";"4";"1";"1194"
"40";"4";"4";"9578"
"41";"1";"1";"779"
"41";"1";"4";"3894"
"41";"4";"1";"1276"
"41";"4";"4";"9993"
"42";"1";"1";"829"
"42";"1";"4";"4160"
"42";"4";"1";"1340"
"42";"4";"4";"10397"
"43";"1";"1";"901"
"43";"1";"4";"4459"
"43";"4";"1";"1406"
"43";"4";"4";"10894"
"44";"1";"1";"989"
"44";"1";"4";"4838"
"44";"4";"1";"1469"
"44";"4";"4";"11332"
"45";"1";"1";"1050"
"45";"1";"4";"5142"
"45";"4";"1";"1537"
"45";"4";"4";"11801"
"46";"1";"1";"1108"
"46";"1";"4";"5475"
"46";"4";"1";"1599"
"46";"4";"4";"12376"
"47";"1";"1";"1168"
"47";"1";"4";"5755"
"47";"4";"1";"1676"
"47";"4";"4";"12814"
"48";"1";"1";"1225"
"48";"1";"4";"6079"
"48";"4";"1";"1775"
"48";"4";"4";"13420"
"49";"1";"1";"1295"
"49";"1";"4";"6439"
"49";"4";"1";"1849"
"49";"4";"4";"13889"
