"period";"avgSize";"containsOutstanding"
"0";"1,0000";"1"
"1";"3,0000";"1"
"6";"1,0000";"0"
"6";"4,6952";"1"
"7";"4,1452";"1"
"8";"1,0000";"0"
"8";"3,7310";"1"
"9";"4,0391";"1"
"10";"1,0000";"0"
"10";"4,3134";"1"
"11";"4,9141";"1"
"12";"1,0000";"0"
"12";"3,9111";"1"
"13";"5,0000";"1"
"14";"5,0978";"1"
"15";"1,0000";"0"
"15";"4,6270";"1"
"16";"4,3171";"1"
"17";"1,0000";"0"
"17";"3,8718";"1"
"18";"3,9765";"1"
"19";"3,3415";"1"
"20";"3,9530";"1"
"21";"3,4336";"1"
"22";"3,7353";"1"
"23";"3,8158";"1"
"24";"1,0000";"0"
"24";"3,6781";"1"
"25";"1,3333";"0"
"25";"3,7101";"1"
"26";"1,0000";"0"
"26";"3,9235";"1"
"27";"3,4369";"1"
"28";"1,0000";"0"
"28";"4,1688";"1"
"29";"1,0000";"0"
"29";"4,3586";"1"
"30";"4,4393";"1"
"31";"1,0000";"0"
"31";"4,1588";"1"
"32";"1,0000";"0"
"32";"3,7449";"1"
"33";"3,7293";"1"
"34";"1,0000";"0"
"34";"3,5942";"1"
"35";"1,0000";"0"
"35";"3,9675";"1"
"36";"4,1075";"1"
"37";"1,0000";"0"
"37";"3,9390";"1"
"38";"1,0000";"0"
"38";"4,0000";"1"
"39";"3,9799";"1"
"40";"1,0000";"0"
"40";"3,8172";"1"
"41";"4,3523";"1"
"42";"1,0000";"0"
"42";"5,0363";"1"
"43";"5,2112";"1"
"44";"1,0000";"0"
"44";"4,2733";"1"
"45";"1,0000";"0"
"45";"4,7624";"1"
"46";"1,0000";"0"
"46";"4,4847";"1"
"47";"1,5000";"0"
"47";"5,1524";"1"
"48";"1,0000";"0"
"48";"4,6611";"1"
"49";"1,0000";"0"
"49";"4,5017";"1"
"50";"1,0000";"0"
"50";"4,7126";"1"
"51";"1,0000";"0"
"51";"3,6414";"1"
"52";"1,2000";"0"
"52";"3,4911";"1"
"53";"3,0000";"0"
"53";"3,6045";"1"
"54";"1,1111";"0"
"54";"3,8767";"1"
"55";"1,8000";"0"
"55";"4,3625";"1"
"56";"1,0000";"0"
"56";"3,6911";"1"
"57";"1,0000";"0"
"57";"3,5369";"1"
"58";"1,0000";"0"
"58";"3,8198";"1"
"59";"1,3333";"0"
"59";"3,6356";"1"
"60";"1,0000";"0"
"60";"4,1387";"1"
"61";"1,5000";"0"
"61";"3,0884";"1"
"62";"1,3333";"0"
"62";"3,8633";"1"
"63";"1,0000";"0"
"63";"3,5930";"1"
"64";"1,0000";"0"
"64";"3,3671";"1"
"65";"1,0000";"0"
"65";"3,4615";"1"
"66";"1,0000";"0"
"66";"3,7186";"1"
"67";"1,0000";"0"
"67";"4,0244";"1"
"68";"1,2727";"0"
"68";"3,6688";"1"
"69";"2,0000";"0"
"69";"4,2233";"1"
"70";"1,0000";"0"
"70";"3,9683";"1"
"71";"1,2500";"0"
"71";"3,2415";"1"
"72";"1,0000";"0"
"72";"2,9714";"1"
