"period";"avgSize";"containsOutstanding"
"0";"4,0000";"1"
"1";"2,0000";"1"
"2";"4,8140";"1"
"3";"3,6951";"1"
"4";"4,7963";"1"
"5";"3,5965";"1"
"6";"3,6324";"1"
"7";"1,0000";"0"
"7";"2,9610";"1"
"8";"3,5942";"1"
"9";"1,0000";"0"
"9";"3,1905";"1"
"10";"3,5263";"1"
"11";"1,0000";"0"
"11";"2,8617";"1"
"12";"3,5422";"1"
"13";"3,6667";"1"
"14";"3,4071";"1"
"15";"3,4872";"1"
"16";"3,3690";"1"
"17";"3,5179";"1"
"18";"3,8051";"1"
"19";"2,5492";"1"
"20";"3,7563";"1"
"21";"1,0000";"0"
"21";"3,2813";"1"
"22";"1,0000";"0"
"22";"2,9091";"1"
"23";"3,5468";"1"
"24";"3,9390";"1"
"25";"3,0000";"0"
"25";"4,7020";"1"
"26";"1,5000";"0"
"26";"4,0504";"1"
"27";"1,0000";"0"
"27";"4,2743";"1"
"28";"1,0000";"0"
"28";"4,5846";"1"
"29";"1,0000";"0"
"29";"4,8339";"1"
"30";"2,0000";"0"
"30";"4,6676";"1"
"31";"4,2622";"1"
"32";"1,0000";"0"
"32";"3,4681";"1"
"33";"1,0000";"0"
"33";"3,3228";"1"
"34";"4,3269";"1"
"35";"1,0000";"0"
"35";"3,4696";"1"
"36";"1,0000";"0"
"36";"3,7662";"1"
"37";"1,0000";"0"
"37";"3,7258";"1"
"38";"1,7778";"0"
"38";"3,6632";"1"
"39";"1,0000";"0"
"39";"4,1880";"1"
"40";"1,5000";"0"
"40";"4,0129";"1"
"41";"1,1667";"0"
"41";"3,5378";"1"
"42";"1,0000";"0"
"42";"3,5022";"1"
"43";"1,6000";"0"
"43";"3,2342";"1"
"44";"1,0000";"0"
"44";"3,5884";"1"
"45";"1,3333";"0"
"45";"3,7692";"1"
"46";"1,7500";"0"
"46";"3,8507";"1"
"47";"1,2500";"0"
"47";"3,4861";"1"
"48";"1,2000";"0"
"48";"3,4740";"1"
"49";"1,0000";"0"
"49";"3,5315";"1"
"50";"1,1667";"0"
"50";"3,6102";"1"
"51";"1,2222";"0"
"51";"3,2534";"1"
"52";"2,2000";"0"
"52";"3,5437";"1"
"53";"2,0000";"0"
"53";"3,5142";"1"
"54";"2,1667";"0"
"54";"3,5701";"1"
"55";"2,5000";"0"
"55";"3,7413";"1"
"56";"1,3750";"0"
"56";"3,3835";"1"
"57";"1,2500";"0"
"57";"3,5318";"1"
"58";"1,0000";"0"
"58";"3,4665";"1"
"59";"1,2000";"0"
"59";"3,5048";"1"
"60";"1,8000";"0"
"60";"3,3166";"1"
"61";"1,5000";"0"
"61";"3,2516";"1"
"62";"1,3125";"0"
"62";"3,2512";"1"
"63";"1,2222";"0"
"63";"2,8544";"1"
