"questionId";"questionCommId";"answerId";"userId";"profile";"period";"communityName"
"9121";"2";"9130";"28090";"4";"6";"biology"
"9121";"2";"9132";"28131";"4";"6";"biology"
"9127";"9";"9134";"28124";"4";"6";"biology"
"9127";"9";"9135";"28117";"4";"6";"biology"
"9131";"13";"9136";"28107";"4";"6";"biology"
"9128";"10";"9137";"28131";"4";"6";"biology"
"9124";"5";"9139";"28096";"4";"6";"biology"
"9126";"8";"9140";"28139";"4";"6";"biology"
"9138";"23";"9141";"28111";"4";"6";"biology"
"9122";"3";"9146";"28148";"4";"6";"biology"
"9147";"32";"9149";"28160";"4";"6";"biology"
"9147";"32";"9150";"28090";"4";"6";"biology"
"9127";"9";"9151";"28133";"4";"6";"biology"
"9147";"32";"9152";"28159";"4";"6";"biology"
"9142";"27";"9154";"28148";"4";"6";"biology"
"9138";"23";"9155";"30400";"4";"6";"biology"
"9133";"16";"9157";"28133";"4";"6";"biology"
"9144";"29";"9158";"28141";"4";"6";"biology"
"9148";"33";"9159";"28117";"4";"6";"biology"
"9148";"33";"9160";"28141";"4";"6";"biology"
"9153";"38";"9162";"28108";"4";"6";"biology"
"9126";"8";"9163";"28154";"4";"6";"biology"
"9144";"29";"9164";"30400";"4";"6";"biology"
"9125";"6";"9166";"28119";"4";"6";"biology"
"9161";"46";"9168";"28108";"4";"6";"biology"
"9153";"38";"9169";"28098";"4";"6";"biology"
"9147";"32";"9170";"28108";"4";"6";"biology"
"9120";"1";"9172";"28133";"4";"6";"biology"
"9129";"11";"9173";"28141";"4";"6";"biology"
"9153";"38";"9174";"28172";"3";"6";"biology"
"9123";"4";"9175";"28172";"3";"6";"biology"
"9167";"52";"9176";"28139";"4";"6";"biology"
"9177";"64";"9180";"28160";"4";"6";"biology"
"9148";"33";"9182";"28119";"4";"6";"biology"
"9181";"69";"9183";"28199";"4";"6";"biology"
"9181";"69";"9186";"28191";"4";"6";"biology"
"9187";"75";"9188";"28090";"4";"6";"biology"
