"questionId";"questionCommId";"userId";"id_community";"answer_count";"comment_count";"discussionSize";"communityName";"profile";"period"
"11093";"2128";"28128";"9";"2";"1";"3";"biology";"4";"1"
"9120";"1";"28111";"9";"1";"0";"1";"biology";"4";"6"
"9211";"101";"28217";"9";"2";"2";"4";"biology";"4";"6"
"9301";"193";"28139";"9";"2";"3";"5";"biology";"4";"6"
"9124";"5";"28126";"9";"3";"3";"6";"biology";"4";"6"
"9221";"111";"28102";"9";"1";"8";"9";"biology";"4";"6"
"9309";"201";"28250";"9";"1";"0";"1";"biology";"4";"6"
"9127";"9";"28108";"9";"6";"0";"6";"biology";"4";"6"
"9230";"120";"28221";"9";"1";"0";"1";"biology";"3";"6"
"9335";"228";"28251";"9";"4";"6";"10";"biology";"4";"6"
"9131";"13";"28107";"9";"1";"0";"1";"biology";"4";"6"
"9235";"126";"28167";"9";"2";"0";"2";"biology";"4";"6"
"9347";"240";"28111";"9";"1";"0";"1";"biology";"4";"6"
"9142";"27";"28139";"9";"2";"0";"2";"biology";"4";"6"
"9265";"156";"28090";"9";"1";"0";"1";"biology";"4";"6"
"9363";"257";"28100";"9";"6";"0";"6";"biology";"4";"6"
"9147";"32";"28143";"9";"4";"4";"8";"biology";"4";"6"
"9269";"160";"28200";"9";"1";"1";"2";"biology";"4";"6"
"9384";"279";"28285";"9";"3";"1";"4";"biology";"3";"6"
"9161";"46";"28139";"9";"1";"0";"1";"biology";"4";"6"
"9275";"166";"28111";"9";"4";"2";"6";"biology";"4";"6"
"9392";"287";"28090";"9";"4";"0";"4";"biology";"4";"6"
"10982";"2006";"28149";"9";"2";"0";"2";"biology";"4";"6"
"9171";"58";"28171";"9";"2";"3";"5";"biology";"4";"6"
"9281";"173";"28224";"9";"1";"0";"1";"biology";"4";"6"
"9404";"299";"28298";"9";"1";"1";"2";"biology";"4";"6"
"9184";"72";"28191";"9";"2";"1";"3";"biology";"4";"6"
"9285";"177";"28149";"9";"1";"2";"3";"biology";"4";"6"
"9410";"305";"28165";"9";"2";"1";"3";"biology";"4";"6"
"9189";"77";"28207";"9";"1";"2";"3";"biology";"4";"6"
"9291";"183";"28227";"9";"2";"0";"2";"biology";"4";"6"
"9424";"319";"28311";"9";"1";"2";"3";"biology";"4";"6"
"9204";"94";"28215";"9";"4";"1";"5";"biology";"4";"6"
"9297";"189";"28235";"9";"1";"0";"1";"biology";"4";"6"
"9433";"328";"28165";"9";"6";"6";"12";"biology";"4";"6"
"9121";"2";"28096";"9";"3";"4";"7";"biology";"4";"6"
"9217";"107";"28125";"9";"2";"6";"8";"biology";"4";"6"
"9303";"195";"28151";"9";"2";"0";"2";"biology";"4";"6"
"9125";"6";"28126";"9";"4";"0";"4";"biology";"4";"6"
"9225";"115";"28125";"9";"3";"0";"3";"biology";"4";"6"
"9310";"202";"28251";"9";"1";"0";"1";"biology";"4";"6"
"9128";"10";"28103";"9";"3";"1";"4";"biology";"4";"6"
"9231";"121";"30400";"9";"2";"7";"9";"biology";"4";"6"
"9337";"230";"28227";"9";"2";"0";"2";"biology";"4";"6"
"9133";"16";"28111";"9";"2";"2";"4";"biology";"4";"6"
"9256";"147";"28139";"9";"1";"0";"1";"biology";"4";"6"
"9349";"242";"28125";"9";"1";"1";"2";"biology";"4";"6"
"9143";"28";"28141";"9";"1";"0";"1";"biology";"4";"6"
"9266";"157";"28227";"9";"1";"1";"2";"biology";"4";"6"
"9370";"264";"28126";"9";"3";"2";"5";"biology";"4";"6"
"9148";"33";"28126";"9";"3";"0";"3";"biology";"4";"6"
"9272";"163";"28162";"9";"2";"2";"4";"biology";"4";"6"
"9385";"280";"28126";"9";"3";"3";"6";"biology";"4";"6"
"9165";"50";"30400";"9";"1";"3";"4";"biology";"4";"6"
