"totalPost";"userId";"profile_1";"profile_2"
"32";"28090";"4";"4"
"2";"28093";"4";"4"
"7";"28096";"4";"4"
"1";"28106";"1";"4"
"3";"28107";"4";"4"
"5";"28108";"4";"4"
"25";"28111";"4";"4"
"1";"28112";"4";"4"
"2";"28114";"4";"4"
"6";"28117";"4";"4"
"3";"28119";"4";"4"
"1";"28120";"4";"4"
"2";"28124";"4";"4"
"26";"28126";"4";"4"
"1";"28128";"4";"4"
"1";"28129";"4";"4"
"10";"28131";"4";"4"
"2";"28133";"4";"4"
"15";"28139";"4";"4"
"6";"28141";"4";"4"
"23";"28148";"4";"4"
"21";"28149";"4";"4"
"7";"28150";"4";"4"
"31";"28151";"4";"4"
"11";"28154";"4";"4"
"1";"28159";"4";"4"
"13";"28162";"4";"4"
"3";"28163";"4";"4"
"33";"28167";"4";"4"
"18";"28168";"4";"4"
"2";"28172";"1";"1"
"2";"28173";"4";"4"
"3";"28177";"4";"4"
"2";"28180";"4";"4"
"45";"28188";"4";"4"
"26";"28191";"4";"4"
"1";"28193";"4";"4"
"35";"28194";"4";"4"
"2";"28196";"4";"4"
"2";"28199";"4";"4"
"1";"28202";"1";"1"
"1";"28205";"4";"4"
"2";"28208";"4";"4"
"2";"28211";"4";"4"
"5";"28215";"4";"4"
"1";"28216";"4";"4"
"6";"28224";"4";"4"
"2";"28226";"4";"4"
"1";"28227";"4";"4"
"1";"28229";"4";"4"
"1";"28230";"4";"4"
"3";"28232";"4";"4"
"4";"28236";"4";"4"
"19";"28244";"4";"4"
"1";"28245";"4";"4"
"1";"28250";"4";"4"
"8";"28255";"4";"4"
"9";"28262";"4";"4"
"1";"28263";"4";"4"
"18";"28269";"4";"4"
"1";"28275";"1";"1"
"1";"28276";"1";"1"
"1";"28277";"4";"4"
"3";"28278";"4";"4"
"9";"28279";"4";"4"
"1";"28280";"4";"4"
"1";"28284";"1";"1"
"1";"28285";"1";"1"
"9";"28292";"4";"4"
"2";"28295";"4";"4"
"4";"28296";"4";"4"
"4";"28299";"4";"4"
"3";"28303";"1";"4"
"37";"28304";"4";"4"
"1";"28306";"1";"1"
"1";"28307";"4";"4"
"2";"28308";"4";"4"
"2";"28310";"4";"4"
"5";"28311";"4";"4"
"12";"28312";"4";"4"
"5";"28324";"4";"4"
"1";"28337";"1";"1"
"5";"28348";"4";"4"
"3";"28349";"4";"4"
"1";"28355";"1";"1"
"1";"28369";"4";"4"
"12";"28375";"4";"4"
"1";"28376";"4";"4"
"1";"28381";"4";"4"
"1";"28398";"4";"4"
"1";"28404";"1";"4"
"3";"28405";"4";"4"
"1";"28407";"4";"4"
"2";"28411";"4";"4"
"3";"28414";"4";"4"
"1";"28416";"4";"4"
"1";"28427";"1";"1"
"7";"28430";"4";"4"
"1";"28441";"1";"1"
"34";"28450";"4";"4"
"1";"28455";"1";"4"
"1";"28457";"4";"4"
"7";"28468";"4";"4"
"15";"28488";"4";"4"
"1";"28492";"1";"1"
"1";"28494";"1";"1"
"27";"28497";"4";"4"
"4";"28498";"4";"4"
"1";"28503";"4";"4"
"1";"28505";"1";"1"
"26";"28509";"4";"4"
"1";"28511";"4";"4"
"1";"28513";"4";"4"
"1";"28516";"1";"1"
"1";"28517";"4";"4"
"10";"28523";"4";"4"
"1";"28525";"4";"4"
"1";"28540";"4";"4"
"7";"28544";"4";"4"
"1";"28548";"4";"4"
"2";"28552";"4";"4"
"10";"28554";"4";"4"
"1";"28556";"1";"1"
"1";"28568";"4";"4"
"2";"28570";"4";"4"
"39";"28579";"4";"4"
"24";"28584";"4";"4"
"8";"28586";"4";"4"
"1";"28588";"1";"1"
"1";"28597";"4";"4"
"1";"28602";"4";"4"
"1";"28617";"4";"4"
"12";"28618";"4";"4"
"1";"28620";"4";"4"
"7";"28624";"4";"4"
"6";"28627";"4";"4"
"1";"28643";"1";"1"
"1";"28647";"4";"4"
"1";"28653";"4";"4"
"1";"28656";"4";"4"
"1";"28664";"4";"4"
"2";"28668";"4";"4"
"1";"28673";"4";"4"
"1";"28675";"1";"4"
"3";"28683";"4";"4"
"1";"28684";"1";"1"
"7";"28687";"4";"4"
"6";"28691";"4";"4"
"1";"28694";"1";"1"
"2";"28702";"4";"4"
"1";"28712";"1";"1"
"1";"28717";"1";"4"
"1";"28718";"1";"1"
"6";"28719";"4";"4"
"2";"28724";"4";"4"
"1";"28725";"1";"1"
"3";"28726";"4";"4"
"1";"28730";"4";"4"
"1";"28745";"4";"4"
"2";"28755";"1";"4"
"35";"28760";"4";"4"
"1";"28762";"1";"1"
"1";"28764";"4";"4"
"3";"28768";"1";"1"
"6";"28772";"4";"4"
"1";"28774";"4";"4"
"2";"28777";"1";"1"
"1";"28778";"4";"4"
"12";"28784";"4";"4"
"33";"28802";"4";"4"
"4";"28805";"4";"4"
"3";"28815";"4";"4"
"53";"28821";"4";"4"
"4";"28825";"4";"4"
"1";"28830";"4";"4"
"8";"28832";"4";"4"
"2";"28840";"4";"4"
"1";"28841";"1";"1"
"2";"28856";"4";"4"
"1";"28859";"1";"4"
"13";"28861";"4";"4"
"4";"28873";"4";"4"
"4";"28876";"4";"4"
"1";"28884";"1";"1"
"1";"28897";"4";"4"
"1";"28907";"1";"1"
"1";"28908";"1";"1"
"1";"28910";"1";"4"
"1";"28919";"1";"1"
"1";"28922";"1";"4"
"2";"28932";"1";"1"
"1";"28941";"4";"4"
"94";"28951";"4";"4"
"3";"28956";"4";"4"
"4";"28960";"4";"4"
"10";"28974";"4";"4"
"2";"28977";"4";"4"
"12";"28990";"4";"4"
"2";"28991";"1";"1"
"11";"28995";"4";"4"
"1";"28999";"1";"4"
"4";"29002";"4";"4"
"1";"29004";"4";"4"
"2";"29015";"1";"1"
"1";"29019";"1";"1"
"1";"29025";"1";"1"
"1";"29041";"4";"4"
"3";"29044";"4";"4"
"1";"29045";"4";"4"
"2";"29048";"1";"4"
"2";"29055";"4";"4"
"4";"29061";"4";"4"
"3";"29062";"4";"4"
"2";"29076";"4";"4"
"8";"29087";"4";"4"
"1";"29088";"4";"4"
"5";"29089";"4";"4"
"1";"29104";"1";"1"
"2";"29105";"4";"4"
"41";"29112";"4";"4"
"2";"29117";"4";"4"
"20";"29123";"4";"4"
"3";"29127";"4";"4"
"1";"29138";"4";"4"
"3";"29140";"4";"4"
"2";"29141";"4";"4"
"3";"29147";"4";"4"
"6";"29148";"4";"4"
"2";"29149";"4";"4"
"4";"29163";"4";"4"
"1";"29175";"4";"4"
"3";"29176";"4";"4"
"1";"29180";"4";"4"
"6";"29188";"4";"4"
"1";"29199";"4";"4"
"4";"29200";"4";"4"
"64";"29205";"4";"4"
"2";"29214";"4";"4"
"3";"29221";"4";"4"
"1";"29222";"4";"4"
"3";"29223";"4";"4"
"1";"29233";"4";"4"
"3";"29234";"4";"4"
"1";"29235";"1";"1"
"1";"29240";"1";"1"
"1";"29242";"1";"1"
"1";"29254";"4";"4"
"1";"29260";"1";"1"
"5";"29265";"4";"4"
"1";"29267";"4";"4"
"3";"29268";"4";"4"
"1";"29270";"1";"1"
"89";"29271";"4";"4"
"5";"29272";"4";"4"
"2";"29275";"1";"1"
"198";"29284";"4";"4"
"4";"29288";"4";"4"
"1";"29295";"1";"1"
"1";"29298";"1";"1"
"1";"29307";"1";"1"
"1";"29313";"1";"1"
"1";"29314";"1";"1"
"1";"29326";"1";"1"
"4";"29328";"4";"4"
"14";"29329";"4";"4"
"2";"29347";"4";"4"
"2";"29353";"4";"4"
"1";"29367";"4";"4"
"1";"29374";"4";"4"
"10";"29379";"4";"4"
"1";"29381";"4";"4"
"5";"29387";"4";"4"
"23";"29392";"4";"4"
"14";"29400";"4";"4"
"2";"29401";"4";"4"
"2";"29402";"1";"1"
"3";"29406";"4";"4"
"1";"29411";"1";"1"
"26";"29432";"4";"4"
"1";"29438";"1";"1"
"1";"29441";"1";"1"
"1";"29444";"4";"4"
"1";"29446";"1";"1"
"2";"29447";"4";"4"
"4";"29458";"4";"4"
"1";"29459";"1";"1"
"3";"29462";"4";"4"
"2";"29463";"4";"4"
"1";"29474";"1";"1"
"1";"29475";"4";"4"
"1";"29482";"1";"1"
"1";"29485";"1";"1"
"1";"29502";"4";"4"
"11";"29510";"4";"4"
"7";"29515";"4";"4"
"2";"29516";"4";"4"
"2";"29517";"4";"4"
"72";"29521";"4";"4"
"3";"29527";"4";"4"
"1";"29542";"1";"1"
"1";"29543";"1";"1"
"1";"29549";"4";"4"
"1";"29550";"1";"1"
"1";"29553";"1";"1"
"21";"29562";"4";"4"
"1";"29564";"4";"4"
"2";"29569";"1";"1"
"3";"29576";"1";"1"
"1";"29579";"1";"1"
"1";"29580";"1";"1"
"3";"29588";"4";"4"
"2";"29596";"4";"4"
"4";"29602";"4";"4"
"1";"29609";"1";"1"
"2";"29615";"4";"4"
"2";"29616";"1";"1"
"6";"29617";"4";"4"
"1";"29625";"1";"1"
"1";"29626";"1";"1"
"1";"29632";"1";"1"
"7";"29644";"1";"4"
"4";"29655";"4";"4"
"64";"29656";"4";"4"
"3";"29660";"4";"4"
