"totalPost";"userId";"profile_1";"profile_2"
"19";"50181";"4";"4"
"2";"50184";"4";"4"
"3";"50185";"4";"4"
"6";"50186";"4";"4"
"18";"50188";"4";"4"
"1";"50192";"4";"4"
"2";"50195";"4";"4"
"34";"50196";"4";"4"
"4";"50199";"4";"4"
"1";"50202";"4";"4"
"69";"50204";"4";"4"
"8";"50206";"4";"4"
"1";"50209";"4";"4"
"30";"50213";"4";"4"
"1";"50216";"4";"4"
"1";"50217";"4";"4"
"4";"50221";"4";"4"
"1";"50224";"4";"4"
"1";"50228";"4";"4"
"3";"50231";"4";"4"
"4";"50235";"4";"4"
"6";"50238";"4";"4"
"2";"50240";"1";"1"
"10";"50247";"4";"4"
"1";"50248";"4";"4"
"16";"50252";"4";"4"
"129";"50255";"4";"4"
"1";"50256";"4";"4"
"8";"50257";"4";"4"
"27";"50258";"4";"4"
"2";"50261";"4";"4"
"2";"50264";"4";"4"
"5";"50265";"4";"4"
"1";"50266";"4";"4"
"1";"50270";"4";"4"
"2";"50275";"4";"4"
"1";"50277";"4";"4"
"13";"50278";"4";"4"
"5";"50280";"4";"4"
"2";"50284";"4";"4"
"22";"50287";"4";"4"
"7";"50294";"4";"4"
"9";"50297";"4";"4"
"10";"50306";"4";"4"
"21";"50310";"4";"4"
"15";"50312";"4";"4"
"3";"50317";"4";"4"
"1";"50321";"4";"4"
"21";"50332";"4";"4"
"1";"50345";"1";"1"
"1";"50348";"4";"4"
"1";"50351";"1";"1"
"96";"50357";"4";"4"
"1";"50359";"1";"1"
"47";"50360";"4";"4"
"25";"50365";"4";"4"
"1";"50400";"4";"4"
"1";"50402";"1";"1"
"1";"50405";"1";"1"
"1";"50406";"1";"1"
"8";"50412";"4";"4"
"3";"50418";"4";"4"
"1";"50425";"4";"4"
"1";"50428";"4";"4"
"9";"50430";"4";"4"
"1";"50437";"4";"4"
"244";"50441";"4";"4"
"10";"50449";"4";"4"
"4";"50461";"4";"4"
"2";"50467";"4";"4"
"52";"50469";"4";"4"
"3";"50473";"4";"4"
"1";"50479";"1";"1"
"3";"50483";"4";"4"
"2";"50484";"1";"1"
"12";"50486";"4";"4"
"4";"50487";"4";"4"
"24";"50490";"4";"4"
"1";"50504";"4";"4"
"4";"50507";"4";"4"
"1";"50510";"4";"4"
"22";"50518";"4";"4"
"1";"50522";"4";"4"
"4";"50537";"4";"4"
"7";"50538";"4";"4"
"5";"50543";"4";"4"
"3";"50548";"4";"4"
"2";"50561";"4";"4"
"551";"50562";"4";"4"
"13";"50582";"4";"4"
"2";"50583";"4";"4"
"1";"50586";"1";"1"
"3";"50587";"4";"4"
"1";"50600";"4";"4"
"61";"50605";"4";"4"
"6";"50611";"4";"4"
"1";"50618";"1";"1"
"190";"50621";"4";"4"
"2";"50623";"4";"4"
"1";"50625";"1";"1"
"1";"50635";"1";"1"
"2";"50638";"4";"4"
"1";"50639";"1";"1"
"1";"50642";"1";"1"
"10";"50647";"4";"4"
"1";"50648";"4";"4"
"1";"50658";"1";"4"
"12";"50666";"4";"4"
"1";"50673";"4";"4"
"2";"50676";"4";"4"
"1";"50687";"1";"1"
"17";"50701";"4";"4"
"1";"50702";"1";"4"
"3";"50705";"4";"4"
"1";"50707";"1";"1"
"7";"50720";"4";"4"
"3";"50730";"4";"4"
"15";"50733";"4";"4"
"1";"50740";"4";"4"
"1";"50744";"1";"1"
"3";"50757";"4";"4"
"4";"50762";"4";"4"
"3";"50771";"4";"4"
"39";"50775";"4";"4"
"2";"50776";"1";"1"
"4";"50793";"4";"4"
"1";"50795";"4";"4"
"15";"50803";"4";"4"
"1";"50805";"4";"4"
"3";"50825";"4";"4"
"6";"50828";"4";"4"
"1";"50844";"4";"4"
"4";"50845";"4";"4"
"1";"50848";"4";"4"
"7";"50856";"4";"4"
"1";"50867";"1";"1"
"3";"50869";"4";"4"
"1";"50873";"1";"1"
"4";"50875";"4";"4"
"1";"50878";"1";"1"
"1";"50886";"4";"4"
"6";"50888";"4";"4"
"2";"50896";"4";"4"
"1";"50916";"4";"4"
"1";"50937";"1";"1"
"63";"50939";"4";"4"
"2";"50943";"1";"1"
"1";"50946";"1";"4"
"2";"50947";"4";"4"
"2";"50949";"1";"4"
"7";"50968";"4";"4"
"6";"50983";"4";"4"
"1";"50989";"1";"1"
"2";"50996";"4";"4"
"7";"51017";"4";"4"
"7";"51024";"4";"4"
"1";"51026";"4";"4"
"1";"51032";"1";"1"
"2";"51035";"4";"4"
"1";"51058";"4";"4"
"1";"51061";"1";"1"
"11";"51065";"4";"4"
"1";"51076";"1";"1"
"3";"51078";"4";"4"
"1";"51084";"1";"1"
"1";"51086";"4";"4"
"8";"51098";"4";"4"
"1";"51102";"4";"4"
"2";"51105";"4";"4"
"1";"51110";"1";"1"
"9";"51111";"4";"4"
"1";"51122";"1";"1"
"1";"51126";"4";"4"
"1";"51134";"4";"4"
"1";"51140";"4";"4"
"8";"51146";"4";"4"
"1";"51153";"4";"4"
"1";"51175";"1";"4"
"1";"51178";"1";"1"
"1";"51184";"1";"1"
"3";"51190";"1";"1"
"1";"51192";"1";"1"
"12";"51196";"4";"4"
"1";"51198";"4";"4"
"1";"51207";"4";"4"
"2";"51210";"4";"4"
"1";"51220";"1";"1"
"1";"51233";"4";"4"
