"id";"betweenness";"closeness";"eccentricity";"harmonic_closeness";"page_rank";"indegree";"outdegree";"degree";"eigenvector";"modularity_class";"clustering_coefficient";"strongly_component";"weakly_component";"interactions";"id_graph_analysis_context";"id_user";"id_community";"profile_1";"profile_2"
"234853";"0";"0,28874287131167864";"7";"0,3015339712527311";"0,00002191810650893231";"1";"5";"6";"0,00021615333013942775";"26";"0,25";"3685";"0";"8";"72";"28087";"9";"1";"4"
"234854";"402969,3860472959";"0,3462968471148126";"6";"0,3728043805024601";"0,001985152875508644";"193";"63";"256";"0,22355350064840476";"26";"0,04911801964044571";"1057";"0";"427";"72";"28090";"9";"4";"4"
"234857";"690,1900345285711";"0,28561790861698866";"7";"0,29930672720021734";"0,0000781022522055703";"8";"9";"17";"0,007366972241047211";"26";"0,2857142984867096";"1057";"0";"20";"72";"28093";"9";"4";"4"
"234860";"50460,41664894794";"0,30037409700722395";"7";"0,3169933638046085";"0,0003251901222789252";"30";"19";"49";"0,04859628813314297";"26";"0,15914633870124817";"1057";"0";"86";"72";"28096";"9";"4";"4"
"234861";"0";"0,25523402389564837";"7";"0,26509299876274656";"0,00004402780460035625";"1";"1";"2";"0,009137151984795696";"26";"1";"1057";"0";"2";"72";"28098";"9";"4";"4"
"234862";"6185,384952929779";"0,2807281933811562";"7";"0,2926091802407009";"0,00007565303574122144";"1";"5";"6";"0,006009010782182723";"26";"0,10000000149011612";"1057";"0";"6";"72";"28100";"9";"4";"4"
"234864";"16177,66204734751";"0,3047974343870672";"7";"0,3217547573033871";"0,000044084694359956915";"2";"15";"17";"0,0035659206497554896";"26";"0,2380952388048172";"1057";"0";"21";"72";"28101";"9";"4";"4"
"234866";"0";"0,27433888921609045";"7";"0,2862739986505549";"0,00002191810650893231";"1";"4";"5";"0,00021615333013942775";"26";"0,3333333432674408";"3687";"0";"8";"72";"28102";"9";"4";"4"
"234868";"0";"0,26446374836768294";"7";"0,274810873254413";"0,00002191810650893231";"0";"3";"3";"0";"26";"0";"3689";"0";"3";"72";"28103";"9";"4";"4"
"234870";"0";"0";"0";"0";"0,000032005883794804596";"1";"0";"1";"0,0019544023690886325";"26";"0";"720";"0";"1";"72";"28106";"9";"1";"4"
"234871";"24,100483008840868";"0,23334001402946186";"8";"0,24042404163727504";"0,000039486857936220494";"4";"2";"6";"0,0018838933477526658";"26";"0,4166666567325592";"1057";"0";"8";"72";"28107";"9";"4";"4"
"234873";"52836,61761069956";"0,3112135792568832";"7";"0,32921664263729106";"0,0003779370628883676";"28";"22";"50";"0,058241547132674425";"26";"0,1418439745903015";"1057";"0";"97";"72";"28108";"9";"4";"4"
"234875";"7595,977251081334";"0,28834127917775987";"7";"0,3017848195752384";"0,00002985594620370425";"1";"7";"8";"0,0016587252330260989";"26";"0,0714285746216774";"1057";"0";"9";"72";"28109";"9";"4";"4"
"234876";"193242,42382514616";"0,35200302343159484";"6";"0,37982606828429394";"0,000854333721691506";"63";"72";"135";"0,10747416359921719";"26";"0,12234724313020706";"1057";"0";"343";"72";"28111";"9";"4";"4"
"234877";"611,3392952869718";"0,2963222193942479";"6";"0,31044306062557714";"0,00005559508798701478";"2";"7";"9";"0,0059197660355565125";"31";"0,1527777761220932";"1057";"0";"10";"72";"28112";"9";"4";"4"
"234880";"556,9944532739432";"0,29946627226544914";"6";"0,3130484575191409";"0,00009500555582130659";"5";"4";"9";"0,008100282149316908";"26";"0,3194444477558136";"1057";"0";"10";"72";"28114";"9";"4";"4"
"234883";"12727,04689171896";"0,309888208677136";"6";"0,3260718631450776";"0,0001881587450121061";"14";"11";"25";"0,016395153725290906";"3";"0,18115942180156708";"1057";"0";"47";"72";"28117";"9";"4";"4"
"234884";"0";"0,2575472741346898";"7";"0,26747786705923593";"0,00002191810650893231";"0";"2";"2";"0";"26";"0,5";"3695";"0";"2";"72";"28118";"9";"4";"4"
"234886";"349,3336581491644";"0,2605314685314685";"7";"0,27086158062108473";"0,00018990252785939843";"11";"3";"14";"0,02966607511287904";"26";"0,35256409645080566";"1057";"0";"21";"72";"28119";"9";"4";"4"
"234887";"13700,271985578765";"0,33680480219859693";"6";"0,3574905160689885";"0,0000857347305095078";"5";"15";"20";"0,0048301507907502145";"26";"0,30416667461395264";"1057";"0";"23";"72";"28120";"9";"4";"4"
"234888";"7,439161071127017";"0,24942424080124256";"7";"0,2582027056044709";"0,000031140053327149943";"2";"1";"3";"0,0010146527850542271";"26";"0";"1057";"0";"3";"72";"28121";"9";"4";"4"
"234891";"0";"0";"0";"0";"0,000055663957999181";"3";"0";"3";"0,0016120368117466075";"26";"0";"721";"0";"3";"72";"28124";"9";"4";"4"
"234893";"10698,424927511378";"0,2914267834793492";"7";"0,30624814667116046";"0,00009308241248994053";"2";"10";"12";"0,007390998241789466";"26";"0,13636364042758942";"1057";"0";"15";"72";"28125";"9";"4";"4"
"234894";"145787,73178512813";"0,3610637308109784";"6";"0,389528308639315";"0,0008724360949130287";"78";"78";"156";"0,08608480992797146";"26";"0,09707653522491455";"1057";"0";"298";"72";"28126";"9";"4";"4"
"234896";"7747,644488839268";"0,29102612173478315";"7";"0,3048488194934356";"0,00006552371568908119";"3";"5";"8";"0,011569918479141286";"26";"0,30000001192092896";"1057";"0";"8";"72";"28127";"9";"4";"4"
"234897";"20150,727252396748";"0,2780796560578014";"7";"0,2911387874883672";"0,00010695018143493696";"6";"8";"14";"0,009819268800197204";"26";"0,20454545319080353";"1057";"0";"14";"72";"28128";"9";"4";"4"
"234899";"246,66538996323152";"0,291117084453335";"7";"0,30595826047833286";"0,00008679851247466294";"4";"6";"10";"0,008616675437046955";"26";"0,4444444477558136";"1057";"0";"14";"72";"28129";"9";"4";"4"
"234901";"16715,788977133045";"0,30259909031838855";"7";"0,3184928985551628";"0,00022053541903514727";"19";"11";"30";"0,02222218567427221";"26";"0,29538461565971375";"1057";"0";"51";"72";"28131";"9";"4";"4"
"234903";"12922,333724232016";"0,31485362720573323";"6";"0,33228473266050246";"0,00011158097554225584";"4";"11";"15";"0,015536841651520996";"26";"0,31060606241226196";"1057";"0";"18";"72";"28132";"9";"4";"4"
"234904";"596,0090326805722";"0,2926905914147445";"7";"0,3066847653813459";"0,000161920756424613";"9";"5";"14";"0,027042828348911342";"26";"0,5256410241127014";"1057";"0";"28";"72";"28133";"9";"4";"4"
"234906";"0";"0,27706400190340236";"7";"0,28922948741540344";"0,00002191810650893231";"0";"4";"4";"0";"26";"0,1666666716337204";"3700";"0";"4";"72";"28137";"9";"1";"1"
"234908";"240537,89187057235";"0,34127216766818114";"6";"0,36581132345571904";"0,0014388961123688892";"140";"48";"188";"0,17901025270979679";"26";"0,05387957766652107";"1057";"0";"379";"72";"28139";"9";"4";"4"
"234910";"0";"0,263119245325651";"7";"0,27466928377190486";"0,00002191810650893231";"0";"3";"3";"0";"26";"0,3333333432674408";"3701";"0";"4";"72";"28140";"9";"4";"4"
"234912";"1771,0603209274127";"0,28270503247738726";"7";"0,29563841426628384";"0,00013419185768900972";"15";"10";"25";"0,014717206259836158";"26";"0,10822510719299316";"1057";"0";"32";"72";"28141";"9";"4";"4"
"234914";"0";"0";"0";"0";"0,000033563018545370586";"1";"0";"1";"0,0010840667002379493";"26";"0";"480";"0";"2";"72";"28142";"9";"1";"1"
"234915";"0";"0,27718943360304615";"7";"0,2894464375146918";"0,00002191810650893231";"0";"7";"7";"0";"26";"0,0714285746216774";"3703";"0";"9";"72";"28143";"9";"4";"4"
"234916";"814,4865892784966";"0,3296571226581831";"6";"0,35159410965757737";"0,000025023261795320835";"1";"37";"38";"0,00020829388178672802";"26";"0,10526315867900848";"3708";"0";"40";"72";"28144";"9";"4";"4"
"234917";"0";"0";"0";"0";"0,00006209683855844151";"2";"0";"2";"0,008342271895401555";"26";"0,5";"354";"0";"2";"72";"28145";"9";"1";"1"
