"totalPost";"userId";"profile_1";"profile_2"
"5";"28090";"4";"4"
"1";"28106";"1";"4"
"2";"28108";"4";"4"
"6";"28111";"4";"4"
"1";"28112";"4";"4"
"1";"28114";"4";"4"
"1";"28117";"4";"4"
"2";"28119";"4";"4"
"3";"28126";"4";"4"
"1";"28131";"4";"4"
"1";"28139";"4";"4"
"2";"28141";"4";"4"
"3";"28148";"4";"4"
"8";"28149";"4";"4"
"3";"28150";"4";"4"
"7";"28151";"4";"4"
"6";"28154";"4";"4"
"1";"28159";"4";"4"
"5";"28162";"4";"4"
"1";"28163";"4";"4"
"8";"28167";"4";"4"
"2";"28168";"4";"4"
"1";"28172";"1";"1"
"1";"28177";"4";"4"
"1";"28180";"4";"4"
"5";"28188";"4";"4"
"4";"28191";"4";"4"
"5";"28194";"4";"4"
"1";"28196";"4";"4"
"1";"28199";"4";"4"
"3";"28215";"4";"4"
"2";"28224";"4";"4"
"2";"28226";"4";"4"
"1";"28229";"4";"4"
"1";"28232";"4";"4"
"5";"28244";"4";"4"
"1";"28262";"4";"4"
"3";"28269";"4";"4"
"1";"28275";"1";"1"
"1";"28276";"1";"1"
"2";"28278";"4";"4"
"1";"28279";"4";"4"
"1";"28280";"4";"4"
"1";"28284";"1";"1"
"1";"28285";"1";"1"
"4";"28292";"4";"4"
"1";"28295";"4";"4"
"1";"28296";"4";"4"
"2";"28303";"1";"4"
"9";"28304";"4";"4"
"1";"28306";"1";"1"
"1";"28307";"4";"4"
"1";"28310";"4";"4"
"1";"28311";"4";"4"
"4";"28312";"4";"4"
"3";"28324";"4";"4"
"2";"28348";"4";"4"
"1";"28349";"4";"4"
"1";"28355";"1";"1"
"1";"28369";"4";"4"
"4";"28375";"4";"4"
"1";"28381";"4";"4"
"1";"28398";"4";"4"
"2";"28411";"4";"4"
"3";"28414";"4";"4"
"1";"28416";"4";"4"
"1";"28430";"4";"4"
"9";"28450";"4";"4"
"1";"28457";"4";"4"
"2";"28468";"4";"4"
"5";"28488";"4";"4"
"1";"28494";"1";"1"
"10";"28497";"4";"4"
"2";"28498";"4";"4"
"6";"28509";"4";"4"
"1";"28511";"4";"4"
"1";"28517";"4";"4"
"3";"28544";"4";"4"
"1";"28552";"4";"4"
"1";"28554";"4";"4"
"1";"28570";"4";"4"
"9";"28579";"4";"4"
"6";"28584";"4";"4"
"2";"28586";"4";"4"
"1";"28588";"1";"1"
"1";"28597";"4";"4"
"1";"28602";"4";"4"
"4";"28618";"4";"4"
"1";"28620";"4";"4"
"3";"28627";"4";"4"
"1";"28653";"4";"4"
"1";"28656";"4";"4"
"1";"28675";"1";"4"
"1";"28683";"4";"4"
"1";"28684";"1";"1"
"1";"28687";"4";"4"
"1";"28691";"4";"4"
"1";"28718";"1";"1"
"1";"28724";"4";"4"
"1";"28725";"1";"1"
"1";"28730";"4";"4"
"1";"28745";"4";"4"
"1";"28760";"4";"4"
"1";"28768";"1";"1"
"2";"28772";"4";"4"
"1";"28777";"1";"1"
"4";"28802";"4";"4"
"1";"28815";"4";"4"
"12";"28821";"4";"4"
"1";"28825";"4";"4"
"1";"28830";"4";"4"
"1";"28832";"4";"4"
"1";"28841";"1";"1"
"1";"28856";"4";"4"
"1";"28859";"1";"4"
"2";"28861";"4";"4"
"1";"28876";"4";"4"
"1";"28897";"4";"4"
"1";"28908";"1";"1"
"1";"28919";"1";"1"
"1";"28922";"1";"4"
"1";"28932";"1";"1"
"11";"28951";"4";"4"
"1";"28956";"4";"4"
"1";"28974";"4";"4"
"1";"28977";"4";"4"
"3";"28990";"4";"4"
"1";"28991";"1";"1"
"2";"28995";"4";"4"
"1";"28999";"1";"4"
"1";"29015";"1";"1"
"1";"29019";"1";"1"
"1";"29044";"4";"4"
"1";"29048";"1";"4"
"1";"29055";"4";"4"
"4";"29061";"4";"4"
"2";"29062";"4";"4"
"1";"29087";"4";"4"
"1";"29088";"4";"4"
"2";"29089";"4";"4"
"1";"29105";"4";"4"
"5";"29112";"4";"4"
"9";"29123";"4";"4"
"1";"29138";"4";"4"
"1";"29140";"4";"4"
"1";"29141";"4";"4"
"2";"29148";"4";"4"
"1";"29149";"4";"4"
"1";"29180";"4";"4"
"2";"29188";"4";"4"
"1";"29199";"4";"4"
"2";"29200";"4";"4"
"3";"29205";"4";"4"
"1";"29221";"4";"4"
"1";"29222";"4";"4"
"1";"29233";"4";"4"
"1";"29234";"4";"4"
"1";"29240";"1";"1"
"3";"29265";"4";"4"
"1";"29270";"1";"1"
"17";"29271";"4";"4"
"1";"29272";"4";"4"
"1";"29275";"1";"1"
"33";"29284";"4";"4"
"1";"29288";"4";"4"
"1";"29295";"1";"1"
"1";"29314";"1";"1"
"1";"29328";"4";"4"
"3";"29329";"4";"4"
"1";"29353";"4";"4"
"1";"29374";"4";"4"
"1";"29387";"4";"4"
"6";"29392";"4";"4"
"5";"29400";"4";"4"
"1";"29402";"1";"1"
"4";"29432";"4";"4"
"1";"29446";"1";"1"
"1";"29462";"4";"4"
"1";"29463";"4";"4"
"1";"29475";"4";"4"
"1";"29485";"1";"1"
"1";"29502";"4";"4"
"3";"29510";"4";"4"
"1";"29517";"4";"4"
