"totalPost";"userId";"profile_1";"profile_2"
"2";"50181";"4";"4"
"1";"50185";"4";"4"
"2";"50188";"4";"4"
"1";"50195";"4";"4"
"5";"50196";"4";"4"
"2";"50199";"4";"4"
"7";"50204";"4";"4"
"2";"50213";"4";"4"
"1";"50216";"4";"4"
"1";"50228";"4";"4"
"1";"50231";"4";"4"
"5";"50238";"4";"4"
"1";"50248";"4";"4"
"2";"50252";"4";"4"
"23";"50255";"4";"4"
"1";"50256";"4";"4"
"2";"50264";"4";"4"
"3";"50265";"4";"4"
"2";"50278";"4";"4"
"1";"50280";"4";"4"
"2";"50284";"4";"4"
"4";"50287";"4";"4"
"3";"50294";"4";"4"
"2";"50306";"4";"4"
"2";"50310";"4";"4"
"3";"50312";"4";"4"
"1";"50317";"4";"4"
"6";"50332";"4";"4"
"1";"50348";"4";"4"
"11";"50357";"4";"4"
"6";"50360";"4";"4"
"3";"50365";"4";"4"
"1";"50405";"1";"1"
"3";"50412";"4";"4"
"1";"50425";"4";"4"
"1";"50430";"4";"4"
"17";"50441";"4";"4"
"5";"50449";"4";"4"
"2";"50461";"4";"4"
"7";"50469";"4";"4"
"3";"50483";"4";"4"
"1";"50484";"1";"1"
"3";"50486";"4";"4"
"3";"50487";"4";"4"
"5";"50490";"4";"4"
"1";"50507";"4";"4"
"3";"50518";"4";"4"
"1";"50537";"4";"4"
"2";"50538";"4";"4"
"4";"50543";"4";"4"
"1";"50548";"4";"4"
"1";"50561";"4";"4"
"46";"50562";"4";"4"
"3";"50582";"4";"4"
"1";"50586";"1";"1"
"1";"50587";"4";"4"
"9";"50605";"4";"4"
"40";"50621";"4";"4"
"2";"50623";"4";"4"
"1";"50638";"4";"4"
"1";"50642";"1";"1"
"1";"50648";"4";"4"
"1";"50658";"1";"4"
"3";"50666";"4";"4"
"1";"50676";"4";"4"
"2";"50701";"4";"4"
"1";"50705";"4";"4"
"1";"50720";"4";"4"
"3";"50730";"4";"4"
"1";"50744";"1";"1"
"2";"50762";"4";"4"
"1";"50771";"4";"4"
"10";"50775";"4";"4"
"1";"50803";"4";"4"
"1";"50828";"4";"4"
"1";"50844";"4";"4"
"1";"50845";"4";"4"
"1";"50878";"1";"1"
"1";"50888";"4";"4"
"5";"50939";"4";"4"
"2";"50943";"1";"1"
"3";"50968";"4";"4"
"3";"50983";"4";"4"
"1";"50989";"1";"1"
"1";"51017";"4";"4"
"3";"51024";"4";"4"
"4";"51065";"4";"4"
"1";"51084";"1";"1"
"2";"51098";"4";"4"
"1";"51105";"4";"4"
"1";"51110";"1";"1"
"1";"51126";"4";"4"
"1";"51134";"4";"4"
"2";"51146";"4";"4"
"1";"51192";"1";"1"
"2";"51196";"4";"4"
"1";"51207";"4";"4"
"1";"51262";"4";"4"
"1";"51264";"4";"4"
"1";"51288";"4";"4"
"1";"51290";"4";"4"
"1";"51304";"4";"4"
"8";"51307";"4";"4"
"1";"51322";"4";"4"
"1";"51362";"4";"4"
"3";"51381";"4";"4"
"1";"51385";"1";"1"
"3";"51407";"4";"4"
"1";"51426";"4";"4"
"1";"51449";"4";"4"
"1";"51499";"4";"4"
"1";"51500";"1";"1"
"9";"51502";"4";"4"
"1";"51512";"1";"1"
"1";"51519";"1";"1"
"1";"51529";"1";"1"
"1";"51532";"4";"4"
"1";"51553";"1";"1"
"10";"51567";"4";"4"
"9";"51579";"4";"4"
"1";"51610";"4";"4"
"1";"51657";"4";"4"
"1";"51688";"4";"4"
"1";"51702";"1";"1"
"1";"51728";"4";"4"
"1";"51738";"4";"4"
"7";"51743";"4";"4"
"1";"51763";"1";"1"
"3";"51818";"4";"4"
"2";"51826";"4";"4"
"3";"51828";"4";"4"
"2";"51851";"4";"4"
"1";"51852";"4";"4"
"1";"51908";"4";"4"
"1";"51937";"4";"4"
"4";"51994";"4";"4"
"8";"52000";"4";"4"
"17";"52001";"4";"4"
"1";"52007";"4";"4"
"1";"52022";"4";"4"
"1";"52036";"4";"4"
"1";"52045";"1";"1"
"1";"52054";"4";"4"
"1";"52083";"1";"1"
"3";"52087";"4";"4"
"1";"52100";"1";"1"
"1";"52184";"4";"4"
"4";"52190";"4";"4"
"1";"52234";"1";"1"
"6";"52236";"4";"4"
"1";"52270";"1";"4"
"1";"52293";"1";"1"
"12";"52303";"4";"4"
"1";"52325";"4";"4"
"1";"52332";"1";"1"
"1";"52342";"1";"1"
"4";"52352";"4";"4"
"10";"52393";"4";"4"
"1";"52398";"4";"4"
"1";"52410";"4";"4"
"1";"52462";"4";"4"
"1";"52464";"1";"1"
"1";"52484";"1";"1"
"4";"52507";"4";"4"
"1";"52516";"4";"4"
"3";"52547";"4";"4"
"3";"52564";"4";"4"
"1";"52565";"4";"4"
"2";"52599";"4";"4"
"2";"52616";"4";"4"
"1";"52618";"1";"1"
"1";"52626";"1";"1"
"1";"52636";"1";"1"
"1";"52647";"1";"1"
"2";"52659";"4";"4"
"1";"52663";"1";"1"
"2";"52671";"4";"4"
"1";"52675";"1";"1"
"1";"52697";"4";"4"
"1";"52698";"1";"1"
"2";"52703";"4";"4"
"1";"52736";"4";"4"
"1";"52789";"1";"1"
"1";"52793";"1";"1"
"3";"52803";"4";"4"
"1";"52811";"1";"1"
"3";"52907";"4";"4"
"46";"52914";"4";"4"
"43";"52957";"4";"4"
"1";"52967";"4";"4"
"14";"52978";"4";"4"
"1";"52996";"4";"4"
"1";"52998";"4";"4"
"1";"53061";"1";"1"
"1";"53068";"4";"4"
"1";"53100";"1";"1"
"1";"53128";"1";"1"
"1";"53132";"4";"4"
"1";"53144";"1";"1"
"1";"53146";"1";"1"
"3";"53183";"4";"4"
"3";"53187";"4";"4"
"1";"53191";"4";"4"
"1";"53194";"1";"1"
"3";"53233";"4";"4"
"1";"53280";"1";"1"
"1";"53289";"1";"1"
"1";"53290";"1";"1"
"1";"53312";"1";"1"
"1";"53324";"1";"1"
"1";"53378";"1";"1"
"1";"53394";"4";"4"
"1";"53431";"1";"1"
"1";"53446";"4";"4"
"1";"53453";"4";"4"
"10";"53459";"4";"4"
"34";"53468";"4";"4"
"1";"53473";"1";"1"
"1";"53474";"1";"1"
"2";"53487";"4";"4"
"1";"53493";"1";"1"
"1";"53497";"1";"1"
"1";"53503";"4";"4"
"1";"53521";"1";"1"
"3";"53528";"4";"4"
"11";"53529";"4";"4"
"1";"53535";"1";"1"
"1";"53573";"1";"1"
"2";"53578";"4";"4"
"9";"53584";"4";"4"
"2";"53610";"4";"4"
"1";"53614";"1";"1"
"1";"53624";"1";"4"
"1";"53626";"4";"4"
"53";"53643";"4";"4"
"9";"53653";"4";"4"
"1";"53663";"1";"1"
"2";"53706";"4";"4"
"1";"53709";"4";"4"
"1";"53720";"1";"1"
"1";"53754";"4";"4"
"1";"53757";"4";"4"
"1";"53771";"4";"4"
"1";"53779";"1";"1"
"2";"53786";"4";"4"
"2";"53803";"4";"4"
"1";"53810";"4";"4"
"1";"53820";"1";"1"
"2";"53829";"4";"4"
"1";"53830";"4";"4"
"2";"53855";"4";"4"
"2";"53864";"4";"4"
"2";"53882";"1";"1"
"6";"53888";"4";"4"
"1";"53900";"1";"1"
"1";"53927";"1";"1"
"1";"53931";"1";"1"
"1";"53937";"1";"1"
"14";"53948";"4";"4"
"1";"53952";"1";"1"
"5";"53953";"4";"4"
"1";"53966";"1";"1"
"14";"53980";"4";"4"
"1";"53997";"1";"1"
"3";"54000";"4";"4"
"1";"54006";"1";"1"
"1";"54026";"1";"1"
"8";"54029";"4";"4"
"2";"54034";"4";"4"
"3";"54066";"4";"4"
"2";"54072";"4";"4"
"1";"54076";"4";"4"
"4";"54080";"4";"4"
"1";"54081";"1";"1"
"1";"54093";"4";"4"
"1";"54100";"4";"4"
