"id_user_source";"reciprocityCount";"profile_1";"profile_2"
"28090";"1690";"4";"4"
"28093";"262";"4";"4"
"28096";"558";"4";"4"
"28100";"67";"4";"4"
"28101";"47";"4";"4"
"28107";"66";"4";"4"
"28108";"201";"4";"4"
"28109";"67";"4";"4"
"28111";"2059";"4";"4"
"28117";"134";"4";"4"
"28120";"132";"4";"4"
"28121";"66";"4";"4"
"28125";"67";"4";"4"
"28126";"1454";"4";"4"
"28127";"201";"4";"4"
"28128";"61";"4";"4"
"28129";"57";"4";"4"
"28131";"393";"4";"4"
"28132";"175";"4";"4"
"28133";"198";"4";"4"
"28139";"995";"4";"4"
"28141";"133";"4";"4"
"28148";"840";"4";"4"
"28149";"350";"4";"4"
"28150";"503";"4";"4"
"28151";"2673";"4";"4"
"28154";"580";"4";"4"
"28155";"61";"4";"4"
"28160";"134";"4";"4"
"28162";"1577";"4";"4"
"28163";"65";"4";"4"
"28165";"197";"4";"4"
"28167";"2181";"4";"4"
"28168";"159";"4";"4"
"28172";"67";"1";"1"
"28173";"64";"4";"4"
"28176";"109";"1";"4"
"28177";"261";"4";"4"
"28180";"63";"4";"4"
"28184";"195";"4";"4"
"28188";"2514";"4";"4"
"28191";"1068";"4";"4"
"28194";"2522";"4";"4"
"28196";"59";"4";"4"
"28199";"67";"4";"4"
"28205";"66";"4";"4"
"28207";"67";"4";"4"
"28208";"555";"4";"4"
"28211";"67";"4";"4"
"28215";"477";"4";"4"
"28216";"51";"4";"4"
"28224";"506";"4";"4"
"28226";"81";"4";"4"
"28227";"67";"4";"4"
"28230";"109";"4";"4"
"28232";"186";"4";"4"
"28236";"311";"4";"4"
"28238";"33";"4";"4"
"28244";"990";"4";"4"
"28250";"294";"4";"4"
"28251";"57";"4";"4"
"28255";"777";"4";"4"
"28258";"82";"4";"4"
"28262";"490";"4";"4"
"28263";"268";"4";"4"
"28265";"29";"1";"4"
"28269";"389";"4";"4"
"28271";"67";"1";"1"
"28277";"2";"4";"4"
"28278";"410";"4";"4"
"28279";"525";"4";"4"
"28280";"66";"4";"4"
"28282";"104";"4";"4"
"28292";"331";"4";"4"
"28295";"60";"4";"4"
"28296";"245";"4";"4"
"28297";"153";"4";"4"
"28298";"67";"4";"4"
"28299";"261";"4";"4"
"28303";"63";"1";"4"
"28304";"756";"4";"4"
"28306";"48";"1";"1"
"28311";"743";"4";"4"
"28312";"449";"4";"4"
"28316";"23";"4";"4"
"28318";"187";"4";"4"
"28319";"110";"4";"4"
"28323";"132";"4";"4"
"28331";"131";"4";"4"
"28335";"108";"4";"4"
"28336";"52";"4";"4"
"28338";"66";"1";"1"
