"id_user_source";"reciprocityCount";"profile_1";"profile_2"
"50181";"852";"4";"4"
"50184";"186";"4";"4"
"50185";"235";"4";"4"
"50186";"247";"4";"4"
"50188";"1038";"4";"4"
"50190";"62";"4";"4"
"50192";"62";"4";"4"
"50196";"1918";"4";"4"
"50197";"202";"4";"4"
"50198";"33";"4";"4"
"50199";"338";"4";"4"
"50204";"3652";"4";"4"
"50206";"489";"4";"4"
"50208";"123";"4";"4"
"50209";"186";"4";"4"
"50212";"55";"1";"4"
"50213";"1312";"4";"4"
"50216";"173";"4";"4"
"50217";"121";"4";"4"
"50221";"223";"4";"4"
"50224";"11";"4";"4"
"50231";"300";"4";"4"
"50234";"31";"4";"4"
"50235";"54";"4";"4"
"50238";"310";"4";"4"
"50240";"2";"1";"1"
"50247";"650";"4";"4"
"50248";"122";"4";"4"
"50252";"430";"4";"4"
"50255";"1186";"4";"4"
"50257";"367";"4";"4"
"50258";"1781";"4";"4"
"50261";"105";"4";"4"
"50264";"62";"4";"4"
"50265";"146";"4";"4"
"50266";"55";"4";"4"
"50270";"123";"4";"4"
"50275";"209";"4";"4"
"50278";"260";"4";"4"
"50280";"180";"4";"4"
"50287";"567";"4";"4"
"50291";"124";"4";"4"
"50294";"521";"4";"4"
"50297";"332";"4";"4"
"50301";"61";"4";"4"
"50306";"792";"4";"4"
"50310";"366";"4";"4"
"50312";"230";"4";"4"
"50317";"269";"4";"4"
"50318";"118";"4";"4"
"50321";"705";"4";"4"
"50324";"62";"4";"4"
"50332";"466";"4";"4"
"50340";"62";"4";"4"
"50357";"1869";"4";"4"
"50360";"1921";"4";"4"
"50365";"161";"4";"4"
"50391";"62";"4";"4"
"50399";"61";"4";"4"
"50400";"44";"4";"4"
"50412";"50";"4";"4"
"50418";"138";"4";"4"
"50422";"122";"4";"4"
"50423";"104";"4";"4"
"50425";"183";"4";"4"
"50426";"61";"4";"4"
"50428";"61";"4";"4"
"50430";"142";"4";"4"
"50437";"59";"4";"4"
"50439";"61";"4";"4"
"50440";"61";"1";"1"
"50441";"6204";"4";"4"
"50447";"61";"4";"4"
"50449";"66";"4";"4"
"50454";"153";"4";"4"
"50457";"76";"1";"1"
"50464";"61";"4";"4"
"50465";"61";"4";"4"
"50467";"130";"4";"4"
"50469";"1938";"4";"4"
"50482";"59";"4";"4"
"50484";"61";"1";"1"
"50486";"270";"4";"4"
"50490";"415";"4";"4"
"50496";"108";"4";"4"
"50499";"61";"1";"1"
"50503";"56";"4";"4"
"50507";"58";"4";"4"
"50508";"359";"4";"4"
"50510";"120";"4";"4"
