"id_user_source";"id_user_dest";"user_source_profile_1";"user_dest_profile_1";"user_source_profile_2";"user_dest_profile_2"
"8470";"7336";"4";"4";"4";"4"
"27";"55";"4";"4";"4";"4"
"676";"1335";"4";"4";"4";"4"
"1121";"6522";"4";"4";"4";"4"
"5152";"110";"1";"4";"4";"4"
"7878";"518";"4";"4";"4";"4"
"4852";"4852";"4";"4";"4";"4"
"18922";"18922";"1";"1";"1";"1"
"5003";"20447";"4";"4";"4";"4"
"3171";"2425";"1";"4";"4";"4"
"919";"4088";"4";"4";"4";"4"
"2563";"9004";"4";"1";"4";"1"
"12813";"2714";"1";"4";"1";"4"
"1879";"1879";"1";"1";"4";"4"
"140";"1096";"4";"4";"4";"4"
"4030";"4088";"4";"4";"4";"4"
"12650";"12650";"1";"1";"4";"4"
"1621";"2316";"1";"4";"1";"4"
"4994";"321";"4";"4";"4";"4"
"18904";"17577";"1";"4";"1";"4"
"1363";"1200";"4";"4";"4";"4"
"5003";"19464";"4";"4";"4";"4"
"27";"65";"4";"4";"4";"4"
"676";"3984";"4";"4";"4";"4"
"27";"64";"4";"4";"4";"4"
"5004";"8394";"1";"1";"4";"1"
"11496";"7336";"1";"4";"4";"4"
"9378";"3473";"4";"4";"4";"4"
"78";"11310";"4";"4";"4";"4"
"10336";"2688";"1";"4";"1";"4"
"15452";"500";"4";"4";"4";"4"
"495";"674";"4";"4";"4";"4"
"6510";"7942";"4";"4";"4";"4"
"27";"33";"4";"4";"4";"4"
"6601";"11945";"4";"4";"4";"4"
"12802";"10641";"4";"4";"4";"4"
"4091";"4109";"4";"4";"4";"4"
"14932";"14932";"1";"1";"1";"1"
"2073";"2076";"4";"4";"4";"4"
"384";"55";"4";"4";"4";"4"
"15116";"7942";"1";"4";"4";"4"
"1115";"1115";"4";"4";"4";"4"
"4091";"4100";"4";"1";"4";"1"
"3374";"2076";"4";"4";"4";"4"
"7076";"9242";"4";"4";"4";"4"
"4862";"2076";"4";"4";"4";"4"
"12930";"867";"1";"4";"1";"4"
"676";"1303";"4";"4";"4";"4"
"27";"43";"4";"4";"4";"4"
"27";"49";"4";"4";"4";"4"
"27";"47";"4";"4";"4";"4"
"14185";"14375";"4";"4";"4";"4"
"8447";"3477";"4";"4";"4";"4"
"42";"1200";"4";"4";"4";"4"
"690";"1244";"4";"4";"4";"4"
"9794";"8199";"4";"4";"4";"4"
"17228";"10641";"1";"4";"1";"4"
"17912";"12802";"4";"4";"4";"4"
"425";"2683";"4";"4";"4";"4"
"64";"23";"4";"4";"4";"4"
"8960";"11034";"4";"4";"4";"4"
"3409";"11750";"4";"1";"4";"1"
"9710";"7224";"4";"4";"4";"4"
"4091";"4113";"4";"4";"4";"4"
"7336";"2076";"4";"4";"4";"4"
"2073";"2073";"4";"4";"4";"4"
"4269";"8181";"4";"4";"4";"4"
"17137";"17137";"4";"4";"4";"4"
"4675";"4675";"4";"4";"4";"4"
"13910";"12802";"4";"4";"4";"4"
"27";"12";"4";"4";"4";"4"
"384";"78";"4";"4";"4";"4"
"2689";"17077";"4";"4";"4";"4"
"3473";"2515";"4";"4";"4";"4"
"8999";"8999";"1";"1";"1";"1"
"11833";"6601";"4";"4";"4";"4"
"3473";"2510";"4";"4";"4";"4"
"9710";"9866";"4";"1";"4";"1"
"7522";"8842";"4";"4";"4";"4"
"5394";"18006";"1";"4";"1";"4"
"10663";"10922";"4";"4";"4";"4"
"10942";"10942";"4";"4";"4";"4"
"3244";"15325";"4";"4";"4";"4"
"384";"70";"4";"4";"4";"4"
"14375";"12173";"4";"4";"4";"4"
"7150";"3516";"1";"4";"1";"4"
"27";"27";"4";"4";"4";"4"
"384";"67";"4";"4";"4";"4"
"384";"66";"4";"4";"4";"4"
"27";"24";"4";"4";"4";"4"
"2076";"3212";"4";"4";"4";"4"
"4259";"867";"4";"4";"4";"4"
"323";"78";"4";"4";"4";"4"
"10539";"2248";"4";"4";"4";"4"
"18898";"10641";"1";"4";"1";"4"
"384";"65";"4";"4";"4";"4"
"635";"599";"4";"4";"4";"4"
"4411";"2316";"4";"4";"4";"4"
"2688";"911";"4";"4";"4";"4"
"12460";"12200";"4";"4";"4";"4"
"7878";"7796";"4";"1";"4";"4"
"64";"64";"4";"4";"4";"4"
"12215";"2300";"1";"4";"1";"4"
"88";"24";"1";"4";"1";"4"
"4159";"16408";"4";"4";"4";"4"
"7149";"2076";"1";"4";"1";"4"
"8799";"18006";"1";"4";"1";"4"
"2688";"906";"4";"4";"4";"4"
"10983";"12802";"1";"4";"1";"4"
"2076";"5896";"4";"4";"4";"4"
"500";"1200";"4";"4";"4";"4"
"64";"70";"4";"4";"4";"4"
"384";"384";"4";"4";"4";"4"
"4328";"4088";"4";"4";"4";"4"
"323";"55";"4";"4";"4";"4"
"2294";"1200";"1";"4";"1";"4"
"6327";"2316";"4";"4";"4";"4"
"64";"67";"4";"4";"4";"4"
"3912";"9242";"4";"4";"4";"4"
"21979";"12985";"4";"1";"4";"1"
"64";"66";"4";"4";"4";"4"
"12802";"4405";"4";"4";"4";"4"
"16311";"9242";"1";"4";"1";"4"
"5989";"5682";"4";"4";"4";"4"
"6877";"2514";"4";"4";"4";"4"
"8432";"12583";"4";"1";"4";"1"
"3554";"3473";"1";"4";"1";"4"
"777";"4575";"4";"4";"4";"4"
"15452";"17179";"4";"4";"4";"4"
"12281";"9378";"4";"4";"4";"4"
"4910";"4910";"4";"4";"4";"4"
"647";"425";"4";"4";"4";"4"
"9696";"693";"4";"1";"4";"1"
"2542";"2542";"1";"1";"1";"1"
"146";"3473";"4";"4";"4";"4"
"14185";"867";"4";"4";"4";"4"
"4300";"867";"4";"4";"4";"4"
"16435";"2248";"1";"4";"1";"4"
"1187";"867";"4";"4";"4";"4"
"1905";"5435";"4";"1";"4";"1"
"16320";"2248";"1";"4";"1";"4"
"9324";"2076";"4";"4";"4";"4"
"2440";"3473";"4";"4";"4";"4"
"4030";"4030";"4";"4";"4";"4"
"9638";"7224";"4";"4";"4";"4"
"1814";"2110";"4";"4";"4";"4"
"5453";"5304";"4";"4";"4";"4"
"1426";"5170";"4";"4";"4";"4"
"2117";"2234";"4";"4";"4";"4"
"3244";"6235";"4";"4";"4";"4"
"495";"607";"4";"4";"4";"4"
"9696";"6101";"4";"4";"4";"4"
"18201";"15325";"1";"4";"4";"4"
"11945";"5514";"4";"4";"4";"4"
"3717";"3717";"1";"1";"4";"4"
"11638";"14097";"4";"1";"4";"1"
"1986";"110";"1";"4";"1";"4"
"9378";"10922";"4";"4";"4";"4"
"10474";"6601";"4";"4";"4";"4"
"500";"1245";"4";"4";"4";"4"
"11847";"3516";"1";"4";"1";"4"
"17912";"6601";"4";"4";"4";"4"
"21442";"7336";"1";"4";"1";"4"
"3901";"11226";"4";"1";"4";"1"
"9696";"8751";"4";"4";"4";"4"
"214";"3373";"4";"4";"4";"4"
"3032";"2683";"4";"4";"4";"4"
"10165";"7878";"1";"4";"1";"4"
"2542";"2576";"1";"4";"1";"4"
"518";"8751";"4";"4";"4";"4"
"21175";"2233";"1";"4";"4";"4"
"18787";"18788";"4";"1";"4";"1"
"5069";"5417";"4";"4";"4";"4"
"27";"93";"4";"4";"4";"4"
"104";"7134";"4";"4";"4";"4"
"748";"9286";"4";"1";"4";"4"
"1437";"3473";"4";"4";"4";"4"
"1437";"3477";"4";"4";"4";"4"
"8710";"10116";"4";"1";"4";"1"
"13910";"2076";"4";"4";"4";"4"
"5104";"2076";"4";"4";"4";"4"
"2689";"7372";"4";"4";"4";"4"
"5066";"6956";"1";"4";"4";"4"
"2980";"1295";"1";"4";"1";"4"
"460";"460";"4";"4";"4";"4"
"110";"1570";"4";"1";"4";"4"
"1322";"3473";"4";"4";"4";"4"
"1828";"1639";"4";"4";"4";"4"
"4030";"4039";"4";"4";"4";"4"
"4709";"2316";"1";"4";"1";"4"
"18787";"18787";"4";"4";"4";"4"
"6956";"10379";"4";"1";"4";"4"
"8710";"10108";"4";"4";"4";"4"
"8710";"10104";"4";"1";"4";"1"
"741";"2688";"4";"4";"4";"4"
"4271";"67";"4";"4";"4";"4"
"27";"78";"4";"4";"4";"4"
"11753";"11753";"4";"4";"4";"4"
"7989";"8181";"4";"4";"4";"4"
"2367";"5004";"4";"1";"4";"4"
"4994";"3244";"4";"4";"4";"4"
"27";"70";"4";"4";"4";"4"
"448";"110";"4";"4";"4";"4"
"13889";"2248";"4";"4";"4";"4"
"10892";"10940";"4";"1";"4";"1"
"7224";"3180";"4";"4";"4";"4"
"7359";"5505";"4";"4";"4";"4"
"7175";"7175";"1";"1";"1";"1"
"16049";"16049";"1";"1";"4";"4"
"6809";"1187";"4";"4";"4";"4"
"10196";"10196";"1";"1";"1";"1"
"2425";"5031";"4";"1";"4";"1"
"7471";"7471";"1";"1";"1";"1"
"5830";"6601";"4";"4";"4";"4"
"27";"81";"4";"4";"4";"4"
"16231";"867";"4";"4";"4";"4"
"5752";"6839";"4";"4";"4";"4"
"18359";"13390";"1";"4";"1";"4"
"9696";"6134";"4";"4";"4";"4"
"2334";"6995";"4";"4";"4";"4"
"9859";"867";"1";"4";"4";"4"
"10796";"867";"1";"4";"1";"4"
"104";"7128";"4";"1";"4";"4"
"140";"3717";"4";"1";"4";"4"
"9999";"2076";"1";"4";"4";"4"
"6460";"2308";"1";"4";"1";"4"
"5799";"10622";"4";"4";"4";"4"
"2010";"1835";"1";"4";"1";"4"
"11761";"9696";"4";"4";"4";"4"
"4445";"1426";"4";"4";"4";"4"
"3516";"4259";"4";"4";"4";"4"
"11089";"10641";"4";"4";"4";"4"
"2316";"17179";"4";"4";"4";"4"
"10255";"6";"1";"4";"4";"4"
"6";"3473";"4";"4";"4";"4"
"1437";"3438";"4";"4";"4";"4"
"12181";"2076";"4";"4";"4";"4"
"4328";"6726";"4";"4";"4";"4"
"8079";"8898";"4";"4";"4";"4"
"5202";"6740";"1";"4";"1";"4"
"2689";"7336";"4";"4";"4";"4"
"7303";"1437";"4";"4";"4";"4"
"16104";"10456";"1";"4";"1";"4"
"1204";"676";"4";"4";"4";"4"
