"period";"modularity_class";"avgIndegree";"avgOutdegree";"avgDegree";"avgBetweenness";"avgPageRank";"avgEigenvector"
"1";"0";"1,0000";"1,0000";"2,0000";"0,3333333333333333";"0,19455727880658438";"0,6633663366336634"
"2";"0";"1,0000";"1,0000";"2,0000";"0,3333333333333333";"0,19455727880658438";"0,6633663366336634"
"3";"0";"1,0000";"1,0000";"2,0000";"0,3333333333333333";"0,19455727880658438";"0,6633663366336634"
"4";"0";"1,0000";"1,0000";"2,0000";"0,3333333333333333";"0,19455727880658438";"0,6633663366336634"
"5";"0";"1,0000";"1,0000";"2,0000";"0,3333333333333333";"0,19455727880658438";"0,6633663366336634"
"6";"0";"2,2222";"2,1111";"4,3333";"16,044713003046336";"0,005280760131273934";"0,05102895638951354"
"6";"1";"1,0000";"1,0000";"2,0000";"0,3333333333333333";"0,004993231404570292";"0,004880855226584708"
"6";"2";"1,0000";"1,0000";"2,0000";"0";"0,003189665301112859";"0,004162912846315841"
"6";"3";"1,8750";"2,7500";"4,6250";"103,69125180375181";"0,006590517036111937";"0,08057763481919845"
"6";"4";"4,1905";"4,1905";"8,3810";"156,27756132756133";"0,008970682045747783";"0,30033416505324556"
"6";"5";"2,1667";"1,7500";"3,9167";"64,7919733044733";"0,008225941439275426";"0,12296880122195875"
"6";"6";"3,5000";"3,3333";"6,8333";"116,21212522045855";"0,008335970938842557";"0,17761002856806057"
"6";"7";"2,6667";"3,5000";"6,1667";"51,7241822991823";"0,005887740834219131";"0,10448587047964596"
"6";"8";"2,9167";"2,6667";"5,5833";"125,63097943722943";"0,008668459473057917";"0,17918364633488756"
"7";"0";"5,3333";"3,3333";"8,6667";"232,14012131372803";"0,005465979943812902";"0,17427724578347267"
"7";"1";"5,3636";"5,0000";"10,3636";"246,69346252224804";"0,00458428766338451";"0,19993253557169074"
"7";"2";"2,6538";"3,4231";"6,0769";"109,59562786664925";"0,0039638092898797665";"0,07362895431717645"
"7";"3";"3,1579";"4,1579";"7,3158";"194,14141714747873";"0,0034431582087608333";"0,09128964314632806"
"7";"4";"3,7619";"4,0476";"7,8095";"161,49124709385657";"0,00375812778848788";"0,1156280351292908"
"7";"5";"4,5313";"4,6875";"9,2188";"188,47543939776793";"0,004801707279815267";"0,15557485553877073"
"7";"6";"4,7667";"4,2333";"9,0000";"182,28555308382704";"0,004936486225145987";"0,1587366763711419"
"8";"0";"0,5000";"0,5000";"1,0000";"0";"0,0015199801423385671";"0,000442370465473465"
"8";"1";"4,6452";"3,6129";"8,2581";"193,59923984238117";"0,0036580062640060875";"0,13408263164248005"
"8";"2";"3,6875";"4,6875";"8,3750";"168,3019221012324";"0,0028525436400100705";"0,10514863993367626"
"8";"3";"3,3721";"3,9767";"7,3488";"205,35100479525534";"0,0028853810006117127";"0,08165953702533912"
"8";"4";"6,8108";"6,3784";"13,1892";"393,0993600477997";"0,005172103344408479";"0,21552111837572516"
"8";"5";"4,7333";"4,4667";"9,2000";"261,1126249186247";"0,003461053134317246";"0,1482069375689066"
"8";"6";"3,4483";"3,8276";"7,2759";"218,7621318146101";"0,0028638460330177493";"0,08481610757664403"
"8";"7";"4,6389";"4,6111";"9,2500";"233,8897801916345";"0,0036508624347718075";"0,12471027842273225"
"9";"0";"2,1818";"3,4545";"5,6364";"141,98483046042705";"0,0013256595127132296";"0,025969906265103482"
"9";"1";"4,4595";"3,8919";"8,3514";"254,29384255812215";"0,0027270632837242906";"0,09193111456482447"
"9";"2";"3,4762";"4,8095";"8,2857";"270,3441587385152";"0,0022126312231997595";"0,07189418632125569"
"9";"3";"3,6364";"3,1818";"6,8182";"63,43416771209691";"0,0021025447521964215";"0,06869525350771648"
"9";"4";"4,4412";"4,3235";"8,7647";"351,0096917294334";"0,002746390070889836";"0,09007484129421449"
"9";"5";"5,9767";"5,4884";"11,4651";"432,7816150761064";"0,0036808954938858346";"0,13243638381979506"
"9";"6";"5,3000";"5,4667";"10,7667";"315,30818790410547";"0,003082673553639055";"0,09631218648143886"
"9";"7";"5,3929";"5,2857";"10,6786";"492,2789043817935";"0,003031832192581073";"0,11603340003520315"
"9";"8";"4,0408";"4,1837";"8,2245";"259,0468894909429";"0,002588819723982907";"0,07086751032544225"
"10";"0";"1,0000";"1,0000";"2,0000";"0";"0,0005994293718459207";"0,000875218096600697"
"10";"1";"4,2500";"4,7917";"9,0417";"333,89899428919165";"0,001987860532082771";"0,0669773589390856"
"10";"2";"6,1622";"6,3243";"12,4865";"563,5292992468886";"0,0026266485916873875";"0,10705433941483285"
"10";"3";"4,6389";"4,9167";"9,5556";"451,49464923804146";"0,0019744929691622023";"0,07221085504233596"
"10";"4";"3,8095";"4,3333";"8,1429";"343,68628179517845";"0,0016322299336028424";"0,053432361731260584"
"10";"5";"5,6667";"4,6111";"10,2778";"426,2667478402269";"0,002400756494073327";"0,07746184332126621"
"10";"6";"3,3611";"3,6944";"7,0556";"302,1812335835316";"0,0017707488544646936";"0,04231615283050728"
"10";"7";"4,8108";"4,9459";"9,7568";"467,41953063068945";"0,002267264610517242";"0,07938043268711154"
"10";"8";"3,0714";"3,7857";"6,8571";"332,8256634966759";"0,0018916858965286343";"0,0496632722085384"
"10";"9";"5,2308";"5,0256";"10,2564";"485,91820843339667";"0,0025506920335209224";"0,10077264265279127"
"10";"10";"4,9400";"4,5200";"9,4600";"317,23202784419027";"0,0021134650550846145";"0,07903494255706002"
"11";"0";"1,0000";"1,0000";"2,0000";"0";"0,0005038114788195439";"0,0007975157237293227"
"11";"1";"4,7500";"5,0357";"9,7857";"391,25368899062204";"0,0015303372862092888";"0,055533718104951287"
"11";"2";"4,3600";"4,6400";"9,0000";"319,8440972315287";"0,0017234455467416382";"0,06668568131634377"
"11";"3";"4,5769";"4,5192";"9,0962";"397,9507269545829";"0,0017811404246940315";"0,052108769865165556"
"11";"4";"4,3704";"5,1481";"9,5185";"395,9991063267253";"0,0017502947368702975";"0,05874568055953636"
"11";"5";"2,3529";"2,9412";"5,2941";"186,70142570004444";"0,0013230991376885055";"0,022314910550648423"
"11";"6";"4,0732";"4,4390";"8,5122";"477,31083387617633";"0,0014464137407947868";"0,049445045958309446"
"11";"7";"5,9545";"5,3485";"11,3030";"435,0215836913802";"0,0022362886820152077";"0,08221454100347368"
"11";"8";"5,7727";"5,8030";"11,5758";"632,6620029848967";"0,002168536644690882";"0,09114508114833533"
"11";"9";"4,8000";"4,8333";"9,6333";"470,35246705068045";"0,0017012074526360987";"0,06024909792299752"
"11";"10";"5,5455";"4,9091";"10,4545";"665,1824680919937";"0,0024270815786725693";"0,08534183645225737"
"12";"0";"1,0000";"1,0000";"2,0000";"0";"0,0004195944411556766";"0,0007238229578858862"
"12";"1";"4,9032";"5,0645";"9,9677";"747,7106974001965";"0,0017678299464359301";"0,07162868651433872"
"12";"2";"6,2727";"5,0909";"11,3636";"718,3251156625506";"0,001875669992579997";"0,0725959441807795"
"12";"3";"5,7200";"5,9600";"11,6800";"581,8933653709374";"0,0017110675777013734";"0,08259820030239277"
"12";"4";"3,3617";"4,2979";"7,6596";"319,13059795589555";"0,0012337172410688407";"0,039683251861119886"
"12";"5";"4,2162";"4,8378";"9,0541";"474,7037470769091";"0,0013629901548379572";"0,0456988385547209"
"12";"6";"6,1538";"5,8974";"12,0513";"875,0312075765165";"0,0017080510592434196";"0,07702058266674346"
"12";"7";"4,1892";"4,1892";"8,3784";"393,2962183645366";"0,0013605674411140108";"0,043102442222921346"
