"period";"modularity_class";"outstanding";"ordinary"
"1";"0";"3";"0"
"2";"0";"3";"0"
"3";"0";"3";"0"
"4";"0";"3";"0"
"5";"0";"3";"0"
"6";"0";"9";"0"
"6";"1";"3";"0"
"6";"2";"1";"0"
"6";"3";"6";"2"
"6";"4";"18";"3"
"6";"5";"10";"2"
"6";"6";"15";"3"
"6";"7";"6";"0"
"6";"8";"9";"3"
"7";"0";"14";"1"
"7";"1";"10";"1"
"7";"2";"20";"6"
"7";"3";"15";"4"
"7";"4";"17";"4"
"7";"5";"27";"5"
"7";"6";"20";"10"
"8";"0";"2";"0"
"8";"1";"26";"5"
"8";"2";"13";"3"
"8";"3";"30";"13"
"8";"4";"27";"10"
"8";"5";"11";"4"
"8";"6";"21";"8"
"8";"7";"31";"5"
"9";"0";"9";"2"
"9";"1";"31";"6"
"9";"2";"15";"6"
"9";"3";"11";"0"
"9";"4";"26";"8"
"9";"5";"29";"14"
"9";"6";"25";"5"
"9";"7";"25";"3"
"9";"8";"33";"16"
"10";"0";"1";"0"
"10";"1";"21";"3"
"10";"2";"35";"2"
"10";"3";"26";"10"
"10";"4";"16";"5"
"10";"5";"26";"10"
"10";"6";"24";"12"
"10";"7";"29";"8"
"10";"8";"9";"5"
"10";"9";"26";"13"
"10";"10";"36";"14"
"11";"0";"1";"0"
"11";"1";"22";"6"
"11";"2";"18";"7"
"11";"3";"36";"16"
"11";"4";"20";"7"
"11";"5";"13";"4"
"11";"6";"31";"10"
"11";"7";"52";"14"
"11";"8";"47";"19"
"11";"9";"24";"6"
"11";"10";"19";"14"
"12";"0";"1";"0"
"12";"1";"24";"7"
"12";"2";"39";"16"
"12";"3";"31";"19"
"12";"4";"35";"12"
"12";"5";"26";"11"
"12";"6";"30";"9"
"12";"7";"29";"8"
"12";"8";"21";"10"
"12";"9";"26";"16"
"12";"10";"36";"14"
"12";"11";"19";"7"
"12";"12";"6";"8"
"13";"0";"1";"0"
"13";"1";"48";"18"
"13";"2";"53";"18"
"13";"3";"27";"14"
"13";"4";"16";"5"
"13";"5";"36";"15"
"13";"6";"37";"24"
"13";"7";"25";"9"
"13";"8";"42";"20"
"13";"9";"19";"7"
"13";"10";"33";"12"
"13";"11";"19";"7"
"14";"0";"31";"8"
"14";"1";"21";"3"
"14";"2";"46";"31"
"14";"3";"37";"17"
"14";"4";"51";"19"
"14";"5";"53";"30"
"14";"6";"35";"18"
"14";"7";"43";"13"
"14";"8";"52";"19"
"14";"9";"20";"9"
"15";"0";"36";"23"
"15";"1";"34";"17"
"15";"2";"45";"22"
"15";"3";"31";"8"
"15";"4";"52";"30"
"15";"5";"11";"3"
"15";"6";"38";"22"
"15";"7";"33";"13"
"15";"8";"28";"10"
"15";"9";"64";"21"
"15";"10";"55";"29"
"16";"0";"27";"17"
"16";"1";"39";"20"
"16";"2";"82";"49"
"16";"3";"32";"14"
"16";"4";"16";"12"
"16";"5";"68";"30"
"16";"6";"24";"14"
"16";"7";"62";"28"
"16";"8";"56";"24"
"16";"9";"1";"0"
"16";"10";"50";"21"
