"id";"score";"profile_1";"profile_2"
"28096";"0";"4";"4"
"28126";"2";"4";"4"
"28090";"0";"4";"4"
"28096";"0";"4";"4"
"28090";"0";"4";"4"
"28096";"0";"4";"4"
"28127";"1";"4";"4"
"28126";"0";"4";"4"
"28148";"3";"4";"4"
"28111";"0";"4";"4"
"28090";"7";"4";"4"
"28127";"1";"4";"4"
"28111";"0";"4";"4"
"28154";"1";"4";"4"
"28108";"0";"4";"4"
"28111";"0";"4";"4"
"28171";"0";"4";"4"
"28141";"0";"4";"4"
"28111";"0";"4";"4"
"28111";"0";"4";"4"
"28133";"0";"4";"4"
"28133";"0";"4";"4"
"28194";"4";"4";"4"
"28194";"0";"4";"4"
"28160";"1";"4";"4"
"28160";"0";"4";"4"
"28191";"0";"4";"4"
"28160";"0";"4";"4"
"28199";"0";"4";"4"
"28160";"0";"4";"4"
"28191";"0";"4";"4"
"28160";"0";"4";"4"
"28191";"0";"4";"4"
"28160";"0";"4";"4"
"28199";"0";"4";"4"
"28162";"3";"4";"4"
"28108";"0";"4";"4"
"28108";"0";"4";"4"
"28216";"0";"4";"4"
"28215";"4";"4";"4"
"28194";"0";"4";"4"
"28108";"2";"4";"4"
"28108";"1";"4";"4"
"28108";"4";"4";"4"
"28108";"0";"4";"4"
"28216";"0";"4";"4"
"28194";"0";"4";"4"
"28194";"0";"4";"4"
"28119";"0";"4";"4"
"28162";"1";"4";"4"
"28119";"0";"4";"4"
"28108";"1";"4";"4"
"28108";"3";"4";"4"
"28117";"0";"4";"4"
"28117";"0";"4";"4"
"28141";"5";"4";"4"
"28102";"0";"4";"4"
"28109";"0";"4";"4"
"28108";"2";"4";"4"
"28090";"6";"4";"4"
"28119";"0";"4";"4"
"28215";"3";"4";"4"
"28154";"3";"4";"4"
"28154";"3";"4";"4"
"28154";"2";"4";"4"
"28216";"0";"4";"4"
"28090";"1";"4";"4"
"30400";"0";"4";"4"
"30400";"0";"4";"4"
"30400";"0";"4";"4"
"28142";"2";"1";"1"
"28207";"0";"4";"4"
"28207";"1";"4";"4"
"28194";"0";"4";"4"
"28160";"0";"4";"4"
"28102";"0";"4";"4"
"28188";"0";"4";"4"
"28148";"0";"4";"4"
"28148";"0";"4";"4"
"28142";"4";"1";"1"
"28155";"1";"4";"4"
"28155";"2";"4";"4"
"28108";"0";"4";"4"
"28207";"0";"4";"4"
"28119";"1";"4";"4"
"28154";"4";"4";"4"
"28148";"0";"4";"4"
"28148";"0";"4";"4"
"28108";"0";"4";"4"
"28154";"4";"4";"4"
"28108";"0";"4";"4"
"28188";"0";"4";"4"
"28188";"0";"4";"4"
"28141";"0";"4";"4"
"28215";"0";"4";"4"
"28096";"0";"4";"4"
"28133";"2";"4";"4"
"28133";"2";"4";"4"
"28133";"1";"4";"4"
"28133";"0";"4";"4"
"28180";"0";"4";"4"
"28119";"0";"4";"4"
"28096";"0";"4";"4"
"28119";"0";"4";"4"
"28226";"0";"4";"4"
"28226";"7";"4";"4"
"28200";"0";"4";"4"
"28125";"0";"4";"4"
"28215";"0";"4";"4"
"28154";"0";"4";"4"
"28162";"0";"4";"4"
"28215";"0";"4";"4"
"28162";"0";"4";"4"
"28111";"1";"4";"4"
"28090";"0";"4";"4"
"28111";"0";"4";"4"
"28111";"0";"4";"4"
"28090";"1";"4";"4"
"28090";"0";"4";"4"
"28111";"0";"4";"4"
"28127";"0";"4";"4"
"28149";"0";"4";"4"
"28108";"0";"4";"4"
"28108";"1";"4";"4"
"28162";"0";"4";"4"
"28215";"0";"4";"4"
"28207";"0";"4";"4"
