"id";"score";"profile_1";"profile_2"
"50190";"30";"4";"4"
"50184";"16";"4";"4"
"50195";"27";"4";"4"
"50196";"23";"4";"4"
"50192";"5";"4";"4"
"50184";"7";"4";"4"
"50186";"37";"4";"4"
"50196";"12";"4";"4"
"50179";"0";"1";"1"
"50179";"0";"1";"1"
"50181";"23";"4";"4"
"50181";"30";"4";"4"
"50204";"20";"4";"4"
"50179";"0";"1";"1"
"50217";"0";"4";"4"
"50208";"17";"4";"4"
"50209";"14";"4";"4"
"50204";"20";"4";"4"
"50186";"14";"4";"4"
"50297";"0";"4";"4"
"50217";"0";"4";"4"
"50209";"14";"4";"4"
"50195";"9";"4";"4"
"50204";"23";"4";"4"
"50196";"18";"4";"4"
"50219";"15";"4";"4"
"50196";"16";"4";"4"
"50226";"13";"4";"4"
"50217";"36";"4";"4"
"50185";"22";"4";"4"
"50217";"18";"4";"4"
"50204";"32";"4";"4"
"50188";"21";"4";"4"
"50209";"1";"4";"4"
"50204";"7";"4";"4"
"50186";"0";"4";"4"
"50204";"0";"4";"4"
"50257";"10";"4";"4"
"50252";"13";"4";"4"
"50204";"21";"4";"4"
"50261";"5";"4";"4"
"50184";"3";"4";"4"
"50185";"19";"4";"4"
"50258";"7";"4";"4"
"50252";"19";"4";"4"
"50264";"10";"4";"4"
"50264";"16";"4";"4"
"50209";"47";"4";"4"
"50257";"9";"4";"4"
"50206";"27";"4";"4"
"50206";"12";"4";"4"
"50518";"0";"4";"4"
"50268";"0";"4";"4"
"50179";"0";"1";"1"
"50268";"0";"4";"4"
"50181";"22";"4";"4"
"50185";"16";"4";"4"
"50258";"4";"4";"4"
"50206";"10";"4";"4"
"50202";"8";"4";"4"
"50270";"33";"4";"4"
"50266";"6";"4";"4"
"50231";"5";"4";"4"
"50231";"15";"4";"4"
"50204";"6";"4";"4"
"50204";"53";"4";"4"
"50231";"6";"4";"4"
"50204";"6";"4";"4"
"50181";"22";"4";"4"
"50196";"30";"4";"4"
"50284";"12";"4";"4"
"50287";"22";"4";"4"
"50287";"20";"4";"4"
"50181";"18";"4";"4"
"50206";"8";"4";"4"
"50266";"9";"4";"4"
"50291";"21";"4";"4"
"50278";"6";"4";"4"
"50204";"13";"4";"4"
"50204";"11";"4";"4"
"50213";"12";"4";"4"
"50204";"16";"4";"4"
"50252";"16";"4";"4"
"50186";"6";"4";"4"
"50294";"7";"4";"4"
"50186";"11";"4";"4"
"50186";"7";"4";"4"
"50186";"13";"4";"4"
"50548";"0";"4";"4"
"50217";"0";"4";"4"
"50268";"0";"4";"4"
"50217";"0";"4";"4"
"50179";"0";"1";"1"
"50217";"0";"4";"4"
"55851";"0";"4";"4"
"50217";"0";"4";"4"
"50518";"0";"4";"4"
"50217";"0";"4";"4"
"54718";"0";"4";"4"
"50217";"0";"4";"4"
"50297";"0";"4";"4"
"50217";"0";"4";"4"
"50179";"0";"1";"1"
"50217";"0";"4";"4"
"50179";"0";"1";"1"
"50217";"0";"4";"4"
"54697";"0";"4";"4"
"50217";"0";"4";"4"
"50179";"0";"1";"1"
"50217";"0";"4";"4"
"50179";"0";"1";"1"
"50217";"0";"4";"4"
"50179";"0";"1";"1"
"50217";"0";"4";"4"
"50179";"0";"1";"1"
"50217";"0";"4";"4"
"50179";"0";"1";"1"
"50217";"0";"4";"4"
"53468";"0";"4";"4"
"50217";"0";"4";"4"
"50179";"0";"1";"1"
"50217";"0";"4";"4"
"50204";"44";"4";"4"
"50190";"21";"4";"4"
"50252";"8";"4";"4"
"50186";"12";"4";"4"
"50280";"3";"4";"4"
"50280";"4";"4";"4"
"50259";"24";"4";"4"
"50252";"-4";"4";"4"
"50204";"20";"4";"4"
"50227";"49";"4";"4"
"50227";"55";"4";"4"
"50264";"22";"4";"4"
"50252";"12";"4";"4"
"50186";"22";"4";"4"
"50252";"9";"4";"4"
"50306";"9";"4";"4"
"50279";"9";"4";"4"
"50213";"16";"4";"4"
"50235";"16";"4";"4"
"50181";"8";"4";"4"
"50259";"19";"4";"4"
"50259";"26";"4";"4"
"50186";"25";"4";"4"
"50309";"15";"4";"4"
"50264";"19";"4";"4"
"50310";"13";"4";"4"
"50235";"5";"4";"4"
"50204";"21";"4";"4"
"50258";"13";"4";"4"
"50206";"18";"4";"4"
"50275";"20";"4";"4"
"50312";"5";"4";"4"
"50231";"-1";"4";"4"
"50179";"0";"1";"1"
"50268";"0";"4";"4"
"50197";"22";"4";"4"
"50306";"28";"4";"4"
"50204";"6";"4";"4"
"50257";"14";"4";"4"
"50313";"13";"1";"1"
"50258";"10";"4";"4"
"50258";"22";"4";"4"
"50306";"11";"4";"4"
"50188";"19";"4";"4"
"50258";"8";"4";"4"
"50252";"13";"4";"4"
"50179";"0";"1";"1"
"50297";"0";"4";"4"
"50179";"0";"1";"1"
"50297";"0";"4";"4"
"50297";"0";"4";"4"
"50297";"0";"4";"4"
"54697";"0";"4";"4"
"50297";"0";"4";"4"
"50179";"0";"1";"1"
"50297";"0";"4";"4"
"50297";"0";"4";"4"
"50297";"0";"4";"4"
"50469";"0";"4";"4"
"50469";"0";"4";"4"
"50548";"0";"4";"4"
"50297";"0";"4";"4"
"50179";"0";"1";"1"
"50179";"0";"1";"1"
"50179";"0";"1";"1"
"50297";"0";"4";"4"
"50196";"11";"4";"4"
"50181";"21";"4";"4"
"50317";"3";"4";"4"
"50317";"8";"4";"4"
"50206";"22";"4";"4"
"50196";"12";"4";"4"
"50297";"3";"4";"4"
"50291";"13";"4";"4"
"50306";"9";"4";"4"
"50306";"13";"4";"4"
"50257";"9";"4";"4"
"50306";"6";"4";"4"
"50247";"38";"4";"4"
"50196";"30";"4";"4"
"50317";"16";"4";"4"
"50235";"2";"4";"4"
"50297";"5";"4";"4"
"50317";"6";"4";"4"
"50204";"17";"4";"4"
"50247";"13";"4";"4"
"50196";"18";"4";"4"
"50258";"7";"4";"4"
"50196";"21";"4";"4"
"50317";"7";"4";"4"
"50181";"17";"4";"4"
"50252";"12";"4";"4"
"50196";"7";"4";"4"
"50312";"13";"4";"4"
"50297";"10";"4";"4"
"50196";"10";"4";"4"
"50297";"2";"4";"4"
"50291";"4";"4";"4"
"50312";"1";"4";"4"
"50181";"17";"4";"4"
"50247";"22";"4";"4"
"50204";"14";"4";"4"
"50204";"9";"4";"4"
"50247";"9";"4";"4"
"55851";"0";"4";"4"
"51342";"0";"4";"4"
"50179";"0";"1";"1"
"50297";"0";"4";"4"
"50548";"0";"4";"4"
"50297";"0";"4";"4"
"50179";"0";"1";"1"
"50297";"0";"4";"4"
"50297";"21";"4";"4"
"50185";"14";"4";"4"
"50252";"14";"4";"4"
"50252";"-2";"4";"4"
"50204";"21";"4";"4"
"50252";"5";"4";"4"
"50206";"9";"4";"4"
"50196";"6";"4";"4"
"50231";"9";"4";"4"
"50204";"3";"4";"4"
"50312";"4";"4";"4"
"50321";"12";"4";"4"
"50247";"20";"4";"4"
"50204";"9";"4";"4"
"50204";"15";"4";"4"
"50196";"13";"4";"4"
"50324";"11";"4";"4"
"50196";"6";"4";"4"
"50204";"12";"4";"4"
"50196";"0";"4";"4"
"50184";"0";"4";"4"
"50306";"3";"4";"4"
"50258";"21";"4";"4"
"50258";"6";"4";"4"
"50204";"5";"4";"4"
"50204";"6";"4";"4"
"50325";"8";"4";"4"
"50321";"15";"4";"4"
"50206";"12";"4";"4"
"50213";"13";"4";"4"
"50247";"14";"4";"4"
"50204";"5";"4";"4"
"50275";"7";"4";"4"
"50258";"11";"4";"4"
"50204";"15";"4";"4"
"50196";"28";"4";"4"
"50196";"7";"4";"4"
"50196";"17";"4";"4"
"50204";"7";"4";"4"
"50258";"28";"4";"4"
"50332";"4";"4";"4"
"50257";"13";"4";"4"
"50206";"4";"4";"4"
"50204";"8";"4";"4"
"50258";"13";"4";"4"
"50317";"5";"4";"4"
"50258";"8";"4";"4"
"50196";"2";"4";"4"
"50206";"12";"4";"4"
"50266";"5";"4";"4"
"50340";"13";"4";"4"
"50332";"12";"4";"4"
"50204";"49";"4";"4"
"50317";"0";"4";"4"
"50206";"6";"4";"4"
"50204";"5";"4";"4"
"50179";"0";"1";"1"
"50348";"0";"4";"4"
"50204";"6";"4";"4"
"50351";"6";"1";"1"
"50258";"15";"4";"4"
"50206";"13";"4";"4"
"50204";"9";"4";"4"
"50258";"7";"4";"4"
"50297";"2";"4";"4"
"50196";"26";"4";"4"
"50297";"16";"4";"4"
"50306";"5";"4";"4"
"50238";"14";"4";"4"
"50238";"9";"4";"4"
"50238";"27";"4";"4"
"50238";"8";"4";"4"
"50337";"26";"4";"4"
"50238";"16";"4";"4"
"50306";"17";"4";"4"
"50247";"3";"4";"4"
"50247";"21";"4";"4"
"50291";"7";"4";"4"
"50196";"7";"4";"4"
"50213";"16";"4";"4"
"50367";"18";"4";"4"
"50204";"7";"4";"4"
"50238";"17";"4";"4"
"50238";"29";"4";"4"
"50238";"6";"4";"4"
"50306";"6";"4";"4"
"50238";"13";"4";"4"
"50238";"9";"4";"4"
"50369";"7";"4";"4"
"50238";"15";"4";"4"
"50297";"9";"4";"4"
"50238";"11";"4";"4"
"50360";"11";"4";"4"
"50360";"7";"4";"4"
"50257";"6";"4";"4"
"50332";"9";"4";"4"
"50238";"5";"4";"4"
"50317";"2";"4";"4"
"50317";"4";"4";"4"
"50317";"2";"4";"4"
"50206";"4";"4";"4"
"50306";"8";"4";"4"
"50181";"10";"4";"4"
"50381";"-6";"1";"1"
"50196";"6";"4";"4"
"50196";"28";"4";"4"
"50204";"11";"4";"4"
"50360";"40";"4";"4"
"50206";"4";"4";"4"
"50257";"17";"4";"4"
"50258";"7";"4";"4"
"50370";"16";"4";"4"
"50252";"6";"4";"4"
"50252";"4";"4";"4"
"50391";"10";"4";"4"
"50196";"4";"4";"4"
"50392";"7";"4";"4"
"50252";"7";"4";"4"
"50252";"8";"4";"4"
"50204";"6";"4";"4"
"50204";"7";"4";"4"
"50332";"5";"4";"4"
"50238";"14";"4";"4"
"50393";"-15";"1";"1"
"50252";"8";"4";"4"
"50196";"7";"4";"4"
"50268";"7";"4";"4"
"50204";"9";"4";"4"
"50196";"8";"4";"4"
"50258";"13";"4";"4"
"50195";"2";"4";"4"
"50204";"11";"4";"4"
"50231";"4";"4";"4"
"50231";"6";"4";"4"
"50204";"2";"4";"4"
"50332";"8";"4";"4"
"50399";"18";"4";"4"
"50196";"18";"4";"4"
"50247";"6";"4";"4"
"50196";"3";"4";"4"
"50204";"7";"4";"4"
"50401";"10";"4";"4"
"50402";"4";"1";"1"
"50403";"2";"4";"4"
"50297";"1";"4";"4"
"50258";"5";"4";"4"
"50332";"12";"4";"4"
"50405";"4";"1";"1"
"50306";"10";"4";"4"
"50231";"18";"4";"4"
"50406";"2";"1";"1"
"50409";"16";"1";"1"
"50306";"18";"4";"4"
"50258";"5";"4";"4"
"50196";"13";"4";"4"
"50196";"14";"4";"4"
"50196";"37";"4";"4"
"50204";"29";"4";"4"
"50186";"13";"4";"4"
"50345";"4";"1";"1"
"50204";"25";"4";"4"
"50258";"10";"4";"4"
"50204";"7";"4";"4"
"50204";"7";"4";"4"
"50258";"26";"4";"4"
"50258";"8";"4";"4"
"50204";"14";"4";"4"
"50196";"11";"4";"4"
"50415";"133";"4";"4"
"50196";"73";"4";"4"
"50257";"4";"4";"4"
"50204";"41";"4";"4"
"50204";"16";"4";"4"
"50306";"7";"4";"4"
"50306";"32";"4";"4"
"50306";"12";"4";"4"
"50221";"15";"4";"4"
"50306";"4";"4";"4"
"50257";"11";"4";"4"
"50221";"16";"4";"4"
"50196";"9";"4";"4"
"50257";"78";"4";"4"
"50370";"6";"4";"4"
"50204";"20";"4";"4"
"50196";"6";"4";"4"
"50204";"5";"4";"4"
"50221";"6";"4";"4"
"50420";"17";"4";"4"
"50258";"12";"4";"4"
"50422";"6";"4";"4"
"50247";"15";"4";"4"
"50258";"6";"4";"4"
"50185";"13";"4";"4"
"50231";"9";"4";"4"
"50284";"6";"4";"4"
"50425";"15";"4";"4"
"50426";"11";"4";"4"
"50204";"5";"4";"4"
"50422";"-1";"4";"4"
"50428";"4";"4";"4"
"50196";"3";"4";"4"
"50185";"22";"4";"4"
"50185";"15";"4";"4"
"50258";"24";"4";"4"
"50297";"18";"4";"4"
"50428";"11";"4";"4"
"50196";"17";"4";"4"
"50430";"9";"4";"4"
"50257";"15";"4";"4"
"50436";"7";"1";"1"
"50430";"8";"4";"4"
"50258";"9";"4";"4"
"50437";"13";"4";"4"
"50439";"12";"4";"4"
"50440";"5";"1";"1"
"50430";"7";"4";"4"
"50204";"8";"4";"4"
"50204";"5";"4";"4"
"50441";"10";"4";"4"
"50306";"10";"4";"4"
"50210";"8";"4";"4"
"50443";"2";"4";"4"
"50430";"6";"4";"4"
"50258";"5";"4";"4"
"50332";"5";"4";"4"
"50297";"2";"4";"4"
"50208";"17";"4";"4"
"50441";"14";"4";"4"
"50213";"6";"4";"4"
"50441";"6";"4";"4"
"50306";"8";"4";"4"
"50221";"11";"4";"4"
"50270";"8";"4";"4"
"50306";"5";"4";"4"
"50441";"1";"4";"4"
"50258";"8";"4";"4"
"50280";"6";"4";"4"
"50441";"9";"4";"4"
"50441";"6";"4";"4"
"50294";"11";"4";"4"
"50231";"7";"4";"4"
"50181";"9";"4";"4"
"50181";"11";"4";"4"
"50441";"6";"4";"4"
"50443";"10";"4";"4"
"50297";"10";"4";"4"
"50441";"7";"4";"4"
"50447";"16";"4";"4"
"50204";"8";"4";"4"
"50447";"18";"4";"4"
"50258";"32";"4";"4"
"50196";"39";"4";"4"
"50294";"21";"4";"4"
"50248";"7";"4";"4"
"50306";"17";"4";"4"
"50206";"7";"4";"4"
"50196";"23";"4";"4"
"50196";"8";"4";"4"
"50258";"13";"4";"4"
"50297";"7";"4";"4"
"50257";"6";"4";"4"
"50306";"5";"4";"4"
"50454";"15";"4";"4"
"50294";"7";"4";"4"
"50181";"7";"4";"4"
"50204";"10";"4";"4"
"50204";"17";"4";"4"
"50204";"19";"4";"4"
"50441";"18";"4";"4"
"50258";"16";"4";"4"
"50342";"43";"4";"4"
"50291";"8";"4";"4"
"50360";"7";"4";"4"
"50258";"5";"4";"4"
"50196";"3";"4";"4"
"50248";"8";"4";"4"
"50204";"11";"4";"4"
"50294";"5";"4";"4"
"50231";"7";"4";"4"
"50306";"42";"4";"4"
"50258";"8";"4";"4"
"50196";"11";"4";"4"
"50412";"5";"4";"4"
"50441";"6";"4";"4"
"50294";"9";"4";"4"
"50464";"6";"4";"4"
"50306";"19";"4";"4"
"50185";"22";"4";"4"
"50306";"24";"4";"4"
"50465";"7";"4";"4"
"50466";"18";"4";"4"
"50257";"7";"4";"4"
"50306";"7";"4";"4"
"50181";"7";"4";"4"
"50181";"7";"4";"4"
"50306";"5";"4";"4"
"50441";"5";"4";"4"
"50461";"2";"4";"4"
"50206";"10";"4";"4"
"50461";"3";"4";"4"
"50196";"19";"4";"4"
"50258";"24";"4";"4"
"50332";"8";"4";"4"
"50185";"28";"4";"4"
"50221";"21";"4";"4"
"50306";"55";"4";"4"
"50196";"0";"4";"4"
"50196";"0";"4";"4"
"50213";"14";"4";"4"
"50231";"6";"4";"4"
"50477";"12";"1";"1"
"50196";"11";"4";"4"
"50301";"16";"4";"4"
"50306";"8";"4";"4"
"50231";"18";"4";"4"
"50482";"8";"4";"4"
"50483";"3";"4";"4"
"50248";"29";"4";"4"
"50248";"7";"4";"4"
"50204";"6";"4";"4"
"50306";"11";"4";"4"
"50291";"8";"4";"4"
"50306";"12";"4";"4"
"50306";"21";"4";"4"
"50484";"-1";"1";"1"
"50484";"0";"1";"1"
"50213";"11";"4";"4"
"50206";"5";"4";"4"
"50179";"0";"1";"1"
"50486";"4";"4";"4"
"50248";"8";"4";"4"
"50487";"4";"4";"4"
"50487";"2";"4";"4"
"50280";"4";"4";"4"
"50490";"11";"4";"4"
"50294";"3";"4";"4"
"50490";"6";"4";"4"
"50490";"3";"4";"4"
"50490";"2";"4";"4"
"50486";"5";"4";"4"
"50491";"5";"4";"4"
"50441";"5";"4";"4"
"50464";"6";"4";"4"
"50494";"5";"1";"1"
"50288";"5";"4";"4"
"50473";"7";"4";"4"
"50473";"1";"4";"4"
"50499";"16";"1";"1"
"50287";"6";"4";"4"
"50265";"3";"4";"4"
"50196";"2";"4";"4"
"50360";"11";"4";"4"
"50441";"4";"4";"4"
"50491";"14";"4";"4"
"50181";"10";"4";"4"
"50502";"15";"4";"4"
"50258";"13";"4";"4"
"50392";"5";"4";"4"
"50332";"5";"4";"4"
"50504";"7";"4";"4"
"50507";"5";"4";"4"
"50360";"5";"4";"4"
"50441";"6";"4";"4"
"50508";"13";"4";"4"
"50213";"9";"4";"4"
"50441";"4";"4";"4"
"50486";"7";"4";"4"
"50509";"4";"1";"1"
"50510";"11";"4";"4"
"50294";"2";"4";"4"
"50196";"9";"4";"4"
"50312";"10";"4";"4"
"50258";"18";"4";"4"
"50507";"11";"4";"4"
"50332";"8";"4";"4"
"50294";"6";"4";"4"
"50490";"4";"4";"4"
"50490";"4";"4";"4"
"50441";"7";"4";"4"
"50247";"7";"4";"4"
"50204";"7";"4";"4"
"50258";"7";"4";"4"
"50181";"9";"4";"4"
"50513";"5";"4";"4"
"50516";"10";"1";"1"
"50258";"5";"4";"4"
"50189";"10";"4";"4"
"50204";"13";"4";"4"
"50517";"7";"4";"4"
"50287";"7";"4";"4"
"50441";"5";"4";"4"
"50213";"4";"4";"4"
"50199";"16";"4";"4"
"50231";"15";"4";"4"
"50518";"28";"4";"4"
