"questionId";"outstanding"
"9120";"1"
"9121";"3"
"9122";"1"
"9123";"2"
"9124";"2"
"9125";"2"
"9126";"2"
"9127";"4"
"9128";"1"
"9129";"4"
"9131";"1"
"9133";"2"
"9138";"3"
"9142";"1"
"9143";"1"
"9144";"2"
"9147";"4"
"9148";"3"
"9153";"3"
"9161";"1"
"9165";"1"
"9167";"1"
"9171";"2"
"9177";"2"
"9181";"2"
"9184";"2"
"9185";"1"
"9187";"1"
"9189";"1"
"9193";"2"
"9200";"5"
"9201";"2"
"9202";"2"
"9203";"1"
"9204";"2"
"9209";"1"
"9210";"1"
"9211";"2"
"9217";"2"
"9218";"2"
"9219";"1"
"9221";"1"
"9225";"3"
"9227";"4"
"9230";"1"
"9231";"2"
"9232";"4"
"9235";"2"
"9256";"1"
"9259";"1"
"9265";"1"
"9266";"1"
"9267";"1"
"9269";"1"
"9272";"2"
"9274";"1"
"9275";"4"
"9277";"2"
"9279";"4"
"9281";"1"
"9285";"1"
"9290";"1"
"9291";"1"
"9294";"3"
"9296";"1"
"9297";"1"
"9298";"2"
"9300";"1"
"9301";"2"
"9303";"2"
"9308";"1"
"9309";"1"
"9310";"1"
"9329";"3"
"9335";"4"
"9337";"2"
"9346";"2"
"9347";"1"
"9349";"1"
"9356";"2"
"9358";"1"
"9363";"4"
"9370";"3"
"9374";"1"
"9384";"1"
"9385";"3"
"9390";"1"
"9391";"2"
"9392";"3"
"9396";"1"
"9400";"2"
"9404";"1"
"9408";"1"
"9409";"3"
"9410";"2"
"9411";"3"
"9420";"1"
"9424";"1"
"9425";"2"
"9429";"3"
"9433";"6"
"9434";"1"
"9440";"1"
"9442";"2"
"9443";"1"
"9446";"5"
"9447";"2"
"9465";"1"
"9466";"1"
"9472";"2"
"9474";"1"
"9476";"1"
"9479";"7"
"9482";"1"
"9486";"3"
"9489";"1"
"9492";"1"
"9494";"3"
"9500";"1"
"9502";"1"
"9507";"3"
"9511";"2"
"9513";"1"
"9516";"1"
"9520";"1"
"9523";"1"
"9528";"1"
"9530";"2"
"9542";"1"
"9544";"2"
"9547";"7"
"9549";"5"
"9552";"4"
"9557";"1"
"9562";"1"
"9567";"1"
"9568";"1"
"9569";"2"
"9573";"2"
"9577";"1"
"9579";"1"
"9602";"3"
"9606";"2"
"9609";"2"
"9614";"2"
"9616";"1"
"9624";"3"
"9629";"3"
"9635";"3"
"9638";"3"
"9641";"1"
"9642";"2"
"9643";"9"
"9645";"2"
"9649";"1"
"9651";"1"
"9657";"1"
"9660";"1"
"9664";"2"
"9666";"1"
"9684";"4"
"9688";"1"
"9694";"1"
"9697";"1"
"9707";"1"
"9708";"1"
"9709";"2"
"9712";"4"
"9713";"1"
"9730";"2"
"9737";"1"
"9739";"3"
"9740";"1"
"9741";"2"
"9750";"1"
"9752";"2"
"9753";"1"
"9757";"1"
"9759";"1"
"9760";"1"
"9761";"2"
"9763";"2"
"9765";"2"
"9768";"2"
"9772";"1"
"9773";"2"
"9779";"1"
"9782";"1"
"9784";"2"
"9789";"1"
"9790";"2"
"9798";"2"
"9799";"2"
"9801";"1"
"9802";"1"
"9803";"1"
"9808";"1"
"9810";"3"
"9815";"1"
"9820";"1"
"9821";"2"
"9822";"1"
"9823";"2"
"9824";"1"
"9825";"4"
"9829";"2"
"9830";"8"
"9831";"1"
"9832";"1"
"9836";"3"
"9843";"3"
"9848";"2"
"9849";"3"
"9852";"2"
"9855";"2"
"9856";"2"
"9860";"1"
"9861";"1"
"9864";"1"
"9865";"1"
"9867";"1"
"9868";"1"
"9869";"1"
"9876";"1"
"9887";"1"
"9888";"2"
"9891";"2"
"9897";"1"
"9898";"5"
"9901";"1"
"9902";"2"
"9903";"1"
"9905";"3"
"9908";"1"
"9913";"1"
"9915";"2"
"9920";"1"
"9921";"3"
"9923";"1"
"9926";"1"
"9930";"2"
"9934";"1"
"9935";"1"
"9937";"1"
"9939";"1"
"9941";"1"
"9942";"1"
"9943";"1"
"9945";"1"
"9946";"4"
"9951";"2"
"9954";"1"
"9955";"1"
"9956";"3"
"9959";"1"
"9960";"2"
"9964";"1"
"9966";"2"
"9967";"1"
"9968";"1"
"9970";"1"
"9972";"2"
"9973";"1"
"9979";"1"
"9984";"2"
"9988";"1"
"9989";"3"
"9992";"3"
"9994";"2"
"9995";"1"
"9997";"2"
"9998";"1"
"9999";"1"
"10005";"1"
"10008";"2"
"10009";"1"
"10010";"1"
"10011";"1"
"10013";"1"
"10015";"1"
"10016";"1"
"10018";"3"
"10022";"2"
"10023";"2"
"10026";"1"
"10027";"2"
"10028";"1"
"10037";"1"
"10046";"1"
"10047";"1"
"10049";"1"
"10056";"1"
"10059";"1"
"10060";"1"
"10063";"2"
"10068";"1"
"10069";"1"
"10074";"1"
"10075";"3"
"10076";"2"
"10077";"2"
"10080";"1"
"10081";"1"
"10082";"1"
"10083";"1"
"10084";"1"
"10086";"1"
"10087";"2"
"10090";"2"
"10093";"2"
"10099";"3"
"10102";"2"
"10104";"1"
"10105";"1"
"10106";"1"
"10109";"1"
"10111";"1"
"10113";"1"
"10116";"1"
"10117";"2"
"10118";"2"
"10119";"1"
"10121";"1"
"10129";"1"
"10131";"1"
"10133";"1"
"10134";"2"
"10137";"2"
"10139";"1"
"10142";"1"
"10143";"2"
"10144";"2"
"10146";"3"
"10149";"1"
"10152";"1"
"10155";"2"
"10156";"1"
"10158";"1"
"10159";"3"
"10161";"1"
"10166";"4"
"10170";"1"
"10171";"1"
"10172";"3"
"10173";"3"
"10175";"2"
"10176";"2"
"10177";"2"
"10183";"1"
"10190";"2"
"10195";"2"
"10201";"1"
"10204";"2"
"10207";"1"
"10208";"2"
"10211";"1"
"10212";"2"
"10214";"1"
"10215";"1"
"10216";"2"
"10221";"1"
"10223";"4"
"10226";"1"
"10232";"3"
"10238";"1"
"10239";"1"
"10241";"3"
"10247";"4"
"10248";"1"
"10251";"2"
"10255";"2"
"10259";"4"
"10272";"1"
"10273";"1"
"10275";"1"
"10279";"1"
"10283";"2"
"10286";"2"
"10288";"2"
"10293";"2"
"10294";"3"
"10295";"1"
"10297";"1"
"10298";"1"
"10304";"1"
"10305";"1"
"10306";"2"
"10307";"1"
"10315";"1"
"10316";"1"
"10319";"5"
"10320";"1"
"10321";"1"
"10328";"1"
"10329";"1"
"10330";"1"
"10335";"3"
"10336";"2"
"10339";"1"
"10342";"1"
"10352";"1"
"10359";"1"
"10361";"1"
"10362";"2"
"10364";"1"
"10366";"1"
"10368";"1"
"10370";"1"
"10371";"1"
"10373";"2"
"10375";"2"
"10377";"2"
"10385";"1"
"10386";"1"
"10387";"1"
"10388";"1"
"10389";"1"
"10390";"1"
"10392";"1"
"10393";"3"
"10396";"3"
"10403";"2"
"10405";"1"
"10418";"4"
"10424";"1"
"10425";"1"
"10427";"1"
"10434";"2"
"10435";"1"
"10437";"1"
"10438";"2"
"10443";"1"
"10444";"1"
"10447";"1"
"10448";"1"
"10449";"1"
"10453";"1"
"10454";"2"
"10457";"3"
"10459";"2"
"10462";"2"
"10463";"3"
"10464";"1"
"10465";"3"
"10466";"1"
"10469";"2"
"10475";"1"
"10479";"2"
"10483";"1"
"10486";"1"
"10487";"2"
